PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",383,377,760,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",597,549,1146,0.52,0.48,CAR
"CAR_(8,14]",Cardinal,"(8,14]",280,267,547,0.51,0.49,CAR
"CAR_[0,5]",Cardinal,"[0,5]",997,892,1889,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",407,358,765,0.53,0.47,FIX
"FIX_(6,7]",Fixed,"(6,7]",269,257,526,0.51,0.49,FIX
"FIX_(7,14]",Fixed,"(7,14]",297,266,563,0.53,0.47,FIX
"FIX_[0,5]",Fixed,"[0,5]",1284,1204,2488,0.52,0.48,FIX
"MUT_(4,6]",Mutable,"(4,6]",748,680,1428,0.52,0.48,MUT
"MUT_(6,7]",Mutable,"(6,7]",388,372,760,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",824,749,1573,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",297,284,581,0.51,0.49,MUT
