PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,129,84,213,0.61,0.39
CE_VM02,Ceres,Bharani,104,102,206,0.5,0.5
CE_VM03,Ceres,Krittica,116,96,212,0.55,0.45
CE_VM04,Ceres,Rohini,96,85,181,0.53,0.47
CE_VM05,Ceres,Mrigashira,95,99,194,0.49,0.51
CE_VM06,Ceres,Ardra,78,59,137,0.57,0.43
CE_VM07,Ceres,Punavasu,37,54,91,0.41,0.59
CE_VM08,Ceres,Pushya,70,88,158,0.44,0.56
CE_VM09,Ceres,Ashlesha,85,83,168,0.51,0.49
CE_VM10,Ceres,Magha,91,73,164,0.55,0.45
CE_VM11,Ceres,PurvaPhalguni,84,75,159,0.53,0.47
CE_VM12,Ceres,UttaraPhalguni,51,51,102,0.5,0.5
CE_VM13,Ceres,Hasta,43,36,79,0.54,0.46
CE_VM14,Ceres,Chitra,102,85,187,0.55,0.45
CE_VM15,Ceres,Swati,51,48,99,0.52,0.48
CE_VM16,Ceres,Vishakha,31,38,69,0.45,0.55
CE_VM17,Ceres,Anuradha,79,93,172,0.46,0.54
CE_VM18,Ceres,Jyeshtha,85,92,177,0.48,0.52
CE_VM19,Ceres,Mula,94,87,181,0.52,0.48
CE_VM20,Ceres,PurvaAshada,37,40,77,0.48,0.52
CE_VM21,Ceres,UttaraAshada,83,83,166,0.5,0.5
CE_VM22,Ceres,Shravana,91,110,201,0.45,0.55
CE_VM23,Ceres,Danishtha,119,101,220,0.54,0.46
CE_VM24,Ceres,Shatabhisha,138,86,224,0.62,0.38
CE_VM25,Ceres,PurvaBhadrapada,108,99,207,0.52,0.48
CE_VM26,Ceres,UttaraBhadrapada,91,61,152,0.6,0.4
CE_VM27,Ceres,Revati,69,77,146,0.47,0.53
CH_VM22,Chiron,Shravana,301,229,530,0.57,0.43
CH_VM23,Chiron,Danishtha,368,308,676,0.54,0.46
CH_VM24,Chiron,Shatabhisha,452,435,887,0.51,0.49
CH_VM25,Chiron,PurvaBhadrapada,464,420,884,0.52,0.48
CH_VM26,Chiron,UttaraBhadrapada,505,516,1021,0.49,0.51
CH_VM27,Chiron,Revati,167,177,344,0.49,0.51
JN_VM01,Juno,Aswini,31,25,56,0.55,0.45
JN_VM02,Juno,Bharani,35,34,69,0.51,0.49
JN_VM03,Juno,Krittica,80,73,153,0.52,0.48
JN_VM04,Juno,Rohini,23,31,54,0.43,0.57
JN_VM05,Juno,Mrigashira,24,31,55,0.44,0.56
JN_VM06,Juno,Ardra,26,28,54,0.48,0.52
JN_VM07,Juno,Punavasu,27,37,64,0.42,0.58
JN_VM08,Juno,Pushya,81,72,153,0.53,0.47
JN_VM09,Juno,Ashlesha,72,78,150,0.48,0.52
JN_VM10,Juno,Magha,42,47,89,0.47,0.53
JN_VM11,Juno,PurvaPhalguni,91,80,171,0.53,0.47
JN_VM12,Juno,UttaraPhalguni,95,88,183,0.52,0.48
JN_VM13,Juno,Hasta,162,120,282,0.57,0.43
JN_VM14,Juno,Chitra,172,134,306,0.56,0.44
JN_VM15,Juno,Swati,115,108,223,0.52,0.48
JN_VM16,Juno,Vishakha,125,95,220,0.57,0.43
JN_VM17,Juno,Anuradha,131,127,258,0.51,0.49
JN_VM18,Juno,Jyeshtha,166,165,331,0.5,0.5
JN_VM19,Juno,Mula,124,122,246,0.5,0.5
JN_VM20,Juno,PurvaAshada,107,99,206,0.52,0.48
JN_VM21,Juno,UttaraAshada,58,53,111,0.52,0.48
JN_VM22,Juno,Shravana,112,94,206,0.54,0.46
JN_VM23,Juno,Danishtha,62,64,126,0.49,0.51
JN_VM24,Juno,Shatabhisha,83,73,156,0.53,0.47
JN_VM25,Juno,PurvaBhadrapada,109,109,218,0.5,0.5
JN_VM26,Juno,UttaraBhadrapada,78,66,144,0.54,0.46
JN_VM27,Juno,Revati,26,32,58,0.45,0.55
JU_VM01,Jupiter,Aswini,81,70,151,0.54,0.46
JU_VM02,Jupiter,Bharani,56,51,107,0.52,0.48
JU_VM03,Jupiter,Krittica,18,24,42,0.43,0.57
JU_VM04,Jupiter,Rohini,114,102,216,0.53,0.47
JU_VM05,Jupiter,Mrigashira,17,26,43,0.4,0.6
JU_VM06,Jupiter,Ardra,64,51,115,0.56,0.44
JU_VM07,Jupiter,Punavasu,76,73,149,0.51,0.49
JU_VM08,Jupiter,Pushya,22,21,43,0.51,0.49
JU_VM09,Jupiter,Ashlesha,96,127,223,0.43,0.57
JU_VM10,Jupiter,Magha,21,24,45,0.47,0.53
JU_VM11,Jupiter,PurvaPhalguni,91,74,165,0.55,0.45
JU_VM12,Jupiter,UttaraPhalguni,61,45,106,0.58,0.42
JU_VM13,Jupiter,Hasta,68,58,126,0.54,0.46
