PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_SN_a150,1,55,-0.001,0.007,-0.001,-0.001,0.008,-0.016,0.016,0.031,0.05,-0.311,0.001
MA_CH_a72,1,69,-0.001,0.012,0,0,0.007,-0.046,0.039,0.086,-0.345,4.419,0.001
SU_PH_a0,1,48,-0.001,0.008,0,-0.001,0.006,-0.025,0.015,0.04,-0.43,0.678,0.001
SU_PA_a45,1,110,0.001,0.007,0.001,0.001,0.006,-0.027,0.017,0.043,-0.711,2.165,0.001
MA_SA_a90,1,102,0.001,0.007,0.001,0,0.007,-0.021,0.037,0.059,0.92,4.974,0.001
PA_NN_a60,1,105,0,0.007,0,0,0.005,-0.02,0.017,0.037,-0.17,0.856,0.001
PA_SN_a120,1,105,0,0.007,0,0,0.005,-0.02,0.017,0.037,-0.17,0.856,0.001
SU_CH_a60,1,94,0.001,0.006,0.001,0.001,0.005,-0.013,0.024,0.037,0.371,1.312,0.001
SU_NE_a72,1,86,0,0.007,0,0,0.006,-0.025,0.026,0.051,0.179,1.611,0.001
VE_PA_a36,1,92,0,0.008,0,0,0.008,-0.02,0.017,0.037,-0.313,0.17,0.001
VS_PH_a36,1,51,-0.001,0.009,0,0,0.005,-0.03,0.022,0.052,-0.735,1.865,0.001
MA_PL_a30,1,72,0.001,0.011,0.002,0.001,0.006,-0.041,0.044,0.085,0.04,6.343,0.001
SU_SA_a103,1,83,0,0.008,0,0,0.006,-0.032,0.021,0.052,-0.643,2.663,0.001
SU_CE_a72,1,101,0,0.007,0.001,0.001,0.006,-0.026,0.033,0.059,-0.029,4.099,0.001
JU_SN_a72,1,135,0,0.005,0,0,0.005,-0.014,0.013,0.027,-0.315,-0.166,0
MA_UR_a103,1,88,0,0.01,0,0,0.007,-0.046,0.039,0.086,-0.534,5.48,0.001
MA_VS_a30,1,103,0,0.006,0,0,0.005,-0.016,0.017,0.033,-0.139,0.281,0.001
JU_PH_a0,1,33,0.121,0.857,0,0,0.003,-0.829,4.829,5.658,4.973,24.595,0.149
MA_JN_a45,1,63,0,0.013,0.001,0,0.006,-0.064,0.044,0.109,-1.301,8.541,0.002
VE_CH_a45,1,94,0.001,0.01,0.001,0.001,0.006,-0.028,0.044,0.072,0.446,3.905,0.001
VE_PA_a30,1,91,0,0.008,0.001,0,0.006,-0.026,0.024,0.05,-0.49,2.175,0.001
JN_NE_a120,1,104,0,0.008,0,0,0.006,-0.032,0.018,0.05,-0.685,2.39,0.001
VS_JU_a30,1,67,0,0.007,0,0,0.006,-0.018,0.017,0.034,-0.321,0.253,0.001
JN_JU_a45,1,136,0.029,0.421,0,0,0.006,-0.829,4.829,5.658,10.856,121.691,0.036
SU_JN_a60,1,107,0,0.011,0,0,0.006,-0.064,0.044,0.109,-1.313,13.847,0.001
VE_SA_a120,1,84,-0.002,0.006,-0.002,-0.002,0.006,-0.02,0.017,0.036,-0.106,0.385,0.001
VE_PL_a0,1,53,0,0.011,0,0.001,0.007,-0.028,0.033,0.061,-0.101,1.418,0.002
SU_PA_a36,1,112,0,0.006,0,0,0.006,-0.02,0.015,0.035,-0.196,0.756,0.001
MA_JU_a0,1,44,-0.002,0.009,0,-0.001,0.006,-0.032,0.014,0.045,-1.136,1.394,0.001
SU_NE_a60,1,94,0,0.007,0,0,0.006,-0.018,0.02,0.038,0.205,0.361,0.001
JU_NE_a72,1,116,0.034,0.456,0,0,0.006,-0.829,4.829,5.658,9.985,102.802,0.042
