PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1005,859,1864,0.54,0.46
CE_POS,Ceres,Positive,1006,964,1970,0.51,0.49
CH_NEG,Chiron,Negative,1049,990,2039,0.51,0.49
CH_POS,Chiron,Positive,962,833,1795,0.54,0.46
JN_NEG,Juno,Negative,935,828,1763,0.53,0.47
JN_POS,Juno,Positive,1076,995,2071,0.52,0.48
JU_NEG,Jupiter,Negative,1029,951,1980,0.52,0.48
JU_POS,Jupiter,Positive,982,872,1854,0.53,0.47
MA_NEG,Mars,Negative,949,840,1789,0.53,0.47
MA_POS,Mars,Positive,1062,983,2045,0.52,0.48
ME_NEG,Mercury,Negative,1053,907,1960,0.54,0.46
ME_POS,Mercury,Positive,958,916,1874,0.51,0.49
MO_NEG,Moon,Negative,993,931,1924,0.52,0.48
MO_POS,Moon,Positive,1018,892,1910,0.53,0.47
NE_NEG,Neptune,Negative,1237,1200,2437,0.51,0.49
NE_POS,Neptune,Positive,774,623,1397,0.55,0.45
NN_NEG,NNode,Negative,1062,937,1999,0.53,0.47
NN_POS,NNode,Positive,949,886,1835,0.52,0.48
PA_NEG,Pallas,Negative,1051,924,1975,0.53,0.47
PA_POS,Pallas,Positive,960,899,1859,0.52,0.48
PH_NEG,Pholus,Negative,330,338,668,0.49,0.51
PH_POS,Pholus,Positive,1681,1485,3166,0.53,0.47
PL_NEG,Pluto,Negative,1704,1574,3278,0.52,0.48
PL_POS,Pluto,Positive,307,249,556,0.55,0.45
SA_NEG,Saturn,Negative,997,968,1965,0.51,0.49
SA_POS,Saturn,Positive,1014,855,1869,0.54,0.46
SN_NEG,SNode,Negative,1062,937,1999,0.53,0.47
SN_POS,SNode,Positive,949,886,1835,0.52,0.48
SU_NEG,Sun,Negative,1004,912,1916,0.52,0.48
SU_POS,Sun,Positive,1007,911,1918,0.53,0.47
UR_NEG,Uranus,Negative,971,855,1826,0.53,0.47
UR_POS,Uranus,Positive,1040,968,2008,0.52,0.48
VE_NEG,Venus,Negative,968,869,1837,0.53,0.47
VE_POS,Venus,Positive,1043,954,1997,0.52,0.48
VS_NEG,Vesta,Negative,873,874,1747,0.5,0.5
VS_POS,Vesta,Positive,1138,949,2087,0.55,0.45
