MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,79,77,156,0.51,0.49
F_Z02_TAU,Full,Taurus,102,86,188,0.54,0.46
F_Z03_GEM,Full,Gemini,80,93,173,0.46,0.54
F_Z04_CAN,Full,Cancer,87,64,151,0.58,0.42
F_Z05_LEO,Full,Leo,109,85,194,0.56,0.44
F_Z06_VIR,Full,Virgo,98,98,196,0.5,0.5
F_Z07_LIB,Full,Libra,91,66,157,0.58,0.42
F_Z08_SCO,Full,Scorpio,115,80,195,0.59,0.41
F_Z09_SAG,Full,Sagittarius,119,97,216,0.55,0.45
F_Z10_CAP,Full,Capricorn,83,89,172,0.48,0.52
F_Z11_AQU,Full,Aquarius,110,87,197,0.56,0.44
F_Z12_PIS,Full,Pisces,67,73,140,0.48,0.52
N_Z01_ARI,New,Aries,75,62,137,0.55,0.45
N_Z02_TAU,New,Taurus,99,107,206,0.48,0.52
N_Z03_GEM,New,Gemini,88,98,186,0.47,0.53
N_Z04_CAN,New,Cancer,110,80,190,0.58,0.42
N_Z05_LEO,New,Leo,118,91,209,0.56,0.44
N_Z06_VIR,New,Virgo,100,92,192,0.52,0.48
N_Z07_LIB,New,Libra,97,96,193,0.5,0.5
N_Z08_SCO,New,Scorpio,77,97,174,0.44,0.56
N_Z09_SAG,New,Sagittarius,98,79,177,0.55,0.45
N_Z10_CAP,New,Capricorn,85,79,164,0.52,0.48
N_Z11_AQU,New,Aquarius,94,80,174,0.54,0.46
N_Z12_PIS,New,Pisces,68,78,146,0.47,0.53
