PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,1718,1511,3229,0.53,0.47
CE_RET,Ceres,Retrograde,455,450,905,0.5,0.5
CE_STA,Ceres,Stationary,76,73,149,0.51,0.49
CH_DIR,Chiron,Direct,1252,1094,2346,0.53,0.47
CH_RET,Chiron,Retrograde,880,820,1700,0.52,0.48
CH_STA,Chiron,Stationary,117,120,237,0.49,0.51
JN_DIR,Juno,Direct,1673,1553,3226,0.52,0.48
JN_RET,Juno,Retrograde,483,400,883,0.55,0.45
JN_STA,Juno,Stationary,93,81,174,0.53,0.47
JU_DIR,Jupiter,Direct,1440,1334,2774,0.52,0.48
JU_RET,Jupiter,Retrograde,693,605,1298,0.53,0.47
JU_STA,Jupiter,Stationary,116,95,211,0.55,0.45
MA_DIR,Mars,Direct,2000,1788,3788,0.53,0.47
MA_RET,Mars,Retrograde,213,191,404,0.53,0.47
MA_STA,Mars,Stationary,36,55,91,0.4,0.6
ME_DIR,Mercury,Direct,1718,1609,3327,0.52,0.48
ME_RET,Mercury,Retrograde,451,374,825,0.55,0.45
ME_STA,Mercury,Stationary,80,51,131,0.61,0.39
MO_DIR,Moon,Direct,2249,2034,4283,0.53,0.47
NE_DIR,Neptune,Direct,1158,1029,2187,0.53,0.47
NE_RET,Neptune,Retrograde,875,806,1681,0.52,0.48
NE_STA,Neptune,Stationary,216,199,415,0.52,0.48
NN_DIR,NNode,Direct,2249,2034,4283,0.53,0.47
PA_DIR,Pallas,Direct,1625,1496,3121,0.52,0.48
PA_RET,Pallas,Retrograde,533,484,1017,0.52,0.48
PA_STA,Pallas,Stationary,91,54,145,0.63,0.37
PH_DIR,Pholus,Direct,1140,1047,2187,0.52,0.48
PH_RET,Pholus,Retrograde,950,812,1762,0.54,0.46
PH_STA,Pholus,Stationary,159,175,334,0.48,0.52
PL_DIR,Pluto,Direct,1131,1029,2160,0.52,0.48
PL_RET,Pluto,Retrograde,880,781,1661,0.53,0.47
PL_STA,Pluto,Stationary,238,224,462,0.52,0.48
SA_DIR,Saturn,Direct,1281,1187,2468,0.52,0.48
SA_RET,Saturn,Retrograde,821,727,1548,0.53,0.47
SA_STA,Saturn,Stationary,147,120,267,0.55,0.45
SN_DIR,SNode,Direct,2249,2034,4283,0.53,0.47
SU_DIR,Sun,Direct,2249,2034,4283,0.53,0.47
UR_DIR,Uranus,Direct,1259,1118,2377,0.53,0.47
UR_RET,Uranus,Retrograde,846,790,1636,0.52,0.48
UR_STA,Uranus,Stationary,144,126,270,0.53,0.47
VE_DIR,Venus,Direct,2044,1867,3911,0.52,0.48
VE_RET,Venus,Retrograde,164,126,290,0.57,0.43
VE_STA,Venus,Stationary,41,41,82,0.5,0.5
VS_DIR,Vesta,Direct,1811,1593,3404,0.53,0.47
VS_RET,Vesta,Retrograde,363,383,746,0.49,0.51
VS_STA,Vesta,Stationary,75,58,133,0.56,0.44
