PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,791,720,1511,0.52,0.48
CE_POS,Ceres,Positive,773,718,1491,0.52,0.48
CH_NEG,Chiron,Negative,856,790,1646,0.52,0.48
CH_POS,Chiron,Positive,708,648,1356,0.52,0.48
JN_NEG,Juno,Negative,757,667,1424,0.53,0.47
JN_POS,Juno,Positive,807,771,1578,0.51,0.49
JU_NEG,Jupiter,Negative,768,769,1537,0.5,0.5
JU_POS,Jupiter,Positive,796,669,1465,0.54,0.46
MA_NEG,Mars,Negative,750,652,1402,0.53,0.47
MA_POS,Mars,Positive,814,786,1600,0.51,0.49
ME_NEG,Mercury,Negative,771,688,1459,0.53,0.47
ME_POS,Mercury,Positive,793,750,1543,0.51,0.49
MO_NEG,Moon,Negative,809,681,1490,0.54,0.46
MO_POS,Moon,Positive,755,757,1512,0.5,0.5
NE_NEG,Neptune,Negative,1053,967,2020,0.52,0.48
NE_POS,Neptune,Positive,511,471,982,0.52,0.48
NN_NEG,NNode,Negative,699,631,1330,0.53,0.47
NN_POS,NNode,Positive,865,807,1672,0.52,0.48
PA_NEG,Pallas,Negative,790,690,1480,0.53,0.47
PA_POS,Pallas,Positive,774,748,1522,0.51,0.49
PH_NEG,Pholus,Negative,306,270,576,0.53,0.47
PH_POS,Pholus,Positive,1258,1168,2426,0.52,0.48
PL_NEG,Pluto,Negative,1461,1342,2803,0.52,0.48
PL_POS,Pluto,Positive,103,96,199,0.52,0.48
SA_NEG,Saturn,Negative,968,888,1856,0.52,0.48
SA_POS,Saturn,Positive,596,550,1146,0.52,0.48
SN_NEG,SNode,Negative,699,631,1330,0.53,0.47
SN_POS,SNode,Positive,865,807,1672,0.52,0.48
SU_NEG,Sun,Negative,801,690,1491,0.54,0.46
SU_POS,Sun,Positive,763,748,1511,0.5,0.5
UR_NEG,Uranus,Negative,720,666,1386,0.52,0.48
UR_POS,Uranus,Positive,844,772,1616,0.52,0.48
VE_NEG,Venus,Negative,718,711,1429,0.5,0.5
VE_POS,Venus,Positive,846,727,1573,0.54,0.46
VS_NEG,Vesta,Negative,759,658,1417,0.54,0.46
VS_POS,Vesta,Positive,805,780,1585,0.51,0.49
