PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,411,414,825,0.5,0.5
CE_FIX,Ceres,Fixed,486,436,922,0.53,0.47
CE_MUT,Ceres,Mutable,675,575,1250,0.54,0.46
CH_CAR,Chiron,Cardinal,317,273,590,0.54,0.46
CH_FIX,Chiron,Fixed,388,373,761,0.51,0.49
CH_MUT,Chiron,Mutable,867,779,1646,0.53,0.47
JN_CAR,Juno,Cardinal,483,434,917,0.53,0.47
JN_FIX,Juno,Fixed,545,469,1014,0.54,0.46
JN_MUT,Juno,Mutable,544,522,1066,0.51,0.49
JU_CAR,Jupiter,Cardinal,600,536,1136,0.53,0.47
JU_FIX,Jupiter,Fixed,546,491,1037,0.53,0.47
JU_MUT,Jupiter,Mutable,426,398,824,0.52,0.48
MA_CAR,Mars,Cardinal,595,502,1097,0.54,0.46
MA_FIX,Mars,Fixed,483,474,957,0.5,0.5
MA_MUT,Mars,Mutable,494,449,943,0.52,0.48
ME_CAR,Mercury,Cardinal,527,454,981,0.54,0.46
ME_FIX,Mercury,Fixed,530,496,1026,0.52,0.48
ME_MUT,Mercury,Mutable,515,475,990,0.52,0.48
MO_CAR,Moon,Cardinal,526,499,1025,0.51,0.49
MO_FIX,Moon,Fixed,528,442,970,0.54,0.46
MO_MUT,Moon,Mutable,518,484,1002,0.52,0.48
NE_FIX,Neptune,Fixed,509,473,982,0.52,0.48
NE_MUT,Neptune,Mutable,1063,952,2015,0.53,0.47
NN_CAR,NNode,Cardinal,584,533,1117,0.52,0.48
NN_FIX,NNode,Fixed,582,554,1136,0.51,0.49
NN_MUT,NNode,Mutable,406,338,744,0.55,0.45
PA_CAR,Pallas,Cardinal,529,474,1003,0.53,0.47
PA_FIX,Pallas,Fixed,516,436,952,0.54,0.46
PA_MUT,Pallas,Mutable,527,515,1042,0.51,0.49
PH_CAR,Pholus,Cardinal,313,258,571,0.55,0.45
PH_MUT,Pholus,Mutable,1259,1167,2426,0.52,0.48
PL_CAR,Pluto,Cardinal,1476,1322,2798,0.53,0.47
PL_MUT,Pluto,Mutable,96,103,199,0.48,0.52
SA_CAR,Saturn,Cardinal,686,622,1308,0.52,0.48
SA_FIX,Saturn,Fixed,377,326,703,0.54,0.46
SA_MUT,Saturn,Mutable,509,477,986,0.52,0.48
SN_CAR,SNode,Cardinal,584,533,1117,0.52,0.48
SN_FIX,SNode,Fixed,582,554,1136,0.51,0.49
SN_MUT,SNode,Mutable,406,338,744,0.55,0.45
SU_CAR,Sun,Cardinal,543,442,985,0.55,0.45
SU_FIX,Sun,Fixed,511,492,1003,0.51,0.49
SU_MUT,Sun,Mutable,518,491,1009,0.51,0.49
UR_CAR,Uranus,Cardinal,859,757,1616,0.53,0.47
UR_FIX,Uranus,Fixed,309,279,588,0.53,0.47
UR_MUT,Uranus,Mutable,404,389,793,0.51,0.49
VE_CAR,Venus,Cardinal,505,503,1008,0.5,0.5
VE_FIX,Venus,Fixed,515,454,969,0.53,0.47
VE_MUT,Venus,Mutable,552,468,1020,0.54,0.46
VS_CAR,Vesta,Cardinal,506,442,948,0.53,0.47
VS_FIX,Vesta,Fixed,566,551,1117,0.51,0.49
VS_MUT,Vesta,Mutable,500,432,932,0.54,0.46
