MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_01_ARI,Full,Aries,63,43,106,0.59,0.41
F_02_TAU,Full,Taurus,81,65,146,0.55,0.45
F_03_GEM,Full,Gemini,61,55,116,0.53,0.47
F_04_CAN,Full,Cancer,71,48,119,0.6,0.4
F_05_LEO,Full,Leo,68,66,134,0.51,0.49
F_06_VIR,Full,Virgo,72,63,135,0.53,0.47
F_07_LIB,Full,Libra,55,44,99,0.56,0.44
F_08_SCO,Full,Scorpio,71,59,130,0.55,0.45
F_09_SAG,Full,Sagittarius,73,87,160,0.46,0.54
F_10_CAP,Full,Capricorn,74,62,136,0.54,0.46
F_11_AQU,Full,Aquarius,59,65,124,0.48,0.52
F_12_PIS,Full,Pisces,55,60,115,0.48,0.52
N_01_ARI,New,Aries,42,26,68,0.62,0.38
N_02_TAU,New,Taurus,70,76,146,0.48,0.52
N_03_GEM,New,Gemini,75,62,137,0.55,0.45
N_04_CAN,New,Cancer,77,53,130,0.59,0.41
N_05_LEO,New,Leo,67,68,135,0.5,0.5
N_06_VIR,New,Virgo,77,52,129,0.6,0.4
N_07_LIB,New,Libra,62,79,141,0.44,0.56
N_08_SCO,New,Scorpio,62,54,116,0.53,0.47
N_09_SAG,New,Sagittarius,56,61,117,0.48,0.52
N_10_CAP,New,Capricorn,60,66,126,0.48,0.52
N_11_AQU,New,Aquarius,63,53,116,0.54,0.46
N_12_PIS,New,Pisces,45,68,113,0.4,0.6
