PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,90,75,165,0.55,0.45
CE_Z02_TAU,Ceres,Taurus,174,158,332,0.52,0.48
CE_Z03_GEM,Ceres,Gemini,208,196,404,0.51,0.49
CE_Z04_CAN,Ceres,Cancer,136,109,245,0.56,0.44
CE_Z05_LEO,Ceres,Leo,167,163,330,0.51,0.49
CE_Z06_VIR,Ceres,Virgo,184,140,324,0.57,0.43
CE_Z07_LIB,Ceres,Libra,132,137,269,0.49,0.51
CE_Z08_SCO,Ceres,Scorpio,98,80,178,0.55,0.45
CE_Z09_SAG,Ceres,Sagittarius,224,164,388,0.58,0.42
CE_Z10_CAP,Ceres,Capricorn,134,138,272,0.49,0.51
CE_Z11_AQU,Ceres,Aquarius,109,112,221,0.49,0.51
CE_Z12_PIS,Ceres,Pisces,181,181,362,0.5,0.5
CH_Z01_ARI,Chiron,Aries,584,494,1078,0.54,0.46
CH_Z11_AQU,Chiron,Aquarius,397,369,766,0.52,0.48
CH_Z12_PIS,Chiron,Pisces,856,790,1646,0.52,0.48
JN_Z01_ARI,Juno,Aries,101,77,178,0.57,0.43
JN_Z02_TAU,Juno,Taurus,108,97,205,0.53,0.47
JN_Z03_GEM,Juno,Gemini,72,61,133,0.54,0.46
JN_Z04_CAN,Juno,Cancer,65,53,118,0.55,0.45
JN_Z05_LEO,Juno,Leo,142,110,252,0.56,0.44
JN_Z06_VIR,Juno,Virgo,147,156,303,0.49,0.51
JN_Z07_LIB,Juno,Libra,148,161,309,0.48,0.52
JN_Z08_SCO,Juno,Scorpio,149,119,268,0.56,0.44
JN_Z09_SAG,Juno,Sagittarius,316,298,614,0.51,0.49
JN_Z10_CAP,Juno,Capricorn,209,170,379,0.55,0.45
JN_Z11_AQU,Juno,Aquarius,164,177,341,0.48,0.52
JN_Z12_PIS,Juno,Pisces,216,174,390,0.55,0.45
JU_Z01_ARI,Jupiter,Aries,170,130,300,0.57,0.43
JU_Z02_TAU,Jupiter,Taurus,115,132,247,0.47,0.53
JU_Z03_GEM,Jupiter,Gemini,125,130,255,0.49,0.51
JU_Z04_CAN,Jupiter,Cancer,133,125,258,0.52,0.48
JU_Z05_LEO,Jupiter,Leo,135,113,248,0.54,0.46
JU_Z06_VIR,Jupiter,Virgo,30,36,66,0.45,0.55
JU_Z07_LIB,Jupiter,Libra,125,80,205,0.61,0.39
JU_Z08_SCO,Jupiter,Scorpio,136,130,266,0.51,0.49
JU_Z09_SAG,Jupiter,Sagittarius,178,140,318,0.56,0.44
JU_Z10_CAP,Jupiter,Capricorn,255,260,515,0.5,0.5
JU_Z11_AQU,Jupiter,Aquarius,243,207,450,0.54,0.46
JU_Z12_PIS,Jupiter,Pisces,192,170,362,0.53,0.47
MA_Z01_ARI,Mars,Aries,172,152,324,0.53,0.47
MA_Z02_TAU,Mars,Taurus,127,105,232,0.55,0.45
MA_Z03_GEM,Mars,Gemini,202,170,372,0.54,0.46
MA_Z04_CAN,Mars,Cancer,179,149,328,0.55,0.45
MA_Z05_LEO,Mars,Leo,187,196,383,0.49,0.51
MA_Z06_VIR,Mars,Virgo,202,181,383,0.53,0.47
MA_Z07_LIB,Mars,Libra,195,154,349,0.56,0.44
MA_Z08_SCO,Mars,Scorpio,118,100,218,0.54,0.46
MA_Z09_SAG,Mars,Sagittarius,94,104,198,0.47,0.53
MA_Z10_CAP,Mars,Capricorn,106,113,219,0.48,0.52
MA_Z11_AQU,Mars,Aquarius,132,137,269,0.49,0.51
MA_Z12_PIS,Mars,Pisces,123,92,215,0.57,0.43
ME_Z01_ARI,Mercury,Aries,138,106,244,0.57,0.43
ME_Z02_TAU,Mercury,Taurus,123,117,240,0.51,0.49
ME_Z03_GEM,Mercury,Gemini,162,151,313,0.52,0.48
ME_Z04_CAN,Mercury,Cancer,133,131,264,0.5,0.5
ME_Z05_LEO,Mercury,Leo,156,120,276,0.57,0.43
ME_Z06_VIR,Mercury,Virgo,138,119,257,0.54,0.46
ME_Z07_LIB,Mercury,Libra,191,160,351,0.54,0.46
ME_Z08_SCO,Mercury,Scorpio,185,136,321,0.58,0.42
ME_Z09_SAG,Mercury,Sagittarius,156,150,306,0.51,0.49
ME_Z10_CAP,Mercury,Capricorn,167,142,309,0.54,0.46
ME_Z11_AQU,Mercury,Aquarius,153,180,333,0.46,0.54
ME_Z12_PIS,Mercury,Pisces,135,141,276,0.49,0.51
MO_Z01_ARI,Moon,Aries,149,158,307,0.49,0.51
MO_Z02_TAU,Moon,Taurus,155,138,293,0.53,0.47
MO_Z03_GEM,Moon,Gemini,146,153,299,0.49,0.51
MO_Z04_CAN,Moon,Cancer,162,134,296,0.55,0.45
MO_Z05_LEO,Moon,Leo,172,126,298,0.58,0.42
MO_Z06_VIR,Moon,Virgo,155,114,269,0.58,0.42
MO_Z07_LIB,Moon,Libra,131,145,276,0.47,0.53
MO_Z08_SCO,Moon,Scorpio,153,119,272,0.56,0.44
MO_Z09_SAG,Moon,Sagittarius,150,145,295,0.51,0.49
MO_Z10_CAP,Moon,Capricorn,158,142,300,0.53,0.47
MO_Z11_AQU,Moon,Aquarius,147,134,281,0.52,0.48
MO_Z12_PIS,Moon,Pisces,159,145,304,0.52,0.48
NE_Z11_AQU,Neptune,Aquarius,515,472,987,0.52,0.48
NE_Z12_PIS,Neptune,Pisces,1322,1181,2503,0.53,0.47
NN_Z02_TAU,NNode,Taurus,154,117,271,0.57,0.43
NN_Z03_GEM,NNode,Gemini,217,169,386,0.56,0.44
