PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,57,54,111,0.51,0.49
JUNE_a103,161,104,265,0.61,0.39
JUNE_a120,116,110,226,0.51,0.49
JUNE_a135,115,88,203,0.57,0.43
JUNE_a144,121,100,221,0.55,0.45
JUNE_a150,156,131,287,0.54,0.46
JUNE_a180,68,88,156,0.44,0.56
JUNE_a30,90,80,170,0.53,0.47
JUNE_a36,128,116,244,0.52,0.48
JUNE_a45,110,120,230,0.48,0.52
JUNE_a60,111,102,213,0.52,0.48
JUNE_a72,145,150,295,0.49,0.51
JUNE_a90,142,109,251,0.57,0.43
JUPL_a0,71,60,131,0.54,0.46
JUPL_a103,155,132,287,0.54,0.46
JUPL_a120,114,98,212,0.54,0.46
JUPL_a135,124,117,241,0.51,0.49
JUPL_a144,70,95,165,0.42,0.58
JUPL_a150,100,112,212,0.47,0.53
JUPL_a180,67,66,133,0.5,0.5
JUPL_a30,97,80,177,0.55,0.45
JUPL_a36,156,155,311,0.5,0.5
JUPL_a45,193,162,355,0.54,0.46
JUPL_a60,69,71,140,0.49,0.51
JUPL_a72,150,144,294,0.51,0.49
JUPL_a90,112,88,200,0.56,0.44
JUSA_a0,85,107,192,0.44,0.56
JUSA_a103,117,122,239,0.49,0.51
JUSA_a120,122,112,234,0.52,0.48
JUSA_a135,93,103,196,0.47,0.53
JUSA_a144,110,96,206,0.53,0.47
JUSA_a150,67,67,134,0.5,0.5
JUSA_a180,73,83,156,0.47,0.53
JUSA_a30,123,130,253,0.49,0.51
JUSA_a36,122,137,259,0.47,0.53
JUSA_a45,145,113,258,0.56,0.44
JUSA_a60,144,146,290,0.5,0.5
JUSA_a72,180,133,313,0.58,0.42
JUSA_a90,120,113,233,0.52,0.48
JUUR_a0,117,98,215,0.54,0.46
JUUR_a103,128,108,236,0.54,0.46
JUUR_a120,117,131,248,0.47,0.53
JUUR_a135,97,87,184,0.53,0.47
JUUR_a144,167,142,309,0.54,0.46
JUUR_a150,126,107,233,0.54,0.46
JUUR_a180,65,52,117,0.56,0.44
JUUR_a30,172,195,367,0.47,0.53
JUUR_a36,120,115,235,0.51,0.49
