PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,339,299,638,0.53,0.47
CE_VM02,Ceres,Bharani,240,254,494,0.49,0.51
CE_VM03,Ceres,Krittica,226,236,462,0.49,0.51
CE_VM04,Ceres,Rohini,241,213,454,0.53,0.47
CE_VM05,Ceres,Mrigashira,225,213,438,0.51,0.49
CE_VM06,Ceres,Ardra,199,205,404,0.49,0.51
CE_VM07,Ceres,Punavasu,242,231,473,0.51,0.49
CE_VM08,Ceres,Pushya,208,182,390,0.53,0.47
CE_VM09,Ceres,Ashlesha,272,243,515,0.53,0.47
CE_VM10,Ceres,Magha,189,185,374,0.51,0.49
CE_VM11,Ceres,PurvaPhalguni,175,207,382,0.46,0.54
CE_VM12,Ceres,UttaraPhalguni,198,195,393,0.5,0.5
CE_VM13,Ceres,Hasta,180,186,366,0.49,0.51
CE_VM14,Ceres,Chitra,233,218,451,0.52,0.48
CE_VM15,Ceres,Swati,192,200,392,0.49,0.51
CE_VM16,Ceres,Vishakha,236,232,468,0.5,0.5
CE_VM17,Ceres,Anuradha,283,232,515,0.55,0.45
CE_VM18,Ceres,Jyeshtha,276,262,538,0.51,0.49
CE_VM19,Ceres,Mula,252,225,477,0.53,0.47
CE_VM20,Ceres,PurvaAshada,252,227,479,0.53,0.47
CE_VM21,Ceres,UttaraAshada,265,266,531,0.5,0.5
CE_VM22,Ceres,Shravana,267,250,517,0.52,0.48
CE_VM23,Ceres,Danishtha,280,269,549,0.51,0.49
CE_VM24,Ceres,Shatabhisha,362,298,660,0.55,0.45
CE_VM25,Ceres,PurvaBhadrapada,257,271,528,0.49,0.51
CE_VM26,Ceres,UttaraBhadrapada,286,256,542,0.53,0.47
CE_VM27,Ceres,Revati,285,267,552,0.52,0.48
CH_VM01,Chiron,Aswini,454,444,898,0.51,0.49
CH_VM02,Chiron,Bharani,380,400,780,0.49,0.51
CH_VM03,Chiron,Krittica,326,366,692,0.47,0.53
CH_VM04,Chiron,Rohini,279,265,544,0.51,0.49
CH_VM05,Chiron,Mrigashira,237,196,433,0.55,0.45
CH_VM06,Chiron,Ardra,209,186,395,0.53,0.47
CH_VM07,Chiron,Punavasu,165,199,364,0.45,0.55
CH_VM08,Chiron,Pushya,128,135,263,0.49,0.51
CH_VM09,Chiron,Ashlesha,141,116,257,0.55,0.45
CH_VM10,Chiron,Magha,95,87,182,0.52,0.48
CH_VM11,Chiron,PurvaPhalguni,99,75,174,0.57,0.43
CH_VM12,Chiron,UttaraPhalguni,99,106,205,0.48,0.52
CH_VM13,Chiron,Hasta,129,113,242,0.53,0.47
CH_VM14,Chiron,Chitra,102,85,187,0.55,0.45
CH_VM15,Chiron,Swati,95,93,188,0.51,0.49
CH_VM16,Chiron,Vishakha,98,91,189,0.52,0.48
CH_VM17,Chiron,Anuradha,126,132,258,0.49,0.51
CH_VM18,Chiron,Jyeshtha,141,178,319,0.44,0.56
CH_VM19,Chiron,Mula,174,169,343,0.51,0.49
CH_VM20,Chiron,PurvaAshada,198,186,384,0.52,0.48
CH_VM21,Chiron,UttaraAshada,275,208,483,0.57,0.43
CH_VM22,Chiron,Shravana,303,290,593,0.51,0.49
CH_VM23,Chiron,Danishtha,331,325,656,0.5,0.5
CH_VM24,Chiron,Shatabhisha,437,419,856,0.51,0.49
CH_VM25,Chiron,PurvaBhadrapada,454,400,854,0.53,0.47
CH_VM26,Chiron,UttaraBhadrapada,679,604,1283,0.53,0.47
CH_VM27,Chiron,Revati,506,454,960,0.53,0.47
JN_VM01,Juno,Aswini,177,150,327,0.54,0.46
JN_VM02,Juno,Bharani,133,143,276,0.48,0.52
JN_VM03,Juno,Krittica,196,167,363,0.54,0.46
JN_VM04,Juno,Rohini,147,115,262,0.56,0.44
JN_VM05,Juno,Mrigashira,156,117,273,0.57,0.43
JN_VM06,Juno,Ardra,179,151,330,0.54,0.46
JN_VM07,Juno,Punavasu,153,167,320,0.48,0.52
JN_VM08,Juno,Pushya,180,155,335,0.54,0.46
JN_VM09,Juno,Ashlesha,205,188,393,0.52,0.48
JN_VM10,Juno,Magha,225,240,465,0.48,0.52
JN_VM11,Juno,PurvaPhalguni,254,249,503,0.5,0.5
JN_VM12,Juno,UttaraPhalguni,299,274,573,0.52,0.48
JN_VM13,Juno,Hasta,405,334,739,0.55,0.45
JN_VM14,Juno,Chitra,380,371,751,0.51,0.49
JN_VM15,Juno,Swati,351,361,712,0.49,0.51
JN_VM16,Juno,Vishakha,380,390,770,0.49,0.51
JN_VM17,Juno,Anuradha,371,363,734,0.51,0.49
JN_VM18,Juno,Jyeshtha,383,380,763,0.5,0.5
JN_VM19,Juno,Mula,330,313,643,0.51,0.49
JN_VM20,Juno,PurvaAshada,319,271,590,0.54,0.46
JN_VM21,Juno,UttaraAshada,243,276,519,0.47,0.53
JN_VM22,Juno,Shravana,262,241,503,0.52,0.48
JN_VM23,Juno,Danishtha,224,225,449,0.5,0.5
JN_VM24,Juno,Shatabhisha,206,186,392,0.53,0.47
JN_VM25,Juno,PurvaBhadrapada,165,190,355,0.46,0.54
JN_VM26,Juno,UttaraBhadrapada,190,160,350,0.54,0.46
JN_VM27,Juno,Revati,147,145,292,0.5,0.5
JU_VM01,Jupiter,Aswini,285,269,554,0.51,0.49
JU_VM02,Jupiter,Bharani,112,113,225,0.5,0.5
JU_VM03,Jupiter,Krittica,245,263,508,0.48,0.52
JU_VM04,Jupiter,Rohini,252,241,493,0.51,0.49
JU_VM05,Jupiter,Mrigashira,120,124,244,0.49,0.51
JU_VM06,Jupiter,Ardra,309,311,620,0.5,0.5
JU_VM07,Jupiter,Punavasu,155,160,315,0.49,0.51
JU_VM08,Jupiter,Pushya,257,260,517,0.5,0.5
JU_VM09,Jupiter,Ashlesha,262,258,520,0.5,0.5
JU_VM10,Jupiter,Magha,175,170,345,0.51,0.49
JU_VM11,Jupiter,PurvaPhalguni,330,314,644,0.51,0.49
JU_VM12,Jupiter,UttaraPhalguni,159,146,305,0.52,0.48
JU_VM13,Jupiter,Hasta,358,305,663,0.54,0.46
JU_VM14,Jupiter,Chitra,209,208,417,0.5,0.5
JU_VM15,Jupiter,Swati,357,360,717,0.5,0.5
JU_VM16,Jupiter,Vishakha,283,224,507,0.56,0.44
JU_VM17,Jupiter,Anuradha,315,322,637,0.49,0.51
JU_VM18,Jupiter,Jyeshtha,333,276,609,0.55,0.45
JU_VM19,Jupiter,Mula,224,216,440,0.51,0.49
JU_VM20,Jupiter,PurvaAshada,327,377,704,0.46,0.54
JU_VM21,Jupiter,UttaraAshada,213,186,399,0.53,0.47
JU_VM22,Jupiter,Shravana,310,289,599,0.52,0.48
JU_VM23,Jupiter,Danishtha,249,200,449,0.55,0.45
JU_VM24,Jupiter,Shatabhisha,163,151,314,0.52,0.48
JU_VM25,Jupiter,PurvaBhadrapada,294,285,579,0.51,0.49
JU_VM26,Jupiter,UttaraBhadrapada,150,135,285,0.53,0.47
JU_VM27,Jupiter,Revati,214,159,373,0.57,0.43
MA_VM01,Mars,Aswini,246,240,486,0.51,0.49
MA_VM02,Mars,Bharani,266,209,475,0.56,0.44
MA_VM03,Mars,Krittica,241,230,471,0.51,0.49
MA_VM04,Mars,Rohini,255,240,495,0.52,0.48
MA_VM05,Mars,Mrigashira,252,261,513,0.49,0.51
MA_VM06,Mars,Ardra,270,279,549,0.49,0.51
MA_VM07,Mars,Punavasu,270,257,527,0.51,0.49
MA_VM08,Mars,Pushya,302,266,568,0.53,0.47
MA_VM09,Mars,Ashlesha,273,283,556,0.49,0.51
MA_VM10,Mars,Magha,268,307,575,0.47,0.53
MA_VM11,Mars,PurvaPhalguni,310,266,576,0.54,0.46
MA_VM12,Mars,UttaraPhalguni,288,250,538,0.54,0.46
MA_VM13,Mars,Hasta,281,268,549,0.51,0.49
MA_VM14,Mars,Chitra,297,236,533,0.56,0.44
MA_VM15,Mars,Swati,241,245,486,0.5,0.5
MA_VM16,Mars,Vishakha,257,225,482,0.53,0.47
MA_VM17,Mars,Anuradha,220,240,460,0.48,0.52
MA_VM18,Mars,Jyeshtha,209,215,424,0.49,0.51
MA_VM19,Mars,Mula,220,180,400,0.55,0.45
MA_VM20,Mars,PurvaAshada,218,199,417,0.52,0.48
MA_VM21,Mars,UttaraAshada,205,218,423,0.48,0.52
MA_VM22,Mars,Shravana,205,240,445,0.46,0.54
MA_VM23,Mars,Danishtha,192,199,391,0.49,0.51
MA_VM24,Mars,Shatabhisha,223,198,421,0.53,0.47
MA_VM25,Mars,PurvaBhadrapada,204,144,348,0.59,0.41
MA_VM26,Mars,UttaraBhadrapada,216,219,435,0.5,0.5
MA_VM27,Mars,Revati,231,208,439,0.53,0.47
ME_VM01,Mercury,Aswini,239,228,467,0.51,0.49
ME_VM02,Mercury,Bharani,236,210,446,0.53,0.47
ME_VM03,Mercury,Krittica,218,220,438,0.5,0.5
ME_VM04,Mercury,Rohini,211,211,422,0.5,0.5
ME_VM05,Mercury,Mrigashira,193,233,426,0.45,0.55
ME_VM06,Mercury,Ardra,229,222,451,0.51,0.49
ME_VM07,Mercury,Punavasu,226,222,448,0.5,0.5
ME_VM08,Mercury,Pushya,241,208,449,0.54,0.46
ME_VM09,Mercury,Ashlesha,253,241,494,0.51,0.49
ME_VM10,Mercury,Magha,240,235,475,0.51,0.49
ME_VM11,Mercury,PurvaPhalguni,250,243,493,0.51,0.49
ME_VM12,Mercury,UttaraPhalguni,273,217,490,0.56,0.44
ME_VM13,Mercury,Hasta,216,266,482,0.45,0.55
ME_VM14,Mercury,Chitra,238,278,516,0.46,0.54
ME_VM15,Mercury,Swati,273,264,537,0.51,0.49
ME_VM16,Mercury,Vishakha,280,248,528,0.53,0.47
ME_VM17,Mercury,Anuradha,283,241,524,0.54,0.46
ME_VM18,Mercury,Jyeshtha,267,233,500,0.53,0.47
ME_VM19,Mercury,Mula,273,237,510,0.54,0.46
ME_VM20,Mercury,PurvaAshada,268,239,507,0.53,0.47
ME_VM21,Mercury,UttaraAshada,254,229,483,0.53,0.47
ME_VM22,Mercury,Shravana,262,236,498,0.53,0.47
ME_VM23,Mercury,Danishtha,264,241,505,0.52,0.48
ME_VM24,Mercury,Shatabhisha,258,229,487,0.53,0.47
ME_VM25,Mercury,PurvaBhadrapada,237,250,487,0.49,0.51
ME_VM26,Mercury,UttaraBhadrapada,247,220,467,0.53,0.47
ME_VM27,Mercury,Revati,231,221,452,0.51,0.49
MO_VM01,Moon,Aswini,239,244,483,0.49,0.51
MO_VM02,Moon,Bharani,255,234,489,0.52,0.48
MO_VM03,Moon,Krittica,262,219,481,0.54,0.46
MO_VM04,Moon,Rohini,240,241,481,0.5,0.5
MO_VM05,Moon,Mrigashira,237,242,479,0.49,0.51
MO_VM06,Moon,Ardra,230,248,478,0.48,0.52
MO_VM07,Moon,Punavasu,243,242,485,0.5,0.5
MO_VM08,Moon,Pushya,247,238,485,0.51,0.49
MO_VM09,Moon,Ashlesha,240,237,477,0.5,0.5
MO_VM10,Moon,Magha,252,239,491,0.51,0.49
MO_VM11,Moon,PurvaPhalguni,250,229,479,0.52,0.48
MO_VM12,Moon,UttaraPhalguni,255,215,470,0.54,0.46
MO_VM13,Moon,Hasta,232,243,475,0.49,0.51
MO_VM14,Moon,Chitra,259,211,470,0.55,0.45
MO_VM15,Moon,Swati,252,241,493,0.51,0.49
MO_VM16,Moon,Vishakha,254,211,465,0.55,0.45
MO_VM17,Moon,Anuradha,253,229,482,0.52,0.48
MO_VM18,Moon,Jyeshtha,227,252,479,0.47,0.53
MO_VM19,Moon,Mula,250,227,477,0.52,0.48
MO_VM20,Moon,PurvaAshada,258,226,484,0.53,0.47
MO_VM21,Moon,UttaraAshada,256,229,485,0.53,0.47
MO_VM22,Moon,Shravana,245,246,491,0.5,0.5
MO_VM23,Moon,Danishtha,259,224,483,0.54,0.46
MO_VM24,Moon,Shatabhisha,259,226,485,0.53,0.47
MO_VM25,Moon,PurvaBhadrapada,239,231,470,0.51,0.49
MO_VM26,Moon,UttaraBhadrapada,231,252,483,0.48,0.52
MO_VM27,Moon,Revati,236,246,482,0.49,0.51
NE_VM17,Neptune,Anuradha,707,677,1384,0.51,0.49
NE_VM18,Neptune,Jyeshtha,791,753,1544,0.51,0.49
NE_VM19,Neptune,Mula,763,777,1540,0.5,0.5
NE_VM20,Neptune,PurvaAshada,796,771,1567,0.51,0.49
NE_VM21,Neptune,UttaraAshada,800,746,1546,0.52,0.48
NE_VM22,Neptune,Shravana,788,746,1534,0.51,0.49
NE_VM23,Neptune,Danishtha,784,736,1520,0.52,0.48
NE_VM24,Neptune,Shatabhisha,789,728,1517,0.52,0.48
NE_VM25,Neptune,PurvaBhadrapada,442,388,830,0.53,0.47
NN_VM01,NNode,Aswini,188,161,349,0.54,0.46
NN_VM02,NNode,Bharani,190,155,345,0.55,0.45
NN_VM03,NNode,Krittica,172,178,350,0.49,0.51
NN_VM04,NNode,Rohini,232,214,446,0.52,0.48
NN_VM05,NNode,Mrigashira,248,273,521,0.48,0.52
NN_VM06,NNode,Ardra,257,263,520,0.49,0.51
NN_VM07,NNode,Punavasu,250,271,521,0.48,0.52
NN_VM08,NNode,Pushya,242,280,522,0.46,0.54
NN_VM09,NNode,Ashlesha,274,246,520,0.53,0.47
NN_VM10,NNode,Magha,265,256,521,0.51,0.49
NN_VM11,NNode,PurvaPhalguni,269,255,524,0.51,0.49
NN_VM12,NNode,UttaraPhalguni,283,238,521,0.54,0.46
NN_VM13,NNode,Hasta,262,260,522,0.5,0.5
NN_VM14,NNode,Chitra,266,256,522,0.51,0.49
