PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,3283,3181,6464,0.51,0.49
CE_POS,Ceres,Positive,3428,3199,6627,0.52,0.48
CH_NEG,Chiron,Negative,3260,3135,6395,0.51,0.49
CH_POS,Chiron,Positive,3451,3245,6696,0.52,0.48
JN_NEG,Juno,Negative,3264,3156,6420,0.51,0.49
JN_POS,Juno,Positive,3447,3224,6671,0.52,0.48
JU_NEG,Jupiter,Negative,3305,3263,6568,0.5,0.5
JU_POS,Jupiter,Positive,3406,3117,6523,0.52,0.48
MA_NEG,Mars,Negative,3351,3092,6443,0.52,0.48
MA_POS,Mars,Positive,3360,3288,6648,0.51,0.49
ME_NEG,Mercury,Negative,3409,3152,6561,0.52,0.48
ME_POS,Mercury,Positive,3302,3228,6530,0.51,0.49
MO_NEG,Moon,Negative,3377,3168,6545,0.52,0.48
MO_POS,Moon,Positive,3334,3212,6546,0.51,0.49
NE_NEG,Neptune,Negative,3219,2977,6196,0.52,0.48
NE_POS,Neptune,Positive,3492,3403,6895,0.51,0.49
NN_NEG,NNode,Negative,3332,3115,6447,0.52,0.48
NN_POS,NNode,Positive,3379,3265,6644,0.51,0.49
PA_NEG,Pallas,Negative,3371,3219,6590,0.51,0.49
PA_POS,Pallas,Positive,3340,3161,6501,0.51,0.49
PH_NEG,Pholus,Negative,3353,3160,6513,0.51,0.49
PH_POS,Pholus,Positive,3358,3220,6578,0.51,0.49
PL_NEG,Pluto,Negative,3528,3259,6787,0.52,0.48
PL_POS,Pluto,Positive,3183,3121,6304,0.5,0.5
SA_NEG,Saturn,Negative,3307,3181,6488,0.51,0.49
SA_POS,Saturn,Positive,3404,3199,6603,0.52,0.48
SN_NEG,SNode,Negative,3332,3115,6447,0.52,0.48
SN_POS,SNode,Positive,3379,3265,6644,0.51,0.49
SU_NEG,Sun,Negative,3361,3150,6511,0.52,0.48
SU_POS,Sun,Positive,3350,3230,6580,0.51,0.49
UR_NEG,Uranus,Negative,3173,3001,6174,0.51,0.49
UR_POS,Uranus,Positive,3538,3379,6917,0.51,0.49
VE_NEG,Venus,Negative,3295,3125,6420,0.51,0.49
VE_POS,Venus,Positive,3416,3255,6671,0.51,0.49
VS_NEG,Vesta,Negative,3303,3118,6421,0.51,0.49
VS_POS,Vesta,Positive,3408,3262,6670,0.51,0.49
