MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,200,196,396,0.51,0.49
F_Z02_TAU,Full,Taurus,251,202,453,0.55,0.45
F_Z03_GEM,Full,Gemini,232,218,450,0.52,0.48
F_Z04_CAN,Full,Cancer,206,202,408,0.5,0.5
F_Z05_LEO,Full,Leo,248,211,459,0.54,0.46
F_Z06_VIR,Full,Virgo,272,236,508,0.54,0.46
F_Z07_LIB,Full,Libra,238,195,433,0.55,0.45
F_Z08_SCO,Full,Scorpio,252,241,493,0.51,0.49
F_Z09_SAG,Full,Sagittarius,237,266,503,0.47,0.53
F_Z10_CAP,Full,Capricorn,240,224,464,0.52,0.48
F_Z11_AQU,Full,Aquarius,241,230,471,0.51,0.49
F_Z12_PIS,Full,Pisces,178,197,375,0.47,0.53
N_Z01_ARI,New,Aries,195,181,376,0.52,0.48
N_Z02_TAU,New,Taurus,245,248,493,0.5,0.5
N_Z03_GEM,New,Gemini,237,253,490,0.48,0.52
N_Z04_CAN,New,Cancer,238,237,475,0.5,0.5
N_Z05_LEO,New,Leo,245,224,469,0.52,0.48
N_Z06_VIR,New,Virgo,250,259,509,0.49,0.51
N_Z07_LIB,New,Libra,248,251,499,0.5,0.5
N_Z08_SCO,New,Scorpio,228,199,427,0.53,0.47
N_Z09_SAG,New,Sagittarius,230,210,440,0.52,0.48
N_Z10_CAP,New,Capricorn,246,214,460,0.53,0.47
N_Z11_AQU,New,Aquarius,235,205,440,0.53,0.47
N_Z12_PIS,New,Pisces,176,191,367,0.48,0.52
