PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1208,1107,2315,0.52,0.48,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1791,1732,3523,0.51,0.49,CAR
"CAR_(8,14]",Cardinal,"(8,14]",871,837,1708,0.51,0.49,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2775,2629,5404,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",1349,1244,2593,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",990,957,1947,0.51,0.49,FIX
"FIX_(7,14]",Fixed,"(7,14]",1250,1187,2437,0.51,0.49,FIX
"FIX_[0,5]",Fixed,"[0,5]",3056,2917,5973,0.51,0.49,FIX
"MUT_(4,6]",Mutable,"(4,6]",2464,2307,4771,0.52,0.48,MUT
"MUT_(6,7]",Mutable,"(6,7]",1189,1139,2328,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",1658,1593,3251,0.51,0.49,MUT
"MUT_[0,4]",Mutable,"[0,4]",1334,1266,2600,0.51,0.49,MUT
