"AAPL"
"ADA-USD"
"AMZN"
"AUDUSD=X"
"AXP"
"BAT-USD"
"BNB-USD"
"BTC-USD"
"CAT"
"DASH-USD"
"EOS-USD"
"EURUSD=X"
"GBPUSD=X"
"GLD"
"KO"
"LINK-USD"
"LTC-USD"
"MSFT"
"USDCAD=X"
"USDJPY=X"
"ZEC-USD"
"ZRX-USD"
"^DJI"
"^FTSE"
"^GSPC"
"^IBEX"
"^IXIC"
"^N225"
"^NSEBANK"
"^NSEI"
