PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",572,581,1153,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",905,755,1660,0.55,0.45,CAR
"CAR_(8,14]",Cardinal,"(8,14]",463,354,817,0.57,0.43,CAR
"CAR_[0,5]",Cardinal,"[0,5]",1813,1591,3404,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",712,660,1372,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",543,502,1045,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",770,654,1424,0.54,0.46,FIX
"FIX_[0,5]",Fixed,"[0,5]",1728,1465,3193,0.54,0.46,FIX
"MUT_(4,6]",Mutable,"(4,6]",1487,1237,2724,0.55,0.45,MUT
"MUT_(6,7]",Mutable,"(6,7]",672,618,1290,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",989,924,1913,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",605,502,1107,0.55,0.45,MUT
