PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,91,89,180,0.51,0.49
CE_Z01_2ARI,Ceres,AriesD2,76,102,178,0.43,0.57
CE_Z01_3ARI,Ceres,AriesD3,128,116,244,0.52,0.48
CE_Z02_1TAU,Ceres,TaurusD1,139,122,261,0.53,0.47
CE_Z02_2TAU,Ceres,TaurusD2,94,98,192,0.49,0.51
CE_Z02_3TAU,Ceres,TaurusD3,102,80,182,0.56,0.44
CE_Z03_1GEM,Ceres,GeminiD1,102,80,182,0.56,0.44
CE_Z03_2GEM,Ceres,GeminiD2,85,81,166,0.51,0.49
CE_Z03_3GEM,Ceres,GeminiD3,88,98,186,0.47,0.53
CE_Z04_1CAN,Ceres,CancerD1,80,75,155,0.52,0.48
CE_Z04_2CAN,Ceres,CancerD2,101,82,183,0.55,0.45
CE_Z04_3CAN,Ceres,CancerD3,78,86,164,0.48,0.52
CE_Z05_1LEO,Ceres,LeoD1,102,106,208,0.49,0.51
CE_Z05_2LEO,Ceres,LeoD2,134,118,252,0.53,0.47
CE_Z05_3LEO,Ceres,LeoD1,55,63,118,0.47,0.53
CE_Z06_1VIR,Ceres,VirgoD1,106,82,188,0.56,0.44
CE_Z06_2VIR,Ceres,VirgoD2,84,60,144,0.58,0.42
CE_Z06_3VIR,Ceres,VirgoD3,84,67,151,0.56,0.44
CE_Z07_1LIB,Ceres,LibraD1,101,82,183,0.55,0.45
CE_Z07_2LIB,Ceres,LibraD2,72,59,131,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,91,79,170,0.54,0.46
CE_Z08_1SCO,Ceres,ScorpioD1,80,59,139,0.58,0.42
CE_Z08_2SCO,Ceres,ScorpioD2,100,86,186,0.54,0.46
CE_Z08_3SCO,Ceres,ScorpioD3,94,70,164,0.57,0.43
CE_Z09_1SAG,Ceres,SagittariusD1,144,140,284,0.51,0.49
CE_Z09_2SAG,Ceres,SagittariusD2,131,95,226,0.58,0.42
CE_Z09_3SAG,Ceres,SagittariusD3,114,90,204,0.56,0.44
CE_Z10_1CAP,Ceres,CapricornD1,96,101,197,0.49,0.51
CE_Z10_2CAP,Ceres,CapricornD2,100,84,184,0.54,0.46
CE_Z10_3CAP,Ceres,CapricornD3,116,104,220,0.53,0.47
CE_Z11_1AQU,Ceres,AquariusD1,108,91,199,0.54,0.46
CE_Z11_2AQU,Ceres,AquariusD2,104,88,192,0.54,0.46
CE_Z11_3AQU,Ceres,AquariusD3,122,115,237,0.51,0.49
CE_Z12_1PIS,Ceres,PiscesD1,153,122,275,0.56,0.44
CE_Z12_2PIS,Ceres,PiscesD2,138,125,263,0.52,0.48
CE_Z12_3PIS,Ceres,PiscesD3,96,86,182,0.53,0.47
CH_Z01_1ARI,Chiron,AriesD1,322,294,616,0.52,0.48
CH_Z05_3LEO,Chiron,LeoD1,24,13,37,0.65,0.35
CH_Z06_1VIR,Chiron,VirgoD1,124,106,230,0.54,0.46
CH_Z06_2VIR,Chiron,VirgoD2,23,32,55,0.42,0.58
CH_Z06_3VIR,Chiron,VirgoD3,112,105,217,0.52,0.48
CH_Z07_1LIB,Chiron,LibraD1,62,55,117,0.53,0.47
CH_Z07_2LIB,Chiron,LibraD2,96,60,156,0.62,0.38
CH_Z07_3LIB,Chiron,LibraD3,88,66,154,0.57,0.43
CH_Z08_1SCO,Chiron,ScorpioD1,63,56,119,0.53,0.47
CH_Z08_2SCO,Chiron,ScorpioD2,131,98,229,0.57,0.43
CH_Z08_3SCO,Chiron,ScorpioD3,72,60,132,0.55,0.45
CH_Z09_1SAG,Chiron,SagittariusD1,88,70,158,0.56,0.44
CH_Z09_2SAG,Chiron,SagittariusD2,124,121,245,0.51,0.49
CH_Z09_3SAG,Chiron,SagittariusD3,130,122,252,0.52,0.48
CH_Z10_1CAP,Chiron,CapricornD1,118,140,258,0.46,0.54
CH_Z10_2CAP,Chiron,CapricornD2,147,115,262,0.56,0.44
CH_Z10_3CAP,Chiron,CapricornD3,211,156,367,0.57,0.43
CH_Z11_1AQU,Chiron,AquariusD1,235,170,405,0.58,0.42
CH_Z11_2AQU,Chiron,AquariusD2,218,218,436,0.5,0.5
CH_Z11_3AQU,Chiron,AquariusD3,280,243,523,0.54,0.46
CH_Z12_1PIS,Chiron,PiscesD1,323,335,658,0.49,0.51
CH_Z12_2PIS,Chiron,PiscesD2,323,286,609,0.53,0.47
CH_Z12_3PIS,Chiron,PiscesD3,375,360,735,0.51,0.49
JN_Z01_1ARI,Juno,AriesD1,105,83,188,0.56,0.44
JN_Z01_2ARI,Juno,AriesD2,84,69,153,0.55,0.45
JN_Z01_3ARI,Juno,AriesD3,45,37,82,0.55,0.45
JN_Z02_1TAU,Juno,TaurusD1,52,28,80,0.65,0.35
JN_Z02_2TAU,Juno,TaurusD2,42,42,84,0.5,0.5
JN_Z02_3TAU,Juno,TaurusD3,86,79,165,0.52,0.48
JN_Z03_1GEM,Juno,GeminiD1,46,56,102,0.45,0.55
JN_Z03_2GEM,Juno,GeminiD2,87,67,154,0.56,0.44
JN_Z03_3GEM,Juno,GeminiD3,62,55,117,0.53,0.47
JN_Z04_1CAN,Juno,CancerD1,47,35,82,0.57,0.43
JN_Z04_2CAN,Juno,CancerD2,48,33,81,0.59,0.41
JN_Z04_3CAN,Juno,CancerD3,42,43,85,0.49,0.51
JN_Z05_1LEO,Juno,LeoD1,82,72,154,0.53,0.47
JN_Z05_2LEO,Juno,LeoD2,113,99,212,0.53,0.47
JN_Z05_3LEO,Juno,LeoD1,95,95,190,0.5,0.5
JN_Z06_1VIR,Juno,VirgoD1,69,53,122,0.57,0.43
JN_Z06_2VIR,Juno,VirgoD2,97,98,195,0.5,0.5
JN_Z06_3VIR,Juno,VirgoD3,160,137,297,0.54,0.46
JN_Z07_1LIB,Juno,LibraD1,139,123,262,0.53,0.47
JN_Z07_2LIB,Juno,LibraD2,174,177,351,0.5,0.5
JN_Z07_3LIB,Juno,LibraD3,181,165,346,0.52,0.48
JN_Z08_1SCO,Juno,ScorpioD1,175,167,342,0.51,0.49
JN_Z08_2SCO,Juno,ScorpioD2,159,133,292,0.54,0.46
JN_Z08_3SCO,Juno,ScorpioD3,162,149,311,0.52,0.48
JN_Z09_1SAG,Juno,SagittariusD1,137,160,297,0.46,0.54
JN_Z09_2SAG,Juno,SagittariusD2,148,124,272,0.54,0.46
JN_Z09_3SAG,Juno,SagittariusD3,144,147,291,0.49,0.51
JN_Z10_1CAP,Juno,CapricornD1,157,116,273,0.58,0.42
JN_Z10_2CAP,Juno,CapricornD2,140,130,270,0.52,0.48
JN_Z10_3CAP,Juno,CapricornD3,91,82,173,0.53,0.47
JN_Z11_1AQU,Juno,AquariusD1,91,76,167,0.54,0.46
JN_Z11_2AQU,Juno,AquariusD2,133,129,262,0.51,0.49
JN_Z11_3AQU,Juno,AquariusD3,97,72,169,0.57,0.43
JN_Z12_1PIS,Juno,PiscesD1,53,38,91,0.58,0.42
JN_Z12_2PIS,Juno,PiscesD2,52,40,92,0.57,0.43
JN_Z12_3PIS,Juno,PiscesD3,94,72,166,0.57,0.43
JU_Z01_1ARI,Jupiter,AriesD1,67,66,133,0.5,0.5
JU_Z01_2ARI,Jupiter,AriesD2,33,24,57,0.58,0.42
