
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase  Buy Sell DaysN BuyDays% SellDays%
28: 2021-02-07    0.82   0.53   1.11         0      23        NA       24    Mars   NNode  SemiSextile  118   98   216     0.55      0.45
29: 2021-02-07    0.82   0.53   1.11         0      23        NA       24    Mars   SNode     Quincunx  118   98   216     0.55      0.45
30: 2021-02-07    1.12   0.55   1.68         0      23        NA       24 Mercury  Pholus   SemiSquare  116  130   246     0.47      0.53
31: 2021-02-07    1.34   0.86   1.82         0      23        NA       24 Mercury   Vesta     Quincunx   77   65   142     0.54      0.46
32: 2021-02-07    0.69   0.55   0.83         0      23        NA       24  Pallas  Chiron   SemiSquare  116  107   223     0.52      0.48
33: 2021-02-07    1.01   0.87   1.15         0      23        NA       24  Pallas Neptune  SemiSextile  141  133   274     0.51      0.49
34: 2021-02-07    0.30   0.16   0.45         0      23        NA       24  Pallas  Pholus   SemiSquare  132  119   251     0.53      0.47
35: 2021-02-07    0.85   0.81   0.90         0      23        NA       24  Saturn  Pholus  SemiSextile   72   64   136     0.53      0.47
36: 2021-02-07    0.93   0.88   0.98         0      23        NA       24  Saturn  Uranus       Square   34   46    80     0.42      0.57
37: 2021-02-07    0.57   0.11   1.04         0      23        NA       24     Sun Neptune  SemiSextile  128  112   240     0.53      0.47
38: 2021-02-07    1.28   0.81   1.75         0      23        NA       24     Sun  Pholus   SemiSquare  112  121   233     0.48      0.52
39: 2021-02-07    1.05   0.50   1.61         0      23        NA       24     Sun   Vesta     Quincunx   71   61   132     0.54      0.46
40: 2021-02-07    1.20   0.62   1.78         0      23        NA       24   Venus  Chiron      Sextile  137  131   268     0.51      0.49
41: 2021-02-07    1.34   0.80   1.88         0      23        NA       24   Venus  Saturn  Conjunction   66   54   120     0.55      0.45
42: 2021-02-07    0.48   0.39   0.57         0      23        NA       24   Vesta Neptune   Opposition   72   81   153     0.47      0.53
43: 2021-02-07    0.53   0.30   0.76         0      23        NA       24   Vesta  Pallas     Quincunx  120  117   237     0.51      0.49
44: 2021-02-07    1.08   0.95   1.21         0      23        NA       24   Vesta  Saturn SesquiSquare  218  176   394     0.55      0.45
          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  Buy Sell DaysN BuyDays% SellDays%
