PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
SU_JN_a144,1,11,0.031,0.059,0.011,0.021,0.025,-0.011,0.163,0.173,1.326,0.048,0.018
MO_NN_a103,1,53,0,0.045,-0.004,-0.004,0.024,-0.103,0.154,0.257,1.057,2.529,0.006
CE_UR_a72,1,12,0.01,0.016,0.009,0.011,0.013,-0.025,0.038,0.063,-0.376,0.007,0.005
MA_PA_a90,1,16,0.008,0.025,0.006,0.008,0.03,-0.044,0.05,0.094,-0.335,-0.785,0.006
ME_SA_a103,1,18,0.005,0.031,-0.002,0.003,0.029,-0.038,0.077,0.115,0.581,-0.393,0.007
SU_PH_a135,1,16,0.001,0.012,0.002,0.002,0.015,-0.024,0.018,0.043,-0.327,-0.858,0.003
SU_UR_a103,1,18,0.015,0.046,0.016,0.018,0.032,-0.115,0.094,0.21,-0.912,1.459,0.011
MA_CE_a30,1,19,-0.005,0.039,0.001,-0.003,0.023,-0.103,0.063,0.166,-1.076,0.987,0.009
VS_SA_a103,1,9,0.013,0.019,0.016,0.013,0.021,-0.025,0.037,0.061,-0.431,-0.962,0.006
VE_JN_a180,1,6,0,0.049,0.007,0,0.03,-0.077,0.07,0.148,-0.164,-1.237,0.02
VE_JU_a103,1,14,0,0.05,0.008,0.003,0.029,-0.103,0.064,0.167,-0.792,-0.482,0.013
ME_MA_a30,1,13,0,0.019,0,-0.001,0.011,-0.026,0.037,0.062,0.328,-0.864,0.005
MA_JN_a144,1,31,0.011,0.058,0.016,0.016,0.026,-0.169,0.104,0.273,-1.033,1.479,0.01
MO_NE_a72,1,53,-0.001,0.03,0.004,0,0.023,-0.077,0.055,0.132,-0.472,-0.286,0.004
CE_CH_a103,1,10,0,0.03,-0.004,-0.003,0.031,-0.035,0.063,0.098,0.76,-0.493,0.009
SU_CH_a135,1,21,0.021,0.084,0.014,0.011,0.04,-0.115,0.311,0.426,1.762,4.186,0.018
MO_PA_a120,1,65,0.003,0.04,0.002,0.001,0.023,-0.077,0.213,0.29,2.125,10.387,0.005
SU_NE_a150,1,17,-0.014,0.037,-0.007,-0.011,0.032,-0.115,0.035,0.15,-1.045,1.01,0.009
ME_PA_a120,1,25,-0.01,0.068,-0.013,-0.011,0.059,-0.148,0.167,0.316,0.315,0.345,0.014
MO_NE_a60,1,65,0.007,0.055,0.002,0.001,0.033,-0.097,0.269,0.365,2.269,8.34,0.007
MA_PH_a135,1,11,0.005,0.035,-0.005,0.002,0.029,-0.027,0.063,0.09,0.653,-1.409,0.011
MA_UR_a103,1,15,0.017,0.056,0.002,0.008,0.041,-0.028,0.169,0.197,1.42,1.06,0.015
VS_PA_a120,1,18,-0.007,0.028,-0.011,-0.008,0.022,-0.057,0.063,0.12,0.49,0.192,0.007
PA_PH_a135,1,29,-0.009,0.028,-0.012,-0.01,0.021,-0.057,0.063,0.12,0.745,0.083,0.005
