PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1886,1687,3573,0.53,0.47
CE_POS,Ceres,Positive,2037,1722,3759,0.54,0.46
CH_NEG,Chiron,Negative,2042,1812,3854,0.53,0.47
CH_POS,Chiron,Positive,1881,1597,3478,0.54,0.46
JN_NEG,Juno,Negative,1845,1588,3433,0.54,0.46
JN_POS,Juno,Positive,2078,1821,3899,0.53,0.47
JU_NEG,Jupiter,Negative,1994,1765,3759,0.53,0.47
JU_POS,Jupiter,Positive,1929,1644,3573,0.54,0.46
MA_NEG,Mars,Negative,1938,1715,3653,0.53,0.47
MA_POS,Mars,Positive,1985,1694,3679,0.54,0.46
ME_NEG,Mercury,Negative,2014,1679,3693,0.55,0.45
ME_POS,Mercury,Positive,1909,1730,3639,0.52,0.48
MO_NEG,Moon,Negative,1938,1733,3671,0.53,0.47
MO_POS,Moon,Positive,1985,1676,3661,0.54,0.46
NE_NEG,Neptune,Negative,2161,1797,3958,0.55,0.45
NE_POS,Neptune,Positive,1762,1612,3374,0.52,0.48
NN_NEG,NNode,Negative,1963,1673,3636,0.54,0.46
NN_POS,NNode,Positive,1960,1736,3696,0.53,0.47
PA_NEG,Pallas,Negative,1971,1657,3628,0.54,0.46
PA_POS,Pallas,Positive,1952,1752,3704,0.53,0.47
PH_NEG,Pholus,Negative,1492,1316,2808,0.53,0.47
PH_POS,Pholus,Positive,2431,2093,4524,0.54,0.46
PL_NEG,Pluto,Negative,2213,1867,4080,0.54,0.46
PL_POS,Pluto,Positive,1710,1542,3252,0.53,0.47
SA_NEG,Saturn,Negative,1929,1698,3627,0.53,0.47
SA_POS,Saturn,Positive,1994,1711,3705,0.54,0.46
SN_NEG,SNode,Negative,1963,1673,3636,0.54,0.46
SN_POS,SNode,Positive,1960,1736,3696,0.53,0.47
SU_NEG,Sun,Negative,1969,1667,3636,0.54,0.46
SU_POS,Sun,Positive,1954,1742,3696,0.53,0.47
UR_NEG,Uranus,Negative,1883,1588,3471,0.54,0.46
UR_POS,Uranus,Positive,2040,1821,3861,0.53,0.47
VE_NEG,Venus,Negative,1905,1639,3544,0.54,0.46
VE_POS,Venus,Positive,2018,1770,3788,0.53,0.47
VS_NEG,Vesta,Negative,1959,1713,3672,0.53,0.47
VS_POS,Vesta,Positive,1964,1696,3660,0.54,0.46
