MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,171,112,283,0.6,0.4
F_Z02_TAU,Full,Taurus,201,127,328,0.61,0.39
F_Z03_GEM,Full,Gemini,189,145,334,0.57,0.43
F_Z04_CAN,Full,Cancer,147,141,288,0.51,0.49
F_Z05_LEO,Full,Leo,199,144,343,0.58,0.42
F_Z06_VIR,Full,Virgo,200,143,343,0.58,0.42
F_Z07_LIB,Full,Libra,196,129,325,0.6,0.4
F_Z08_SCO,Full,Scorpio,179,150,329,0.54,0.46
F_Z09_SAG,Full,Sagittarius,170,198,368,0.46,0.54
F_Z10_CAP,Full,Capricorn,174,152,326,0.53,0.47
F_Z11_AQU,Full,Aquarius,174,172,346,0.5,0.5
F_Z12_PIS,Full,Pisces,144,143,287,0.5,0.5
N_Z01_ARI,New,Aries,155,117,272,0.57,0.43
N_Z02_TAU,New,Taurus,207,174,381,0.54,0.46
N_Z03_GEM,New,Gemini,157,169,326,0.48,0.52
N_Z04_CAN,New,Cancer,201,149,350,0.57,0.43
N_Z05_LEO,New,Leo,181,154,335,0.54,0.46
N_Z06_VIR,New,Virgo,190,184,374,0.51,0.49
N_Z07_LIB,New,Libra,182,158,340,0.54,0.46
N_Z08_SCO,New,Scorpio,191,132,323,0.59,0.41
N_Z09_SAG,New,Sagittarius,170,130,300,0.57,0.43
N_Z10_CAP,New,Capricorn,206,153,359,0.57,0.43
N_Z11_AQU,New,Aquarius,158,130,288,0.55,0.45
N_Z12_PIS,New,Pisces,136,137,273,0.5,0.5
