PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MA_PH_a120,1,148,0,0.01,0.001,0,0.008,-0.032,0.03,0.062,-0.271,0.986,0.001
ME_NN_a103,1,157,-0.001,0.01,-0.001,-0.001,0.008,-0.05,0.031,0.082,-0.684,3.587,0.001
JN_SA_a60,1,124,0.001,0.008,0.001,0.001,0.007,-0.019,0.026,0.045,0.36,1.375,0.001
JN_UR_a90,1,142,0,0.013,0.001,0.001,0.008,-0.069,0.046,0.115,-0.759,6.304,0.001
VE_UR_a103,1,177,0,0.011,0,-0.001,0.007,-0.056,0.045,0.102,-0.282,4.671,0.001
VE_NE_a103,1,180,0.001,0.011,0.001,0.001,0.007,-0.069,0.046,0.115,-1.361,11.471,0.001
CE_NN_a36,1,179,0,0.007,0,0,0.007,-0.022,0.022,0.044,-0.409,0.613,0.001
CE_SN_a144,1,179,0,0.007,0,0,0.007,-0.022,0.022,0.044,-0.409,0.613,0.001
JN_JU_a135,1,143,0.001,0.007,0.001,0,0.006,-0.018,0.025,0.043,0.379,0.829,0.001
JN_NE_a90,1,178,0.001,0.008,0.001,0.001,0.005,-0.025,0.042,0.067,0.774,4.283,0.001
MA_UR_a72,1,151,0.001,0.009,0.001,0.001,0.006,-0.025,0.029,0.054,0.048,0.941,0.001
ME_NE_a90,1,196,0,0.01,0,0,0.008,-0.037,0.028,0.065,-0.378,0.992,0.001
ME_PA_a103,1,152,0,0.012,0.001,0,0.008,-0.03,0.057,0.088,0.832,4.227,0.001
ME_SA_a60,1,172,0,0.011,0,0,0.007,-0.037,0.041,0.078,-0.217,2.738,0.001
ME_UR_a90,1,172,0,0.01,0,0,0.008,-0.025,0.042,0.066,0.29,1.126,0.001
VE_CH_a90,1,194,0,0.01,0,0,0.008,-0.052,0.03,0.082,-0.946,4.221,0.001
VE_MA_a36,1,209,-0.001,0.012,0,0,0.008,-0.057,0.035,0.092,-1.297,4.544,0.001
VE_NN_a120,1,194,0.001,0.009,0.001,0.001,0.008,-0.032,0.039,0.07,-0.028,2.132,0.001
VE_SN_a60,1,194,0.001,0.009,0.001,0.001,0.008,-0.032,0.039,0.07,-0.028,2.132,0.001
ME_CH_a103,1,149,-0.001,0.01,0,0,0.006,-0.05,0.031,0.082,-1.451,6.937,0.001
MO_JN_a45,1,498,0.001,0.012,0.001,0.001,0.008,-0.05,0.108,0.158,1.481,15.639,0.001
SU_PH_a72,1,166,-0.001,0.011,0,0,0.007,-0.046,0.025,0.072,-1.565,4.679,0.001
ME_SN_a72,1,240,0,0.013,0.001,0,0.009,-0.069,0.045,0.114,-0.76,4.027,0.001
JN_CE_a72,1,34,0.001,0.008,0,0.001,0.004,-0.029,0.02,0.049,-0.699,3.605,0.001
MA_NE_a72,1,127,-0.001,0.011,0,0,0.006,-0.076,0.031,0.107,-2.572,14.694,0.001
ME_PL_a150,1,166,0.001,0.009,0.001,0.001,0.008,-0.025,0.026,0.051,0.087,0.482,0.001
JN_PA_a103,1,220,0.001,0.012,0.001,0.001,0.006,-0.044,0.085,0.129,1.34,11.058,0.001
VE_PA_a120,1,173,0.001,0.011,0,0.001,0.008,-0.028,0.067,0.096,1.107,7.767,0.001
SU_UR_a120,1,175,-0.001,0.011,-0.001,-0.001,0.009,-0.029,0.044,0.074,0.389,1.693,0.001
SU_NN_a135,1,177,-0.001,0.011,0,-0.001,0.007,-0.039,0.033,0.073,-0.541,2.111,0.001
SU_SA_a90,1,170,0.001,0.009,0.001,0.001,0.006,-0.03,0.035,0.066,-0.312,2.353,0.001
SU_SN_a45,1,177,-0.001,0.011,0,-0.001,0.007,-0.039,0.033,0.073,-0.541,2.111,0.001
JN_CH_a103,1,182,0.001,0.01,0.001,0.001,0.006,-0.041,0.038,0.078,0.1,4.097,0.001
JN_SN_a72,1,193,0,0.009,0,0,0.007,-0.041,0.028,0.069,-0.298,2.236,0.001
VE_CE_a90,1,191,0.001,0.016,0.001,0,0.009,-0.075,0.109,0.184,1.189,14.711,0.001
SU_NE_a120,1,176,0.001,0.014,0.001,0.001,0.008,-0.078,0.109,0.187,1.587,22.009,0.001
MA_NN_a90,1,162,0,0.01,0,0,0.007,-0.056,0.026,0.082,-1.132,5.245,0.001
MA_SN_a90,1,162,0,0.01,0,0,0.007,-0.056,0.026,0.082,-1.132,5.245,0.001
MA_SA_a45,1,199,0.001,0.012,0.001,0.001,0.007,-0.052,0.063,0.115,0.514,7.423,0.001
JN_PL_a150,1,102,0,0.007,0,0,0.006,-0.025,0.018,0.044,-0.524,1.142,0.001
MO_CE_a180,1,266,0.001,0.012,0.001,0.001,0.007,-0.075,0.068,0.143,-0.424,11.268,0.001
MA_CH_a120,1,153,-0.001,0.011,0,0,0.007,-0.054,0.039,0.093,-1.677,7.599,0.001
ME_PH_a90,1,127,0,0.008,0,0,0.004,-0.02,0.025,0.046,0.434,1.593,0.001
ME_SA_a72,1,206,0.001,0.01,0,0.001,0.006,-0.026,0.066,0.092,2.033,10.011,0.001
ME_UR_a103,1,168,0.001,0.009,0.001,0.001,0.006,-0.021,0.042,0.063,0.474,2.599,0.001
SU_CE_a103,1,156,0,0.014,0,0,0.009,-0.069,0.042,0.11,-0.804,5.089,0.001
SU_CH_a72,1,183,0.002,0.012,0.002,0.002,0.006,-0.036,0.066,0.101,1.524,7.004,0.001
SU_JU_a103,1,170,0.002,0.01,0.001,0.001,0.007,-0.033,0.033,0.067,-0.049,1.878,0.001
SU_PA_a135,1,131,0.001,0.014,0.001,0.001,0.007,-0.035,0.108,0.143,3.291,26.02,0.001
SU_PL_a180,1,83,0.002,0.009,0.002,0.002,0.008,-0.023,0.037,0.06,0.228,2.416,0.001
ME_NE_a103,1,155,0,0.012,0.001,0.001,0.007,-0.069,0.029,0.097,-1.656,8.792,0.001
MA_PL_a135,1,228,0,0.01,0,0,0.007,-0.036,0.048,0.084,-0.016,3.806,0.001
ME_NN_a120,1,402,0,0.01,0.001,0,0.007,-0.06,0.03,0.09,-1.042,4.619,0.001
ME_SN_a60,1,402,0,0.01,0.001,0,0.006,-0.06,0.03,0.09,-1.044,4.623,0.001
MA_PA_a90,1,230,0,0.01,0,0,0.008,-0.025,0.035,0.06,0.371,0.969,0.001
ME_CH_a90,1,176,0.001,0.013,0.001,0.001,0.009,-0.046,0.065,0.112,0.616,4.271,0.001
VE_PH_a72,1,153,-0.001,0.011,0,0,0.007,-0.069,0.031,0.099,-1.631,8.336,0.001
ME_PA_a120,1,149,0,0.015,0,0,0.007,-0.057,0.108,0.165,1.943,17.315,0.001
VE_NN_a135,1,157,0,0.009,0,0,0.007,-0.041,0.029,0.069,-0.388,2.46,0.001
VE_SN_a45,1,157,0,0.009,0,0,0.007,-0.041,0.029,0.069,-0.388,2.46,0.001
VE_UR_a120,1,164,0,0.011,0.001,0.001,0.006,-0.075,0.021,0.096,-2.502,14.453,0.001
VE_SA_a90,1,171,0.001,0.009,0.001,0.001,0.007,-0.026,0.046,0.072,0.421,3.307,0.001
SU_NN_a144,1,177,0.001,0.01,0,0.001,0.007,-0.045,0.038,0.082,-0.023,3.612,0.001
SU_SN_a36,1,177,0.001,0.01,0,0.001,0.007,-0.045,0.038,0.082,-0.023,3.612,0.001
VE_NE_a120,1,161,-0.001,0.01,0,0,0.007,-0.045,0.031,0.076,-0.87,3.359,0.001
MA_CE_a60,1,138,0,0.012,0,-0.001,0.008,-0.063,0.049,0.112,-0.13,5.713,0.001
ME_CE_a90,1,198,0,0.01,0,0,0.008,-0.029,0.031,0.06,-0.158,0.608,0.001
SU_PH_a60,1,178,0,0.011,0.001,0,0.008,-0.069,0.046,0.115,-1.216,8.465,0.001
VE_PA_a135,1,147,0.001,0.009,0.002,0.002,0.007,-0.033,0.021,0.054,-0.652,1.704,0.001
VE_PL_a180,1,88,0.001,0.008,0.001,0.001,0.007,-0.015,0.029,0.045,0.401,0.453,0.001
VE_CE_a103,1,175,0,0.013,0,0,0.008,-0.035,0.108,0.143,3.218,28.396,0.001
SU_PA_a144,1,133,0,0.013,0,0.001,0.009,-0.05,0.042,0.092,-0.752,3.112,0.001
VE_CH_a72,1,180,0,0.012,0.001,0,0.007,-0.056,0.049,0.105,-0.109,4.496,0.001
CE_PA_a36,1,585,0.001,0.009,0.001,0.001,0.007,-0.072,0.047,0.119,-0.612,8.61,0
SU_VS_a103,1,158,0,0.01,0.001,0,0.007,-0.069,0.028,0.097,-1.888,12.058,0.001
ME_NN_a135,1,237,0,0.009,0,0.001,0.008,-0.041,0.03,0.071,-0.318,1.799,0.001
ME_PH_a72,1,167,0.001,0.011,0.001,0.001,0.009,-0.044,0.029,0.073,-0.575,2.078,0.001
ME_SN_a45,1,237,0,0.009,0,0.001,0.008,-0.041,0.03,0.071,-0.318,1.799,0.001
ME_UR_a120,1,167,0,0.01,0,0,0.007,-0.069,0.03,0.098,-1.76,10.784,0.001
SU_SA_a103,1,175,0,0.009,0.001,0.001,0.005,-0.045,0.022,0.067,-1.189,3.759,0.001
ME_SA_a90,1,170,0.001,0.012,0.001,0.001,0.009,-0.041,0.045,0.086,0.129,2.48,0.001
ME_NE_a120,1,173,0.001,0.016,0.001,0.001,0.007,-0.069,0.108,0.177,1.285,14.762,0.001
SU_NN_a150,1,173,-0.001,0.01,0,0,0.008,-0.028,0.026,0.054,-0.391,0.549,0.001
SU_SN_a30,1,173,-0.001,0.01,0,0,0.008,-0.028,0.026,0.054,-0.391,0.549,0.001
ME_PA_a135,1,119,0,0.012,-0.001,0,0.007,-0.05,0.033,0.084,-0.857,3.837,0.001
VS_JN_a135,1,197,0.001,0.014,0,0,0.007,-0.078,0.109,0.187,1.738,24.16,0.001
VE_NN_a144,1,175,0,0.009,0,0,0.007,-0.026,0.048,0.075,0.63,3.557,0.001
VE_SN_a36,1,176,0.001,0.009,0,0,0.007,-0.026,0.048,0.075,0.624,3.574,0.001
SU_UR_a135,1,171,0.001,0.012,0.001,0.001,0.007,-0.044,0.045,0.09,-0.158,3.18,0.001
ME_PL_a180,1,50,0,0.008,0.002,0.001,0.007,-0.022,0.016,0.038,-0.632,0.16,0.001
JN_PH_a90,1,212,0.001,0.01,0,0,0.006,-0.035,0.048,0.083,0.711,4.415,0.001
SU_JN_a36,1,224,0,0.013,0,0,0.007,-0.063,0.066,0.129,-0.184,7.943,0.001
ME_CE_a103,1,136,0.001,0.011,0.001,0.001,0.006,-0.047,0.047,0.094,0.235,4.746,0.001
SU_NE_a135,1,166,0,0.011,0,0,0.007,-0.069,0.049,0.118,-0.431,11.1,0.001
VE_MA_a45,1,228,0.001,0.012,0.001,0.001,0.006,-0.037,0.044,0.081,0.251,3.214,0.001
