PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",703,635,1338,0.53,0.47,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1126,837,1963,0.57,0.43,CAR
"CAR_(8,14]",Cardinal,"(8,14]",498,397,895,0.56,0.44,CAR
"CAR_[0,5]",Cardinal,"[0,5]",1951,1674,3625,0.54,0.46,CAR
"FIX_(5,6]",Fixed,"(5,6]",846,721,1567,0.54,0.46,FIX
"FIX_(6,7]",Fixed,"(6,7]",659,554,1213,0.54,0.46,FIX
"FIX_(7,14]",Fixed,"(7,14]",846,725,1571,0.54,0.46,FIX
"FIX_[0,5]",Fixed,"[0,5]",1927,1543,3470,0.56,0.44,FIX
"MUT_(4,6]",Mutable,"(4,6]",1660,1403,3063,0.54,0.46,MUT
"MUT_(6,7]",Mutable,"(6,7]",750,616,1366,0.55,0.45,MUT
"MUT_(7,13]",Mutable,"(7,13]",1087,922,2009,0.54,0.46,MUT
"MUT_[0,4]",Mutable,"[0,4]",781,602,1383,0.56,0.44,MUT
