PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,866,781,1647,0.53,0.47
CE_RET,Ceres,Retrograde,215,207,422,0.51,0.49
CE_STA,Ceres,Stationary,43,30,73,0.59,0.41
CH_DIR,Chiron,Direct,669,520,1189,0.56,0.44
CH_RET,Chiron,Retrograde,407,425,832,0.49,0.51
CH_STA,Chiron,Stationary,48,73,121,0.4,0.6
JN_DIR,Juno,Direct,822,762,1584,0.52,0.48
JN_RET,Juno,Retrograde,243,224,467,0.52,0.48
JN_STA,Juno,Stationary,59,32,91,0.65,0.35
JU_DIR,Jupiter,Direct,728,710,1438,0.51,0.49
JU_RET,Jupiter,Retrograde,338,261,599,0.56,0.44
JU_STA,Jupiter,Stationary,58,47,105,0.55,0.45
MA_DIR,Mars,Direct,1005,891,1896,0.53,0.47
MA_RET,Mars,Retrograde,98,97,195,0.5,0.5
MA_STA,Mars,Stationary,21,30,51,0.41,0.59
ME_DIR,Mercury,Direct,874,781,1655,0.53,0.47
ME_RET,Mercury,Retrograde,218,203,421,0.52,0.48
ME_STA,Mercury,Stationary,32,34,66,0.48,0.52
MO_DIR,Moon,Direct,1124,1018,2142,0.52,0.48
NE_DIR,Neptune,Direct,640,502,1142,0.56,0.44
NE_RET,Neptune,Retrograde,384,410,794,0.48,0.52
NE_STA,Neptune,Stationary,100,106,206,0.49,0.51
NN_DIR,NNode,Direct,1124,1018,2142,0.52,0.48
PA_DIR,Pallas,Direct,857,801,1658,0.52,0.48
PA_RET,Pallas,Retrograde,235,187,422,0.56,0.44
PA_STA,Pallas,Stationary,32,30,62,0.52,0.48
PH_DIR,Pholus,Direct,580,523,1103,0.53,0.47
PH_RET,Pholus,Retrograde,443,401,844,0.52,0.48
PH_STA,Pholus,Stationary,101,94,195,0.52,0.48
PL_DIR,Pluto,Direct,590,523,1113,0.53,0.47
PL_RET,Pluto,Retrograde,397,391,788,0.5,0.5
PL_STA,Pluto,Stationary,137,104,241,0.57,0.43
SA_DIR,Saturn,Direct,696,605,1301,0.53,0.47
SA_RET,Saturn,Retrograde,361,343,704,0.51,0.49
SA_STA,Saturn,Stationary,67,70,137,0.49,0.51
SN_DIR,SNode,Direct,1124,1018,2142,0.52,0.48
SU_DIR,Sun,Direct,1124,1018,2142,0.52,0.48
UR_DIR,Uranus,Direct,647,533,1180,0.55,0.45
UR_RET,Uranus,Retrograde,410,422,832,0.49,0.51
UR_STA,Uranus,Stationary,67,63,130,0.52,0.48
VE_DIR,Venus,Direct,1028,923,1951,0.53,0.47
VE_RET,Venus,Retrograde,82,73,155,0.53,0.47
VE_STA,Venus,Stationary,14,22,36,0.39,0.61
VS_DIR,Vesta,Direct,869,742,1611,0.54,0.46
VS_RET,Vesta,Retrograde,214,243,457,0.47,0.53
VS_STA,Vesta,Stationary,41,33,74,0.55,0.45
