PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,504,466,970,0.52,0.48
CE_POS,Ceres,Positive,675,594,1269,0.53,0.47
CH_NEG,Chiron,Negative,575,553,1128,0.51,0.49
CH_POS,Chiron,Positive,604,507,1111,0.54,0.46
JN_NEG,Juno,Negative,599,542,1141,0.52,0.48
JN_POS,Juno,Positive,580,518,1098,0.53,0.47
JU_NEG,Jupiter,Negative,649,595,1244,0.52,0.48
JU_POS,Jupiter,Positive,530,465,995,0.53,0.47
MA_NEG,Mars,Negative,519,487,1006,0.52,0.48
MA_POS,Mars,Positive,660,573,1233,0.54,0.46
ME_NEG,Mercury,Negative,616,528,1144,0.54,0.46
ME_POS,Mercury,Positive,563,532,1095,0.51,0.49
MO_NEG,Moon,Negative,581,544,1125,0.52,0.48
MO_POS,Moon,Positive,598,516,1114,0.54,0.46
NE_NEG,Neptune,Negative,1179,1060,2239,0.53,0.47
NN_NEG,NNode,Negative,587,546,1133,0.52,0.48
NN_POS,NNode,Positive,592,514,1106,0.54,0.46
PA_NEG,Pallas,Negative,634,541,1175,0.54,0.46
PA_POS,Pallas,Positive,545,519,1064,0.51,0.49
PH_NEG,Pholus,Negative,594,486,1080,0.55,0.45
PH_POS,Pholus,Positive,585,574,1159,0.5,0.5
PL_NEG,Pluto,Negative,1179,1060,2239,0.53,0.47
SA_NEG,Saturn,Negative,519,510,1029,0.5,0.5
SA_POS,Saturn,Positive,660,550,1210,0.55,0.45
SN_NEG,SNode,Negative,587,545,1132,0.52,0.48
SN_POS,SNode,Positive,592,515,1107,0.53,0.47
SU_NEG,Sun,Negative,606,522,1128,0.54,0.46
SU_POS,Sun,Positive,573,538,1111,0.52,0.48
UR_NEG,Uranus,Negative,603,506,1109,0.54,0.46
UR_POS,Uranus,Positive,576,554,1130,0.51,0.49
VE_NEG,Venus,Negative,554,495,1049,0.53,0.47
VE_POS,Venus,Positive,625,565,1190,0.53,0.47
VS_NEG,Vesta,Negative,693,578,1271,0.55,0.45
VS_POS,Vesta,Positive,486,482,968,0.5,0.5
