MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,44,52,96,0.46,0.54
F_Z02_TAU,Full,Taurus,35,40,75,0.47,0.53
F_Z03_GEM,Full,Gemini,45,57,102,0.44,0.56
F_Z04_CAN,Full,Cancer,50,23,73,0.68,0.32
F_Z05_LEO,Full,Leo,69,50,119,0.58,0.42
F_Z06_VIR,Full,Virgo,27,34,61,0.44,0.56
F_Z07_LIB,Full,Libra,60,45,105,0.57,0.43
F_Z08_SCO,Full,Scorpio,48,28,76,0.63,0.37
F_Z09_SAG,Full,Sagittarius,62,58,120,0.52,0.48
F_Z10_CAP,Full,Capricorn,25,36,61,0.41,0.59
F_Z11_AQU,Full,Aquarius,46,45,91,0.51,0.49
F_Z12_PIS,Full,Pisces,41,45,86,0.48,0.52
N_Z01_ARI,New,Aries,39,34,73,0.53,0.47
N_Z02_TAU,New,Taurus,75,53,128,0.59,0.41
N_Z03_GEM,New,Gemini,29,29,58,0.5,0.5
N_Z04_CAN,New,Cancer,43,43,86,0.5,0.5
N_Z05_LEO,New,Leo,46,45,91,0.51,0.49
N_Z06_VIR,New,Virgo,45,44,89,0.51,0.49
N_Z07_LIB,New,Libra,50,57,107,0.47,0.53
N_Z08_SCO,New,Scorpio,48,42,90,0.53,0.47
N_Z09_SAG,New,Sagittarius,47,43,90,0.52,0.48
N_Z10_CAP,New,Capricorn,57,47,104,0.55,0.45
N_Z11_AQU,New,Aquarius,54,35,89,0.61,0.39
N_Z12_PIS,New,Pisces,39,33,72,0.54,0.46
