PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",191,175,366,0.52,0.48,CAR
"CAR_(6,8]",Cardinal,"(6,8]",333,326,659,0.51,0.49,CAR
"CAR_(8,14]",Cardinal,"(8,14]",304,247,551,0.55,0.45,CAR
"CAR_[0,5]",Cardinal,"[0,5]",351,312,663,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",127,124,251,0.51,0.49,FIX
"FIX_(6,7]",Fixed,"(6,7]",95,73,168,0.57,0.43,FIX
"FIX_(7,14]",Fixed,"(7,14]",86,80,166,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",871,783,1654,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",328,306,634,0.52,0.48,MUT
"MUT_(6,7]",Mutable,"(6,7]",197,165,362,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",416,384,800,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",238,205,443,0.54,0.46,MUT
