PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_01_1ARI,Ceres,AriesD1,43,38,81,0.53,0.47
CE_01_2ARI,Ceres,AriesD2,32,27,59,0.54,0.46
CE_01_3ARI,Ceres,AriesD3,66,76,142,0.46,0.54
CE_02_1TAU,Ceres,TaurusD1,70,71,141,0.5,0.5
CE_02_2TAU,Ceres,TaurusD2,71,66,137,0.52,0.48
CE_02_3TAU,Ceres,TaurusD3,70,40,110,0.64,0.36
CE_03_1GEM,Ceres,GeminiD1,28,27,55,0.51,0.49
CE_03_2GEM,Ceres,GeminiD2,27,39,66,0.41,0.59
CE_03_3GEM,Ceres,GeminiD3,68,68,136,0.5,0.5
CE_04_1CAN,Ceres,CancerD1,62,40,102,0.61,0.39
CE_04_2CAN,Ceres,CancerD2,59,66,125,0.47,0.53
CE_04_3CAN,Ceres,CancerD3,50,35,85,0.59,0.41
CE_05_1LEO,Ceres,LeoD1,54,74,128,0.42,0.58
CE_05_2LEO,Ceres,LeoD2,77,73,150,0.51,0.49
CE_05_3LEO,Ceres,LeoD1,33,37,70,0.47,0.53
CE_06_1VIR,Ceres,VirgoD1,84,72,156,0.54,0.46
CE_06_2VIR,Ceres,VirgoD2,55,61,116,0.47,0.53
CE_06_3VIR,Ceres,VirgoD3,38,27,65,0.58,0.42
CE_07_1LIB,Ceres,LibraD1,40,28,68,0.59,0.41
CE_07_2LIB,Ceres,LibraD2,48,49,97,0.49,0.51
CE_07_3LIB,Ceres,LibraD3,69,76,145,0.48,0.52
CE_08_1SCO,Ceres,ScorpioD1,55,53,108,0.51,0.49
CE_08_2SCO,Ceres,ScorpioD2,72,86,158,0.46,0.54
CE_08_3SCO,Ceres,ScorpioD3,61,72,133,0.46,0.54
CE_09_1SAG,Ceres,SagittariusD1,75,90,165,0.45,0.55
CE_09_2SAG,Ceres,SagittariusD2,52,64,116,0.45,0.55
CE_09_3SAG,Ceres,SagittariusD3,91,79,170,0.54,0.46
CE_10_1CAP,Ceres,CapricornD1,55,79,134,0.41,0.59
CE_10_2CAP,Ceres,CapricornD2,35,39,74,0.47,0.53
CE_10_3CAP,Ceres,CapricornD3,67,74,141,0.48,0.52
CE_11_1AQU,Ceres,AquariusD1,83,87,170,0.49,0.51
CE_11_2AQU,Ceres,AquariusD2,82,76,158,0.52,0.48
CE_11_3AQU,Ceres,AquariusD3,100,90,190,0.53,0.47
CE_12_1PIS,Ceres,PiscesD1,87,70,157,0.55,0.45
CE_12_2PIS,Ceres,PiscesD2,102,76,178,0.57,0.43
CE_12_3PIS,Ceres,PiscesD3,72,71,143,0.5,0.5
CH_01_1ARI,Chiron,AriesD1,303,301,604,0.5,0.5
CH_10_2CAP,Chiron,CapricornD2,18,14,32,0.56,0.44
CH_10_3CAP,Chiron,CapricornD3,190,185,375,0.51,0.49
CH_11_1AQU,Chiron,AquariusD1,199,215,414,0.48,0.52
CH_11_2AQU,Chiron,AquariusD2,236,195,431,0.55,0.45
CH_11_3AQU,Chiron,AquariusD3,277,256,533,0.52,0.48
CH_12_1PIS,Chiron,PiscesD1,346,323,669,0.52,0.48
CH_12_2PIS,Chiron,PiscesD2,287,335,622,0.46,0.54
CH_12_3PIS,Chiron,PiscesD3,377,372,749,0.5,0.5
JN_01_1ARI,Juno,AriesD1,57,56,113,0.5,0.5
JN_01_2ARI,Juno,AriesD2,24,32,56,0.43,0.57
JN_01_3ARI,Juno,AriesD3,24,31,55,0.44,0.56
JN_02_1TAU,Juno,TaurusD1,25,32,57,0.44,0.56
JN_02_2TAU,Juno,TaurusD2,22,37,59,0.37,0.63
JN_02_3TAU,Juno,TaurusD3,75,72,147,0.51,0.49
JN_03_1GEM,Juno,GeminiD1,33,45,78,0.42,0.58
JN_03_2GEM,Juno,GeminiD2,54,76,130,0.42,0.58
JN_03_3GEM,Juno,GeminiD3,40,55,95,0.42,0.58
JN_04_1CAN,Juno,CancerD1,32,27,59,0.54,0.46
JN_04_2CAN,Juno,CancerD2,33,23,56,0.59,0.41
JN_04_3CAN,Juno,CancerD3,30,29,59,0.51,0.49
JN_05_1LEO,Juno,LeoD1,58,70,128,0.45,0.55
JN_05_2LEO,Juno,LeoD2,56,77,133,0.42,0.58
JN_05_3LEO,Juno,LeoD1,39,28,67,0.58,0.42
JN_06_1VIR,Juno,VirgoD1,30,34,64,0.47,0.53
JN_06_2VIR,Juno,VirgoD2,69,54,123,0.56,0.44
JN_06_3VIR,Juno,VirgoD3,90,74,164,0.55,0.45
JN_07_1LIB,Juno,LibraD1,71,67,138,0.51,0.49
JN_07_2LIB,Juno,LibraD2,128,117,245,0.52,0.48
JN_07_3LIB,Juno,LibraD3,123,100,223,0.55,0.45
JN_08_1SCO,Juno,ScorpioD1,89,79,168,0.53,0.47
JN_08_2SCO,Juno,ScorpioD2,82,72,154,0.53,0.47
JN_08_3SCO,Juno,ScorpioD3,83,90,173,0.48,0.52
JN_09_1SAG,Juno,SagittariusD1,79,91,170,0.46,0.54
JN_09_2SAG,Juno,SagittariusD2,67,78,145,0.46,0.54
