PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",388,414,802,0.48,0.52,CAR
"CAR_(6,8]",Cardinal,"(6,8]",662,610,1272,0.52,0.48,CAR
"CAR_(8,14]",Cardinal,"(8,14]",268,299,567,0.47,0.53,CAR
"CAR_[0,5]",Cardinal,"[0,5]",992,968,1960,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",454,431,885,0.51,0.49,FIX
"FIX_(6,7]",Fixed,"(6,7]",288,300,588,0.49,0.51,FIX
"FIX_(7,14]",Fixed,"(7,14]",282,286,568,0.5,0.5,FIX
"FIX_[0,5]",Fixed,"[0,5]",1286,1274,2560,0.5,0.5,FIX
"MUT_(4,6]",Mutable,"(4,6]",791,770,1561,0.51,0.49,MUT
"MUT_(6,7]",Mutable,"(6,7]",402,410,812,0.5,0.5,MUT
"MUT_(7,13]",Mutable,"(7,13]",798,782,1580,0.51,0.49,MUT
"MUT_[0,4]",Mutable,"[0,4]",319,329,648,0.49,0.51,MUT
