PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,653,655,1308,0.5,0.5
CE_FIX,Ceres,Fixed,854,859,1713,0.5,0.5
CE_MUT,Ceres,Mutable,790,762,1552,0.51,0.49
CH_CAR,Chiron,Cardinal,575,580,1155,0.5,0.5
CH_FIX,Chiron,Fixed,712,666,1378,0.52,0.48
CH_MUT,Chiron,Mutable,1010,1030,2040,0.5,0.5
JN_CAR,Juno,Cardinal,809,760,1569,0.52,0.48
JN_FIX,Juno,Fixed,726,721,1447,0.5,0.5
JN_MUT,Juno,Mutable,762,795,1557,0.49,0.51
JU_CAR,Jupiter,Cardinal,812,717,1529,0.53,0.47
JU_FIX,Jupiter,Fixed,722,777,1499,0.48,0.52
JU_MUT,Jupiter,Mutable,763,782,1545,0.49,0.51
MA_CAR,Mars,Cardinal,789,755,1544,0.51,0.49
MA_FIX,Mars,Fixed,789,812,1601,0.49,0.51
MA_MUT,Mars,Mutable,719,709,1428,0.5,0.5
ME_CAR,Mercury,Cardinal,771,731,1502,0.51,0.49
ME_FIX,Mercury,Fixed,762,781,1543,0.49,0.51
ME_MUT,Mercury,Mutable,764,764,1528,0.5,0.5
MO_CAR,Moon,Cardinal,758,773,1531,0.5,0.5
MO_FIX,Moon,Fixed,766,760,1526,0.5,0.5
MO_MUT,Moon,Mutable,773,743,1516,0.51,0.49
NE_FIX,Neptune,Fixed,1039,981,2020,0.51,0.49
NE_MUT,Neptune,Mutable,1258,1295,2553,0.49,0.51
NN_CAR,NNode,Cardinal,766,831,1597,0.48,0.52
NN_FIX,NNode,Fixed,754,694,1448,0.52,0.48
NN_MUT,NNode,Mutable,777,751,1528,0.51,0.49
PA_CAR,Pallas,Cardinal,814,788,1602,0.51,0.49
PA_FIX,Pallas,Fixed,685,666,1351,0.51,0.49
PA_MUT,Pallas,Mutable,798,822,1620,0.49,0.51
PH_CAR,Pholus,Cardinal,367,379,746,0.49,0.51
PH_FIX,Pholus,Fixed,240,251,491,0.49,0.51
PH_MUT,Pholus,Mutable,1690,1646,3336,0.51,0.49
PL_CAR,Pluto,Cardinal,1696,1698,3394,0.5,0.5
PL_MUT,Pluto,Mutable,601,578,1179,0.51,0.49
SA_CAR,Saturn,Cardinal,899,900,1799,0.5,0.5
SA_FIX,Saturn,Fixed,730,718,1448,0.5,0.5
SA_MUT,Saturn,Mutable,668,658,1326,0.5,0.5
SN_CAR,SNode,Cardinal,766,831,1597,0.48,0.52
SN_FIX,SNode,Fixed,754,694,1448,0.52,0.48
SN_MUT,SNode,Mutable,777,751,1528,0.51,0.49
SU_CAR,Sun,Cardinal,761,768,1529,0.5,0.5
SU_FIX,Sun,Fixed,756,771,1527,0.5,0.5
SU_MUT,Sun,Mutable,780,737,1517,0.51,0.49
UR_CAR,Uranus,Cardinal,1003,1006,2009,0.5,0.5
UR_FIX,Uranus,Fixed,376,389,765,0.49,0.51
UR_MUT,Uranus,Mutable,918,881,1799,0.51,0.49
VE_CAR,Venus,Cardinal,746,786,1532,0.49,0.51
VE_FIX,Venus,Fixed,769,725,1494,0.51,0.49
VE_MUT,Venus,Mutable,782,765,1547,0.51,0.49
VS_CAR,Vesta,Cardinal,752,731,1483,0.51,0.49
VS_FIX,Vesta,Fixed,678,754,1432,0.47,0.53
VS_MUT,Vesta,Mutable,867,791,1658,0.52,0.48
