MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_10_CAP,Full,Capricorn,98,91,189,0.52,0.48
F_11_AQU,Full,Aquarius,100,88,188,0.53,0.47
F_12_PIS,Full,Pisces,82,58,140,0.59,0.41
F_1_ARI,Full,Aries,69,76,145,0.48,0.52
F_2_TAU,Full,Taurus,105,105,210,0.5,0.5
F_3_GEM,Full,Gemini,86,95,181,0.48,0.52
F_4_CAN,Full,Cancer,86,92,178,0.48,0.52
F_5_LEO,Full,Leo,108,99,207,0.52,0.48
F_6_VIR,Full,Virgo,109,89,198,0.55,0.45
F_7_LIB,Full,Libra,86,83,169,0.51,0.49
F_8_SCO,Full,Scorpio,92,107,199,0.46,0.54
F_9_SAG,Full,Sagittarius,110,99,209,0.53,0.47
N_10_CAP,New,Capricorn,86,116,202,0.43,0.57
N_11_AQU,New,Aquarius,83,87,170,0.49,0.51
N_12_PIS,New,Pisces,71,77,148,0.48,0.52
N_1_ARI,New,Aries,76,71,147,0.52,0.48
N_2_TAU,New,Taurus,95,104,199,0.48,0.52
N_3_GEM,New,Gemini,99,104,203,0.49,0.51
N_4_CAN,New,Cancer,98,99,197,0.5,0.5
N_5_LEO,New,Leo,99,102,201,0.49,0.51
N_6_VIR,New,Virgo,91,106,197,0.46,0.54
N_7_LIB,New,Libra,91,94,185,0.49,0.51
N_8_SCO,New,Scorpio,99,79,178,0.56,0.44
N_9_SAG,New,Sagittarius,114,78,192,0.59,0.41
