PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,168,169,337,0.5,0.5
CE_Z02_TAU,Ceres,Taurus,256,228,484,0.53,0.47
CE_Z03_GEM,Ceres,Gemini,191,235,426,0.45,0.55
CE_Z04_CAN,Ceres,Cancer,198,164,362,0.55,0.45
CE_Z05_LEO,Ceres,Leo,189,208,397,0.48,0.52
CE_Z06_VIR,Ceres,Virgo,206,187,393,0.52,0.48
CE_Z07_LIB,Ceres,Libra,172,166,338,0.51,0.49
CE_Z08_SCO,Ceres,Scorpio,188,211,399,0.47,0.53
CE_Z09_SAG,Ceres,Sagittarius,227,244,471,0.48,0.52
CE_Z10_CAP,Ceres,Capricorn,157,192,349,0.45,0.55
CE_Z11_AQU,Ceres,Aquarius,265,253,518,0.51,0.49
CE_Z12_PIS,Ceres,Pisces,268,224,492,0.54,0.46
CH_Z01_ARI,Chiron,Aries,555,586,1141,0.49,0.51
CH_Z10_CAP,Chiron,Capricorn,208,199,407,0.51,0.49
CH_Z11_AQU,Chiron,Aquarius,712,666,1378,0.52,0.48
CH_Z12_PIS,Chiron,Pisces,1010,1030,2040,0.5,0.5
JN_Z01_ARI,Juno,Aries,108,124,232,0.47,0.53
JN_Z02_TAU,Juno,Taurus,122,141,263,0.46,0.54
JN_Z03_GEM,Juno,Gemini,127,176,303,0.42,0.58
JN_Z04_CAN,Juno,Cancer,95,79,174,0.55,0.45
JN_Z05_LEO,Juno,Leo,153,175,328,0.47,0.53
JN_Z06_VIR,Juno,Virgo,198,173,371,0.53,0.47
JN_Z07_LIB,Juno,Libra,322,284,606,0.53,0.47
JN_Z08_SCO,Juno,Scorpio,254,241,495,0.51,0.49
JN_Z09_SAG,Juno,Sagittarius,342,356,698,0.49,0.51
JN_Z10_CAP,Juno,Capricorn,314,308,622,0.5,0.5
JN_Z11_AQU,Juno,Aquarius,221,196,417,0.53,0.47
JN_Z12_PIS,Juno,Pisces,229,228,457,0.5,0.5
JU_Z01_ARI,Jupiter,Aries,183,130,313,0.58,0.42
JU_Z02_TAU,Jupiter,Taurus,129,137,266,0.48,0.52
JU_Z03_GEM,Jupiter,Gemini,134,137,271,0.49,0.51
JU_Z04_CAN,Jupiter,Cancer,144,130,274,0.53,0.47
JU_Z05_LEO,Jupiter,Leo,121,158,279,0.43,0.57
JU_Z06_VIR,Jupiter,Virgo,248,247,495,0.5,0.5
JU_Z07_LIB,Jupiter,Libra,275,287,562,0.49,0.51
JU_Z08_SCO,Jupiter,Scorpio,276,287,563,0.49,0.51
JU_Z09_SAG,Jupiter,Sagittarius,284,266,550,0.52,0.48
JU_Z10_CAP,Jupiter,Capricorn,287,242,529,0.54,0.46
JU_Z11_AQU,Jupiter,Aquarius,238,246,484,0.49,0.51
JU_Z12_PIS,Jupiter,Pisces,166,214,380,0.44,0.56
MA_Z01_ARI,Mars,Aries,220,217,437,0.5,0.5
MA_Z02_TAU,Mars,Taurus,233,232,465,0.5,0.5
MA_Z03_GEM,Mars,Gemini,265,230,495,0.54,0.46
MA_Z04_CAN,Mars,Cancer,227,186,413,0.55,0.45
MA_Z05_LEO,Mars,Leo,223,256,479,0.47,0.53
