
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase  Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-01  0.36   Ceres     Direct 5269 4498  9767     0.54      0.46
 2: 2021-02-01  0.04  Chiron     Direct 4015 3432  7447     0.54      0.46
 3: 2021-02-01  0.26    Juno     Direct 5220 4491  9711     0.54      0.46
 4: 2021-02-01  0.24 Jupiter     Direct 4640 3818  8458     0.55      0.45
 5: 2021-02-01  0.53    Mars     Direct 6161 5234 11395     0.54      0.46
 6: 2021-02-01 -0.26 Mercury Retrograde 1352 1110  2462     0.55      0.45
 7: 2021-02-01 14.10    Moon     Direct 6964 5918 12882     0.54      0.46
 8: 2021-02-01  0.03 Neptune     Direct 3583 2979  6562     0.55      0.45
 9: 2021-02-01  1.00   NNode     Direct 6964 5918 12882     0.54      0.46
10: 2021-02-01  0.34  Pallas     Direct 5232 4365  9597     0.55      0.45
11: 2021-02-01  0.03  Pholus     Direct 3941 3295  7236     0.54      0.46
12: 2021-02-01  0.03   Pluto     Direct 3606 3061  6667     0.54      0.46
13: 2021-02-01  0.12  Saturn     Direct 4124 3517  7641     0.54      0.46
14: 2021-02-01  1.00   SNode     Direct 6964 5918 12882     0.54      0.46
15: 2021-02-01  1.01     Sun     Direct 6964 5918 12882     0.54      0.46
16: 2021-02-01  0.02  Uranus     Direct 3825 3230  7055     0.54      0.46
17: 2021-02-01  1.25   Venus     Direct 6363 5354 11717     0.54      0.46
18: 2021-02-01 -0.10   Vesta Retrograde 1265 1049  2314     0.55      0.45

DAILY PLANET ZODIAC SIGN POSITION:

    pID       Date  Planet     ZodSign  Buy Sell DaysN BuyDays% SellDays%
 1:  CE 2021-02-01   Ceres      Pisces  704  608  1312     0.54      0.46
 2:  CH 2021-02-01  Chiron       Aries 1218 1117  2335     0.52      0.48
 3:  JN 2021-02-01    Juno Sagittarius  835  727  1562     0.53      0.47
 4:  JU 2021-02-01 Jupiter    Aquarius  588  484  1072     0.55      0.45
 5:  MA 2021-02-01    Mars      Taurus  541  482  1023     0.53      0.47
 6:  ME 2021-02-01 Mercury    Aquarius  614  477  1091     0.56      0.44
 7:  MO 2021-02-01    Moon       Virgo  588  477  1065     0.55      0.45
 8:  NE 2021-02-01 Neptune      Pisces 1330 1016  2346     0.57      0.43
 9:  NN 2021-02-01   NNode      Gemini  481  466   947     0.51      0.49
10:  PA 2021-02-01  Pallas    Aquarius  926  796  1722     0.54      0.46
11:  PH 2021-02-01  Pholus   Capricorn  333  246   579     0.58      0.42
12:  PL 2021-02-01   Pluto   Capricorn 1787 1373  3160     0.57      0.43
13:  SA 2021-02-01  Saturn    Aquarius  435  391   826     0.53      0.47
14:  SN 2021-02-01   SNode Sagittarius  481  466   947     0.51      0.49
15:  SU 2021-02-01     Sun    Aquarius  587  464  1051     0.56      0.44
16:  UR 2021-02-01  Uranus      Taurus  341  261   602     0.57      0.43
17:  VE 2021-02-01   Venus   Capricorn  620  501  1121     0.55      0.45
18:  VS 2021-02-01   Vesta       Virgo  556  470  1026     0.54      0.46

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-01    0.91   0.14   1.86         0       5         2        6    Moon  Pallas   BiQuintile  425  326   751     0.57      0.43
 2: 2021-02-01    1.00   0.05   1.78         0       6         3        7    Moon Jupiter SesquiSquare  392  388   780     0.50      0.50
 3: 2021-02-01    1.03   0.17   1.93         0       6         3        7    Moon   Pluto        Trine  429  338   767     0.56      0.44
 4: 2021-02-01    1.04   0.05   1.84         2       8         5        7    Moon Mercury     Quincunx  390  332   722     0.54      0.46
 5: 2021-02-01    1.09   0.23   1.95         4      11         7        8    Moon     Sun SesquiSquare  391  330   721     0.54      0.46
 6: 2021-02-01    1.01   0.26   1.96         5      11         8        7    Moon    Mars SesquiSquare  429  324   753     0.57      0.43
 7: 2021-02-01    0.19   0.02   0.41         0      23        10       24   Venus    Mars    BiSeptile  163  127   290     0.56      0.44
 8: 2021-02-01    0.93   0.09   1.69         8      14        11        7    Moon   Venus        Trine  382  333   715     0.53      0.47
 9: 2021-02-01    0.12   0.01   0.25         0      23        11       24     Sun    Mars       Square  124  120   244     0.51      0.49
10: 2021-02-01    1.04   0.15   1.93         9      15        12        7    Moon   NNode    BiSeptile  418  347   765     0.55      0.45
11: 2021-02-01    1.02   0.06   1.83        10      16        13        7    Moon  Uranus   BiQuintile  440  331   771     0.57      0.43
12: 2021-02-01    1.00   0.09   1.82        11      17        14        7    Moon    Juno     Quintile  447  340   787     0.57      0.43
13: 2021-02-01    1.04   0.02   1.83        12      18        15        7    Moon Mercury   BiQuintile  359  351   710     0.51      0.49
14: 2021-02-01    1.02   0.24   1.97        14      20        17        7    Moon  Pallas SesquiSquare  411  329   740     0.56      0.44
15: 2021-02-01    1.01   0.05   1.81        17      23        20        7    Moon  Pholus       Square  420  347   767     0.55      0.45
16: 2021-02-01    1.03   0.11   1.89        17      23        20        7    Moon   SNode     Quintile  411  356   767     0.54      0.46
17: 2021-02-01    0.88   0.27   1.48        18      23        21        6    Moon  Saturn        Trine  417  357   774     0.54      0.46
18: 2021-02-01    0.77   0.29   1.48        19      23        22        5    Moon  Chiron   Opposition  215  174   389     0.55      0.45
19: 2021-02-01    1.08   0.23   1.93        20      23        23        4    Moon    Mars   BiQuintile  404  334   738     0.55      0.45
20: 2021-02-01    0.92   0.04   1.81        20      23        23        4    Moon  Uranus     Quincunx  443  336   779     0.57      0.43
21: 2021-02-01    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 5684 4675 10359     0.55      0.45
22: 2021-02-01    0.46   0.01   0.93         0      23        23       24     Sun Neptune SemiQuintile  145  106   251     0.58      0.42
23: 2021-02-01    0.78   0.61   0.95         0      23        NA       24   Ceres  Uranus   SemiSquare  104   95   199     0.52      0.48
24: 2021-02-01    0.93   0.93   0.94         0      23        NA       24  Chiron  Pholus       Square  295  221   516     0.57      0.43
25: 2021-02-01    0.93   0.92   0.94         0      23        NA       24  Chiron  Uranus  SemiSextile 1456 1144  2600     0.56      0.44
26: 2021-02-01    0.54   0.42   0.66         0      23        NA       24    Juno  Uranus   BiQuintile   67   88   155     0.43      0.57
27: 2021-02-01    0.83   0.73   0.93         0      23        NA       24 Jupiter  Pholus SemiQuintile  139  166   305     0.46      0.54
