PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,959,801,1760,0.54,0.46
CE_RET,Ceres,Retrograde,273,216,489,0.56,0.44
CE_STA,Ceres,Stationary,46,35,81,0.57,0.43
CH_DIR,Chiron,Direct,712,542,1254,0.57,0.43
CH_RET,Chiron,Retrograde,488,444,932,0.52,0.48
CH_STA,Chiron,Stationary,78,66,144,0.54,0.46
JN_DIR,Juno,Direct,957,797,1754,0.55,0.45
JN_RET,Juno,Retrograde,268,214,482,0.56,0.44
JN_STA,Juno,Stationary,53,41,94,0.56,0.44
JU_DIR,Jupiter,Direct,805,697,1502,0.54,0.46
JU_RET,Jupiter,Retrograde,409,306,715,0.57,0.43
JU_STA,Jupiter,Stationary,64,49,113,0.57,0.43
MA_DIR,Mars,Direct,1124,960,2084,0.54,0.46
MA_RET,Mars,Retrograde,121,74,195,0.62,0.38
MA_STA,Mars,Stationary,33,18,51,0.65,0.35
ME_DIR,Mercury,Direct,1001,807,1808,0.55,0.45
ME_RET,Mercury,Retrograde,232,218,450,0.52,0.48
ME_STA,Mercury,Stationary,45,27,72,0.62,0.38
MO_DIR,Moon,Direct,1278,1052,2330,0.55,0.45
NE_DIR,Neptune,Direct,680,525,1205,0.56,0.44
NE_RET,Neptune,Retrograde,470,422,892,0.53,0.47
NE_STA,Neptune,Stationary,128,105,233,0.55,0.45
NN_DIR,NNode,Direct,1278,1052,2330,0.55,0.45
PA_DIR,Pallas,Direct,947,781,1728,0.55,0.45
PA_RET,Pallas,Retrograde,292,234,526,0.56,0.44
PA_STA,Pallas,Stationary,39,37,76,0.51,0.49
PH_DIR,Pholus,Direct,675,563,1238,0.55,0.45
PH_RET,Pholus,Retrograde,501,398,899,0.56,0.44
PH_STA,Pholus,Stationary,102,91,193,0.53,0.47
PL_DIR,Pluto,Direct,685,547,1232,0.56,0.44
PL_RET,Pluto,Retrograde,458,387,845,0.54,0.46
PL_STA,Pluto,Stationary,135,118,253,0.53,0.47
SA_DIR,Saturn,Direct,750,623,1373,0.55,0.45
SA_RET,Saturn,Retrograde,450,360,810,0.56,0.44
SA_STA,Saturn,Stationary,78,69,147,0.53,0.47
SN_DIR,SNode,Direct,1278,1052,2330,0.55,0.45
SU_DIR,Sun,Direct,1278,1052,2330,0.55,0.45
UR_DIR,Uranus,Direct,701,548,1249,0.56,0.44
UR_RET,Uranus,Retrograde,501,427,928,0.54,0.46
UR_STA,Uranus,Stationary,76,77,153,0.5,0.5
VE_DIR,Venus,Direct,1170,948,2118,0.55,0.45
VE_RET,Venus,Retrograde,84,86,170,0.49,0.51
VE_STA,Venus,Stationary,24,18,42,0.57,0.43
VS_DIR,Vesta,Direct,1028,844,1872,0.55,0.45
VS_RET,Vesta,Retrograde,220,167,387,0.57,0.43
VS_STA,Vesta,Stationary,30,41,71,0.42,0.58
