PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,559,443,1002,0.56,0.44
CE_POS,Ceres,Positive,729,599,1328,0.55,0.45
CH_NEG,Chiron,Negative,804,648,1452,0.55,0.45
CH_POS,Chiron,Positive,484,394,878,0.55,0.45
JN_NEG,Juno,Negative,674,525,1199,0.56,0.44
JN_POS,Juno,Positive,614,517,1131,0.54,0.46
JU_NEG,Jupiter,Negative,657,511,1168,0.56,0.44
JU_POS,Jupiter,Positive,631,531,1162,0.54,0.46
MA_NEG,Mars,Negative,551,499,1050,0.52,0.48
MA_POS,Mars,Positive,737,543,1280,0.58,0.42
ME_NEG,Mercury,Negative,679,498,1177,0.58,0.42
ME_POS,Mercury,Positive,609,544,1153,0.53,0.47
MO_NEG,Moon,Negative,635,536,1171,0.54,0.46
MO_POS,Moon,Positive,653,506,1159,0.56,0.44
NE_NEG,Neptune,Negative,1288,1042,2330,0.55,0.45
NN_NEG,NNode,Negative,645,488,1133,0.57,0.43
NN_POS,NNode,Positive,643,554,1197,0.54,0.46
PA_NEG,Pallas,Negative,564,495,1059,0.53,0.47
PA_POS,Pallas,Positive,724,547,1271,0.57,0.43
PH_NEG,Pholus,Negative,475,372,847,0.56,0.44
PH_POS,Pholus,Positive,813,670,1483,0.55,0.45
PL_NEG,Pluto,Negative,1288,1042,2330,0.55,0.45
SA_NEG,Saturn,Negative,598,582,1180,0.51,0.49
SA_POS,Saturn,Positive,690,460,1150,0.6,0.4
SN_NEG,SNode,Negative,644,488,1132,0.57,0.43
SN_POS,SNode,Positive,644,554,1198,0.54,0.46
SU_NEG,Sun,Negative,626,536,1162,0.54,0.46
SU_POS,Sun,Positive,662,506,1168,0.57,0.43
UR_NEG,Uranus,Negative,479,397,876,0.55,0.45
UR_POS,Uranus,Positive,809,645,1454,0.56,0.44
VE_NEG,Venus,Negative,591,488,1079,0.55,0.45
VE_POS,Venus,Positive,697,554,1251,0.56,0.44
VS_NEG,Vesta,Negative,662,582,1244,0.53,0.47
VS_POS,Vesta,Positive,626,460,1086,0.58,0.42
