PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_01_1ARI,Ceres,AriesD1,16,11,27,0.59,0.41
CE_01_2ARI,Ceres,AriesD2,21,9,30,0.7,0.3
CE_01_3ARI,Ceres,AriesD3,97,54,151,0.64,0.36
CE_02_1TAU,Ceres,TaurusD1,70,50,120,0.58,0.42
CE_02_2TAU,Ceres,TaurusD2,14,13,27,0.52,0.48
CE_02_3TAU,Ceres,TaurusD3,19,6,25,0.76,0.24
CE_03_1GEM,Ceres,GeminiD1,20,4,24,0.83,0.17
CE_03_2GEM,Ceres,GeminiD2,16,8,24,0.67,0.33
CE_03_3GEM,Ceres,GeminiD3,12,12,24,0.5,0.5
CE_04_1CAN,Ceres,CancerD1,12,12,24,0.5,0.5
CE_04_2CAN,Ceres,CancerD2,17,8,25,0.68,0.32
CE_04_3CAN,Ceres,CancerD3,13,14,27,0.48,0.52
CE_05_1LEO,Ceres,LeoD1,62,49,111,0.56,0.44
CE_05_2LEO,Ceres,LeoD2,72,67,139,0.52,0.48
CE_05_3LEO,Ceres,LeoD1,11,16,27,0.41,0.59
CE_06_1VIR,Ceres,VirgoD1,18,6,24,0.75,0.25
CE_06_2VIR,Ceres,VirgoD2,7,16,23,0.3,0.7
CE_06_3VIR,Ceres,VirgoD3,15,8,23,0.65,0.35
CE_07_1LIB,Ceres,LibraD1,11,11,22,0.5,0.5
CE_07_2LIB,Ceres,LibraD2,11,11,22,0.5,0.5
CE_07_3LIB,Ceres,LibraD3,7,15,22,0.32,0.68
CE_08_1SCO,Ceres,ScorpioD1,4,19,23,0.17,0.83
CE_08_2SCO,Ceres,ScorpioD2,17,21,38,0.45,0.55
CE_08_3SCO,Ceres,ScorpioD3,23,29,52,0.44,0.56
CE_09_1SAG,Ceres,SagittariusD1,98,87,185,0.53,0.47
CE_09_2SAG,Ceres,SagittariusD2,70,61,131,0.53,0.47
CE_09_3SAG,Ceres,SagittariusD3,21,31,52,0.4,0.6
CE_10_1CAP,Ceres,CapricornD1,21,30,51,0.41,0.59
CE_10_2CAP,Ceres,CapricornD2,26,27,53,0.49,0.51
CE_10_3CAP,Ceres,CapricornD3,85,57,142,0.6,0.4
CE_11_1AQU,Ceres,AquariusD1,94,91,185,0.51,0.49
CE_11_2AQU,Ceres,AquariusD2,33,24,57,0.58,0.42
CE_11_3AQU,Ceres,AquariusD3,57,38,95,0.6,0.4
CE_12_1PIS,Ceres,PiscesD1,103,62,165,0.62,0.38
CE_12_2PIS,Ceres,PiscesD2,70,50,120,0.58,0.42
CE_12_3PIS,Ceres,PiscesD3,22,14,36,0.61,0.39
CH_01_1ARI,Chiron,AriesD1,481,393,874,0.55,0.45
CH_12_2PIS,Chiron,PiscesD2,212,187,399,0.53,0.47
CH_12_3PIS,Chiron,PiscesD3,592,461,1053,0.56,0.44
JN_01_1ARI,Juno,AriesD1,8,13,21,0.38,0.62
JN_01_2ARI,Juno,AriesD2,10,11,21,0.48,0.52
JN_01_3ARI,Juno,AriesD3,10,12,22,0.45,0.55
JN_02_1TAU,Juno,TaurusD1,17,6,23,0.74,0.26
JN_02_2TAU,Juno,TaurusD2,9,17,26,0.35,0.65
JN_02_3TAU,Juno,TaurusD3,63,88,151,0.42,0.58
JN_03_1GEM,Juno,GeminiD1,27,23,50,0.54,0.46
JN_03_2GEM,Juno,GeminiD2,14,8,22,0.64,0.36
JN_03_3GEM,Juno,GeminiD3,15,6,21,0.71,0.29
JN_04_1CAN,Juno,CancerD1,16,5,21,0.76,0.24
JN_04_2CAN,Juno,CancerD2,10,10,20,0.5,0.5
JN_04_3CAN,Juno,CancerD3,22,17,39,0.56,0.44
JN_05_1LEO,Juno,LeoD1,71,67,138,0.51,0.49
JN_05_2LEO,Juno,LeoD2,64,78,142,0.45,0.55
JN_05_3LEO,Juno,LeoD1,31,18,49,0.63,0.37
JN_06_1VIR,Juno,VirgoD1,25,25,50,0.5,0.5
JN_06_2VIR,Juno,VirgoD2,15,35,50,0.3,0.7
JN_06_3VIR,Juno,VirgoD3,24,28,52,0.46,0.54
JN_07_1LIB,Juno,LibraD1,73,62,135,0.54,0.46
JN_07_2LIB,Juno,LibraD2,95,65,160,0.59,0.41
