PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
SN_SA_a120,1,30,0.001,0.012,-0.001,0.001,0.009,-0.02,0.027,0.048,0.241,-0.191,0.002
JN_PL_a103,1,70,0,0.024,-0.001,0,0.017,-0.061,0.071,0.133,0.278,1.672,0.003
MA_VS_a135,1,41,-0.004,0.03,-0.004,-0.003,0.017,-0.133,0.071,0.204,-1.407,6.31,0.005
MA_NN_a36,1,45,0.006,0.029,0.002,0.004,0.019,-0.066,0.084,0.15,0.46,0.776,0.004
MA_SN_a144,1,45,0.006,0.029,0.002,0.004,0.019,-0.066,0.084,0.15,0.46,0.776,0.004
JU_PH_a103,1,109,0.005,0.021,0.003,0.003,0.009,-0.046,0.119,0.165,2.747,12.676,0.002
JN_NN_a0,1,18,-0.002,0.022,-0.001,0,0.017,-0.061,0.031,0.092,-1.036,0.903,0.005
JN_SN_a180,1,18,-0.002,0.022,-0.001,0,0.017,-0.061,0.031,0.092,-1.036,0.903,0.005
MA_NN_a30,1,41,0.004,0.034,0.009,0.006,0.024,-0.105,0.105,0.21,-0.609,2.783,0.005
MA_SN_a150,1,41,0.004,0.034,0.009,0.006,0.024,-0.105,0.105,0.21,-0.609,2.783,0.005
MA_VS_a144,1,56,0.012,0.03,0.007,0.011,0.025,-0.084,0.094,0.178,0.073,1.151,0.004
SU_JN_a0,1,35,0.014,0.041,0.003,0.011,0.025,-0.058,0.104,0.162,0.624,-0.022,0.007
SU_VS_a180,1,15,0.007,0.029,0.001,0.004,0.016,-0.033,0.092,0.125,1.415,2.094,0.008
MA_UR_a135,1,74,0.006,0.028,0.002,0.003,0.011,-0.057,0.104,0.161,1.361,2.922,0.003
MA_JN_a30,1,107,0.003,0.02,0.002,0.002,0.011,-0.08,0.119,0.2,1.304,11.625,0.002
MA_VS_a150,1,123,0.002,0.019,0.001,0.001,0.011,-0.054,0.066,0.121,0.356,1.391,0.002
JU_UR_a144,1,109,0,0.033,0.003,0.001,0.018,-0.107,0.114,0.222,-0.41,2.211,0.003
JU_PL_a120,1,78,0.004,0.033,0.005,0.004,0.017,-0.106,0.109,0.215,-0.103,2.68,0.004
MA_NE_a180,1,18,0.011,0.028,0,0.009,0.011,-0.029,0.079,0.108,1.154,0.436,0.007
VE_VS_a144,1,29,0.004,0.029,0.003,0.002,0.02,-0.048,0.088,0.136,1.301,2.31,0.005
VE_VS_a150,1,28,0.006,0.041,0.006,0.006,0.018,-0.122,0.106,0.229,-0.472,2.343,0.008
JN_PH_a72,1,87,0.002,0.025,0.002,0.001,0.023,-0.056,0.084,0.14,0.275,0.325,0.003
MA_UR_a144,1,65,0.007,0.033,0.008,0.008,0.021,-0.105,0.119,0.225,-0.312,3.894,0.004
MA_JU_a0,1,25,0.016,0.055,0.01,0.011,0.028,-0.079,0.182,0.261,1.002,1.552,0.011
VE_NE_a180,1,21,0.009,0.029,0.003,0.007,0.029,-0.033,0.092,0.126,0.833,0.797,0.006
JN_PL_a90,1,43,-0.002,0.031,0.006,0.002,0.019,-0.102,0.051,0.154,-1.402,2.622,0.005
JN_PA_a72,1,251,0.005,0.042,0.005,0.006,0.026,-0.16,0.117,0.277,-0.436,1.88,0.003
