PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,379,293,672,0.56,0.44
CE_FIX,Ceres,Fixed,502,467,969,0.52,0.48
CE_MUT,Ceres,Mutable,485,363,848,0.57,0.43
CH_CAR,Chiron,Cardinal,562,475,1037,0.54,0.46
CH_MUT,Chiron,Mutable,804,648,1452,0.55,0.45
JN_CAR,Juno,Cardinal,518,377,895,0.58,0.42
JN_FIX,Juno,Fixed,528,457,985,0.54,0.46
JN_MUT,Juno,Mutable,320,289,609,0.53,0.47
JU_CAR,Jupiter,Cardinal,470,305,775,0.61,0.39
JU_FIX,Jupiter,Fixed,445,420,865,0.51,0.49
JU_MUT,Jupiter,Mutable,451,398,849,0.53,0.47
MA_CAR,Mars,Cardinal,489,370,859,0.57,0.43
MA_FIX,Mars,Fixed,438,427,865,0.51,0.49
MA_MUT,Mars,Mutable,439,326,765,0.57,0.43
ME_CAR,Mercury,Cardinal,448,345,793,0.56,0.44
ME_FIX,Mercury,Fixed,476,378,854,0.56,0.44
ME_MUT,Mercury,Mutable,442,400,842,0.52,0.48
MO_CAR,Moon,Cardinal,456,380,836,0.55,0.45
MO_FIX,Moon,Fixed,458,370,828,0.55,0.45
MO_MUT,Moon,Mutable,452,373,825,0.55,0.45
NE_MUT,Neptune,Mutable,1366,1123,2489,0.55,0.45
NN_CAR,NNode,Cardinal,482,469,951,0.51,0.49
NN_FIX,NNode,Fixed,305,261,566,0.54,0.46
NN_MUT,NNode,Mutable,579,393,972,0.6,0.4
PA_CAR,Pallas,Cardinal,523,397,920,0.57,0.43
PA_FIX,Pallas,Fixed,422,342,764,0.55,0.45
PA_MUT,Pallas,Mutable,421,384,805,0.52,0.48
PH_CAR,Pholus,Cardinal,553,453,1006,0.55,0.45
PH_MUT,Pholus,Mutable,813,670,1483,0.55,0.45
PL_CAR,Pluto,Cardinal,1366,1123,2489,0.55,0.45
SA_CAR,Saturn,Cardinal,507,482,989,0.51,0.49
SA_FIX,Saturn,Fixed,262,241,503,0.52,0.48
SA_MUT,Saturn,Mutable,597,400,997,0.6,0.4
SN_CAR,SNode,Cardinal,483,469,952,0.51,0.49
SN_FIX,SNode,Fixed,305,261,566,0.54,0.46
SN_MUT,SNode,Mutable,578,393,971,0.6,0.4
SU_CAR,Sun,Cardinal,458,384,842,0.54,0.46
SU_FIX,Sun,Fixed,459,362,821,0.56,0.44
SU_MUT,Sun,Mutable,449,377,826,0.54,0.46
UR_CAR,Uranus,Cardinal,809,645,1454,0.56,0.44
UR_FIX,Uranus,Fixed,557,478,1035,0.54,0.46
VE_CAR,Venus,Cardinal,422,396,818,0.52,0.48
VE_FIX,Venus,Fixed,457,387,844,0.54,0.46
VE_MUT,Venus,Mutable,487,340,827,0.59,0.41
VS_CAR,Vesta,Cardinal,462,371,833,0.55,0.45
VS_FIX,Vesta,Fixed,420,360,780,0.54,0.46
VS_MUT,Vesta,Mutable,484,392,876,0.55,0.45
