MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_10_CAP,Full,Capricorn,36,38,74,0.49,0.51
F_11_AQU,Full,Aquarius,54,47,101,0.53,0.47
F_12_PIS,Full,Pisces,38,52,90,0.42,0.58
F_1_ARI,Full,Aries,63,48,111,0.57,0.43
F_2_TAU,Full,Taurus,47,44,91,0.52,0.48
F_3_GEM,Full,Gemini,59,58,117,0.5,0.5
F_4_CAN,Full,Cancer,51,37,88,0.58,0.42
F_5_LEO,Full,Leo,66,62,128,0.52,0.48
F_6_VIR,Full,Virgo,32,30,62,0.52,0.48
F_7_LIB,Full,Libra,60,44,104,0.58,0.42
F_8_SCO,Full,Scorpio,43,33,76,0.57,0.43
F_9_SAG,Full,Sagittarius,69,49,118,0.58,0.42
N_10_CAP,New,Capricorn,61,71,132,0.46,0.54
N_11_AQU,New,Aquarius,50,24,74,0.68,0.32
N_12_PIS,New,Pisces,39,32,71,0.55,0.45
N_1_ARI,New,Aries,48,26,74,0.65,0.35
N_2_TAU,New,Taurus,77,36,113,0.68,0.32
N_3_GEM,New,Gemini,41,34,75,0.55,0.45
N_4_CAN,New,Cancer,60,42,102,0.59,0.41
N_5_LEO,New,Leo,49,42,91,0.54,0.46
N_6_VIR,New,Virgo,57,47,104,0.55,0.45
N_7_LIB,New,Libra,72,50,122,0.59,0.41
N_8_SCO,New,Scorpio,56,61,117,0.48,0.52
N_9_SAG,New,Sagittarius,57,34,91,0.63,0.37
