Symbol	Date	SULON	SULAT	SUDEC	SUSP	MOLON	MOLAT	MODEC	MOSP	MELON	MELAT	MEDEC	MESP	VELON	VELAT	VEDEC	VESP	MALON	MALAT	MADEC	MASP	JULON	JULAT	JUDEC	JUSP	SALON	SALAT	SADEC	SASP	URLON	URLAT	URDEC	URSP	NELON	NELAT	NEDEC	NESP	PLLON	PLLAT	PLDEC	PLSP	NNLON	NNLAT	NNDEC	NNSP	SNLON	SNLAT	SNDEC	SNSP
DIS	1957-11-12 10:00:00	229.97	0	-17.74	1.006	110.53	-4.96	16.96	13.623	241.33	-1.46	-21.86	1.522	277.02	-3.3	-26.55	1.041	212.5	0.54	-11.84	0.669	200.18	1.13	-6.84	0.202	253.7	1.38	-21.07	0.112	131.66	0.64	17.9	0.004	212.99	1.7	-10.91	0.036	152.21	11.33	21.23	0.011	220	0	-14.82	-0.053	40	0	14.82	-0.053
DUK	1964-06-16 10:00:00	85.43	0	23.36	0.955	170.91	5.19	8.37	13.046	72.84	-0.58	21.77	1.992	90.72	-1.03	22.41	-0.604	59.35	-0.16	19.86	0.716	45.09	-1.01	15.4	0.209	335.04	-1.53	-11.09	-0.002	156.43	0.76	9.86	0.029	225.48	1.81	-14.74	-0.019	161.75	13.87	19.93	0.013	92.48	0	23.42	-0.053	272.48	0	-23.42	-0.053
ED	1948-06-21 10:00:00	90.07	0	23.45	0.954	270.6	-3.77	-27.22	12.538	93.97	-3.59	19.8	-0.562	94.77	-1.76	21.6	-0.61	165.84	0.84	6.37	0.522	263.27	0.43	-22.85	-0.126	139.25	1.19	16.19	0.098	86.55	0.16	23.56	0.06	190.21	1.56	-2.61	0	133.27	7.22	23.75	0.023	41.68	0	15.34	-0.053	221.68	0	-15.34	-0.053
EIX	1988-07-01 09:30:00	99.91	0	23.07	0.953	303.68	-3.43	-22.66	14.706	79.9	-3.88	19.19	0.53	74.11	-4.19	18.33	-0.12	353.9	-3.56	-5.69	0.528	56.17	-0.91	18.41	0.202	268.44	1.12	-22.31	-0.072	268.6	-0.21	-23.65	-0.04	278.78	0.99	-22.16	-0.027	219.86	16.3	0.73	-0.01	347.5	0	-4.94	-0.053	167.5	0	4.94	-0.053
EXC	1943-07-06 10:00:00	103.62	0	22.75	0.954	147.66	1.04	13.27	11.81	90.4	-0.15	23.3	1.954	148.76	0.73	12.6	0.884	29.04	-1.86	9.39	0.696	121.22	0.46	20.34	0.216	79.69	-1.33	21.72	0.123	66.92	-0.11	21.36	0.05	179.45	1.35	1.46	0.014	126.15	5.09	23.66	0.027	137.63	0	15.55	-0.053	317.63	0	-15.55	-0.053
F	1956-03-07 10:00:00	347.03	0	-5.12	1	290.9	3.13	-18.73	11.875	324.31	-1.8	-15.12	1.453	29.69	0.96	12.26	1.144	275.11	-0.25	-23.6	0.655	143.97	1.18	14.64	-0.113	242.8	2.13	-18.64	0.008	118.58	0.59	21.02	-0.024	210.08	1.77	-9.84	-0.018	146.9	10.98	22.84	-0.023	252.57	0	-22.31	-0.053	72.57	0	22.31	-0.053
HD	1984-04-19 10:00:00	29.69	0	11.36	0.976	259.49	-1.12	-24.14	13.329	33.98	2.09	14.81	-0.621	14.46	-1.49	4.33	1.231	237.11	0.78	-18.76	-0.176	282.8	0.2	-22.63	0.032	224.1	2.61	-13.58	-0.072	253.13	0.04	-22.34	-0.026	271.35	1.2	-22.23	-0.009	210.78	17.44	4.63	-0.028	68.73	0	21.76	-0.053	248.73	0	-21.76	-0.053
HON	1929-09-19 10:00:00	176.13	0	1.54	0.977	3.54	-3.26	-1.59	13.097	201.48	-3.4	-11.53	0.568	142.66	0.53	14.47	1.2	198.65	0.34	-7	0.663	75.99	-0.8	21.92	0.052	264.27	0.98	-22.35	0.035	9.93	-0.73	3.26	-0.039	152.05	0.6	11.31	0.034	109.43	-0.37	21.68	0.012	44.41	0	16.17	-0.053	224.41	0	-16.17	-0.053
IBM	1924-02-14 10:00:00	324.67	0	-13.3	1.01	74.12	-5.17	17.37	11.977	300.63	-0.63	-20.64	1.304	1.75	-0.66	0.09	1.204	256.55	0.25	-22.52	0.638	256.04	0.69	-22.03	0.14	212.33	2.59	-9.85	-0.006	346.22	-0.74	-6.12	0.054	138.85	0.26	15.42	-0.028	100.53	-2.45	20.59	-0.014	152.65	0	10.53	-0.053	332.65	0	-10.53	-0.053
INTC	1981-08-07 10:00:00	134.96	0	16.35	0.958	222.48	5.18	-10.65	11.915	132.02	1.64	18.77	2.074	166.85	1.22	6.31	1.2	103.49	0.69	23.45	0.659	187.19	1.18	-1.77	0.168	186.14	2.28	-0.34	0.092	236.06	0.2	-19.07	0.003	262.28	1.34	-21.88	-0.014	201.91	16.89	7.15	0.02	120.94	0	19.95	-0.053	300.94	0	-19.95	-0.053
