Date,pID,Lon,CM
2009-01-21,JU,303.71,muLyr
2009-01-21,SA,171.38,chUMa
2009-01-21,UR,349.97,alAqr
2009-01-21,NE,323.11,epAqr
2009-01-21,PL,271.97,ga-2Sgr
2009-01-21,NN,309.88,beCap
2009-01-21,SN,129.88,xiPup
2009-01-21,CE,163.23,chUMa
2009-01-21,CH,319.72,epAqr
2009-01-21,JN,299.99,muLyr
2009-01-21,PA,64.26,16Tau
2009-01-21,PH,252.04,siSco
2009-01-21,VS,33.84,piAnd
2009-01-22,SU,302.58,muLyr
2009-01-22,MO,260.75,alHer
2009-01-22,ME,298.41,muLyr
2009-01-22,VE,349.49,alAqr
2009-01-22,MA,289.84,muLyr
2009-01-22,JU,303.95,muLyr
2009-01-22,SA,171.34,chUMa
2009-01-22,UR,350.01,alAqr
2009-01-22,NE,323.15,epAqr
2009-01-22,PL,272,ga-2Sgr
2009-01-22,NN,309.83,beCap
2009-01-22,SN,129.83,xiPup
2009-01-22,CE,163.16,chUMa
2009-01-22,CH,319.8,epAqr
2009-01-22,JN,300.4,muLyr
2009-01-22,PA,64.35,16Tau
2009-01-22,PH,252.08,siSco
2009-01-22,VS,34.06,piAnd
2009-01-23,SU,303.6,muLyr
2009-01-23,MO,272.56,ga-2Sgr
2009-01-23,ME,297.19,muLyr
2009-01-23,VE,350.45,alAqr
2009-01-23,MA,290.61,muLyr
2009-01-23,JU,304.19,beCap
2009-01-23,SA,171.3,chUMa
2009-01-23,UR,350.05,alAqr
2009-01-23,NE,323.19,epAqr
2009-01-23,PL,272.03,ga-2Sgr
2009-01-23,NN,309.77,beCap
2009-01-23,SN,129.77,xiPup
2009-01-23,CE,163.07,chUMa
2009-01-23,CH,319.87,epAqr
2009-01-23,JN,300.81,muLyr
2009-01-23,PA,64.44,16Tau
2009-01-23,PH,252.12,siSco
2009-01-23,VS,34.28,beAri
2009-01-24,SU,304.62,beCap
2009-01-24,MO,284.39,muLyr
2009-01-24,ME,296.05,muLyr
2009-01-24,VE,351.4,alAqr
2009-01-24,MA,291.38,muLyr
2009-01-24,JU,304.43,beCap
2009-01-24,SA,171.26,chUMa
2009-01-24,UR,350.1,alAqr
2009-01-24,NE,323.22,epAqr
2009-01-24,PL,272.07,ga-2Sgr
2009-01-24,NN,309.72,beCap
2009-01-24,SN,129.72,xiPup
2009-01-24,CE,162.98,chUMa
2009-01-24,CH,319.94,epAqr
2009-01-24,JN,301.21,muLyr
2009-01-24,PA,64.54,16Tau
2009-01-24,PH,252.15,siSco
2009-01-24,VS,34.52,beAri
2009-01-25,SU,305.63,beCap
2009-01-25,MO,296.3,muLyr
2009-01-25,ME,295.02,muLyr
2009-01-25,VE,352.33,alAqr
2009-01-25,MA,292.15,muLyr
2009-01-25,JU,304.67,beCap
2009-01-25,SA,171.22,chUMa
2009-01-25,UR,350.14,alAqr
2009-01-25,NE,323.26,epAqr
2009-01-25,PL,272.1,ga-2Sgr
2009-01-25,NN,309.67,beCap
2009-01-25,SN,129.67,xiPup
2009-01-25,CE,162.88,chUMa
2009-01-25,CH,320.01,epAqr
2009-01-25,JN,301.62,muLyr
2009-01-25,PA,64.66,16Tau
2009-01-25,PH,252.19,siSco
2009-01-25,VS,34.75,beAri
2009-01-26,SU,306.65,beCap
2009-01-26,MO,308.3,beCap
2009-01-26,ME,294.12,muLyr
2009-01-26,VE,353.26,alAqr
2009-01-26,MA,292.92,muLyr
2009-01-26,JU,304.9,beCap
2009-01-26,SA,171.18,chUMa
2009-01-26,UR,350.18,alAqr
2009-01-26,NE,323.3,epAqr
2009-01-26,PL,272.13,ga-2Sgr
2009-01-26,NN,309.61,beCap
2009-01-26,SN,129.61,xiPup
2009-01-26,CE,162.78,chUMa
2009-01-26,CH,320.08,epAqr
2009-01-26,JN,302.03,muLyr
2009-01-26,PA,64.79,16Tau
2009-01-26,PH,252.22,siSco
2009-01-26,VS,34.99,beAri
2009-01-27,SU,307.67,beCap
2009-01-27,MO,320.44,epAqr
2009-01-27,ME,293.36,muLyr
2009-01-27,VE,354.18,alPeg
2009-01-27,MA,293.69,muLyr
2009-01-27,JU,305.13,beCap
2009-01-27,SA,171.13,chUMa
2009-01-27,UR,350.23,alAqr
2009-01-27,NE,323.33,epAqr
2009-01-27,PL,272.16,ga-2Sgr
2009-01-27,NN,309.56,beCap
2009-01-27,SN,129.56,xiPup
2009-01-27,CE,162.67,chUMa
2009-01-27,CH,320.15,epAqr
2009-01-27,JN,302.44,muLyr
2009-01-27,PA,64.92,16Tau
2009-01-27,PH,252.25,siSco
2009-01-27,VS,35.23,beAri
2009-01-28,SU,308.68,beCap
2009-01-28,MO,332.74,gaEqu
2009-01-28,ME,292.75,muLyr
2009-01-28,VE,355.08,alPeg
2009-01-28,MA,294.45,muLyr
2009-01-28,JU,305.38,beCap
2009-01-28,SA,171.08,chUMa
2009-01-28,UR,350.28,alAqr
2009-01-28,NE,323.37,epAqr
2009-01-28,PL,272.19,ga-2Sgr
2009-01-28,NN,309.51,beCap
2009-01-28,SN,129.51,xiPup
2009-01-28,CE,162.54,chUMa
2009-01-28,CH,320.23,epAqr
2009-01-28,JN,302.85,muLyr
2009-01-28,PA,65.07,16Tau
2009-01-28,PH,252.29,siSco
2009-01-28,VS,35.48,beAri
2009-01-29,SU,309.7,beCap
2009-01-29,MO,345.22,alAqr
2009-01-29,ME,292.29,muLyr
2009-01-29,VE,355.98,alPeg
2009-01-29,MA,295.23,muLyr
2009-01-29,JU,305.61,beCap
2009-01-29,SA,171.04,chUMa
2009-01-29,UR,350.32,alAqr
2009-01-29,NE,323.41,epAqr
2009-01-29,PL,272.22,ga-2Sgr
2009-01-29,NN,309.45,beCap
2009-01-29,SN,129.45,xiPup
2009-01-29,CE,162.42,chUMa
2009-01-29,CH,320.3,epAqr
2009-01-29,JN,303.26,muLyr
2009-01-29,PA,65.23,16Tau
2009-01-29,PH,252.32,siSco
2009-01-29,VS,35.72,beAri
2009-01-30,SU,310.71,beCap
2009-01-30,MO,237.92,xi-2Lib
2009-01-30,ME,291.97,muLyr
2009-01-30,VE,356.86,alPeg
2009-01-30,MA,296,muLyr
2009-01-30,JU,305.84,beCap
2009-01-30,SA,170.99,chUMa
2009-01-30,UR,350.37,alAqr
2009-01-30,NE,323.44,epAqr
2009-01-30,PL,272.25,ga-2Sgr
2009-01-30,NN,309.4,beCap
2009-01-30,SN,129.4,xiPup
2009-01-30,CE,162.29,chUMa
2009-01-30,CH,320.37,epAqr
2009-01-30,JN,303.67,muLyr
2009-01-30,PA,65.39,16Tau
2009-01-30,PH,252.35,siSco
2009-01-30,VS,35.98,beAri
2009-01-31,SU,311.73,beCap
2009-01-31,MO,10.86,psPeg
2009-01-31,ME,291.8,muLyr
2009-01-31,VE,357.73,alPeg
2009-01-31,MA,296.77,muLyr
2009-01-31,JU,306.08,beCap
2009-01-31,SA,170.93,chUMa
2009-01-31,UR,350.42,alAqr
2009-01-31,NE,323.48,epAqr
2009-01-31,PL,272.28,ga-2Sgr
2009-01-31,NN,309.35,beCap
2009-01-31,SN,129.35,xiPup
2009-01-31,CE,162.15,chUMa
2009-01-31,CH,320.44,epAqr
2009-01-31,JN,304.08,muLyr
2009-01-31,PA,65.57,16Tau
2009-01-31,PH,252.38,siSco
2009-01-31,VS,36.24,beAri
2009-02-01,SU,312.75,epAqr
2009-02-01,MO,24.06,piAnd
2009-02-01,ME,291.75,muLyr
2009-02-01,VE,358.59,alPeg
2009-02-01,MA,297.54,muLyr
2009-02-01,JU,306.32,beCap
2009-02-01,SA,170.88,chUMa
2009-02-01,UR,350.46,alAqr
2009-02-01,NE,323.52,epAqr
2009-02-01,PL,272.31,ga-2Sgr
2009-02-01,NN,309.3,beCap
2009-02-01,SN,129.3,xiPup
2009-02-01,CE,162,chUMa
2009-02-01,CH,320.52,epAqr
2009-02-01,JN,304.49,beCap
2009-02-01,PA,65.76,16Tau
2009-02-01,PH,252.41,siSco
2009-02-01,VS,36.5,beAri
2009-02-02,SU,313.76,epAqr
2009-02-02,MO,37.57,beAri
2009-02-02,ME,291.84,muLyr
2009-02-02,VE,359.44,alPeg
2009-02-02,MA,298.31,muLyr
2009-02-02,JU,306.56,beCap
2009-02-02,SA,170.83,chUMa
2009-02-02,UR,350.51,alAqr
2009-02-02,NE,323.56,gaEqu
2009-02-02,PL,272.34,ga-2Sgr
2009-02-02,NN,309.24,beCap
2009-02-02,SN,129.24,xiPup
2009-02-02,CE,161.85,chUMa
2009-02-02,CH,320.59,epAqr
2009-02-02,JN,304.9,beCap
2009-02-02,PA,65.95,16Tau
2009-02-02,PH,252.44,siSco
2009-02-02,VS,36.76,beAri
2009-02-03,SU,314.77,epAqr
2009-02-03,MO,51.38,ta-6Eri
2009-02-03,ME,292.04,muLyr
2009-02-03,VE,60.27,16Tau
2009-02-03,MA,299.08,muLyr
2009-02-03,JU,306.79,beCap
2009-02-03,SA,170.77,chUMa
2009-02-03,UR,350.56,alAqr
2009-02-03,NE,323.59,gaEqu
2009-02-03,PL,272.37,ga-2Sgr
2009-02-03,NN,309.19,beCap
2009-02-03,SN,129.19,xiPup
2009-02-03,CE,161.69,chUMa
2009-02-03,CH,320.66,epAqr
2009-02-03,JN,305.31,beCap
2009-02-03,PA,66.16,16Tau
2009-02-03,PH,252.47,siSco
2009-02-03,VS,37.03,beAri
2009-02-04,SU,315.79,epAqr
2009-02-04,MO,65.5,16Tau
2009-02-04,ME,292.35,muLyr
2009-02-04,VE,1.09,alPeg
2009-02-04,MA,299.86,muLyr
2009-02-04,JU,307.03,beCap
2009-02-04,SA,170.71,chUMa
2009-02-04,UR,350.61,alAqr
2009-02-04,NE,323.63,gaEqu
2009-02-04,PL,272.4,ga-2Sgr
2009-02-04,NN,309.14,beCap
2009-02-04,SN,129.14,xiPup
2009-02-04,CE,161.53,chUMa
2009-02-04,CH,320.74,epAqr
2009-02-04,JN,305.72,beCap
2009-02-04,PA,66.37,16Tau
2009-02-04,PH,252.5,siSco
2009-02-04,VS,37.31,beAri
2009-02-05,SU,316.8,epAqr
2009-02-05,MO,79.91,epTau
2009-02-05,ME,292.76,muLyr
2009-02-05,VE,1.89,alPeg
2009-02-05,MA,300.63,muLyr
2009-02-05,JU,307.26,beCap
2009-02-05,SA,170.66,chUMa
2009-02-05,UR,350.66,alAqr
2009-02-05,NE,323.67,gaEqu
2009-02-05,PL,272.43,ga-2Sgr
2009-02-05,NN,309.08,beCap
2009-02-05,SN,129.08,xiPup
2009-02-05,CE,161.36,chUMa
2009-02-05,CH,320.81,epAqr
2009-02-05,JN,306.13,beCap
2009-02-05,PA,66.59,16Tau
2009-02-05,PH,252.53,siSco
2009-02-05,VS,37.58,beAri
2009-02-06,SU,317.82,epAqr
2009-02-06,MO,94.55,zeOri
2009-02-06,ME,293.27,muLyr
2009-02-06,VE,2.68,alPeg
2009-02-06,MA,301.4,muLyr
2009-02-06,JU,307.5,beCap
2009-02-06,SA,170.6,chUMa
2009-02-06,UR,350.71,alAqr
2009-02-06,NE,323.71,gaEqu
2009-02-06,PL,272.46,ga-2Sgr
2009-02-06,NN,309.03,beCap
2009-02-06,SN,129.03,xiPup
2009-02-06,CE,161.18,chUMa
2009-02-06,CH,320.88,epAqr
2009-02-06,JN,306.54,beCap
2009-02-06,PA,66.83,16Tau
2009-02-06,PH,252.56,siSco
2009-02-06,VS,37.86,beAri
2009-02-07,SU,318.83,epAqr
2009-02-07,MO,109.35,muGem
2009-02-07,ME,293.86,muLyr
2009-02-07,VE,3.45,alPeg
2009-02-07,MA,302.18,muLyr
2009-02-07,JU,307.73,beCap
2009-02-07,SA,170.54,chUMa
2009-02-07,UR,350.76,alAqr
2009-02-07,NE,323.75,gaEqu
2009-02-07,PL,272.48,ga-2Sgr
