PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,273,225,498,0.55,0.45
CE_VM02,Ceres,Bharani,233,224,457,0.51,0.49
CE_VM03,Ceres,Krittica,231,238,469,0.49,0.51
CE_VM04,Ceres,Rohini,266,240,506,0.53,0.47
CE_VM05,Ceres,Mrigashira,203,212,415,0.49,0.51
CE_VM06,Ceres,Ardra,189,194,383,0.49,0.51
CE_VM07,Ceres,Punavasu,235,214,449,0.52,0.48
CE_VM08,Ceres,Pushya,191,146,337,0.57,0.43
CE_VM09,Ceres,Ashlesha,195,188,383,0.51,0.49
CE_VM10,Ceres,Magha,192,181,373,0.51,0.49
CE_VM11,Ceres,PurvaPhalguni,191,191,382,0.5,0.5
CE_VM12,Ceres,UttaraPhalguni,225,168,393,0.57,0.43
CE_VM13,Ceres,Hasta,196,170,366,0.54,0.46
CE_VM14,Ceres,Chitra,221,230,451,0.49,0.51
CE_VM15,Ceres,Swati,195,197,392,0.5,0.5
CE_VM16,Ceres,Vishakha,235,233,468,0.5,0.5
CE_VM17,Ceres,Anuradha,267,248,515,0.52,0.48
CE_VM18,Ceres,Jyeshtha,276,262,538,0.51,0.49
CE_VM19,Ceres,Mula,229,248,477,0.48,0.52
CE_VM20,Ceres,PurvaAshada,228,251,479,0.48,0.52
CE_VM21,Ceres,UttaraAshada,280,251,531,0.53,0.47
CE_VM22,Ceres,Shravana,278,239,517,0.54,0.46
CE_VM23,Ceres,Danishtha,247,288,535,0.46,0.54
CE_VM24,Ceres,Shatabhisha,335,302,637,0.53,0.47
CE_VM25,Ceres,PurvaBhadrapada,263,241,504,0.52,0.48
CE_VM26,Ceres,UttaraBhadrapada,284,233,517,0.55,0.45
CE_VM27,Ceres,Revati,256,251,507,0.5,0.5
CH_VM01,Chiron,Aswini,447,451,898,0.5,0.5
CH_VM02,Chiron,Bharani,384,396,780,0.49,0.51
CH_VM03,Chiron,Krittica,340,352,692,0.49,0.51
CH_VM04,Chiron,Rohini,281,263,544,0.52,0.48
CH_VM05,Chiron,Mrigashira,209,224,433,0.48,0.52
CH_VM06,Chiron,Ardra,210,185,395,0.53,0.47
CH_VM07,Chiron,Punavasu,161,203,364,0.44,0.56
CH_VM08,Chiron,Pushya,135,128,263,0.51,0.49
CH_VM09,Chiron,Ashlesha,135,122,257,0.53,0.47
CH_VM10,Chiron,Magha,94,88,182,0.52,0.48
CH_VM11,Chiron,PurvaPhalguni,95,79,174,0.55,0.45
CH_VM12,Chiron,UttaraPhalguni,131,74,205,0.64,0.36
CH_VM13,Chiron,Hasta,114,128,242,0.47,0.53
CH_VM14,Chiron,Chitra,108,79,187,0.58,0.42
CH_VM15,Chiron,Swati,103,85,188,0.55,0.45
CH_VM16,Chiron,Vishakha,99,90,189,0.52,0.48
CH_VM17,Chiron,Anuradha,134,124,258,0.52,0.48
CH_VM18,Chiron,Jyeshtha,160,159,319,0.5,0.5
CH_VM19,Chiron,Mula,169,174,343,0.49,0.51
CH_VM20,Chiron,PurvaAshada,205,179,384,0.53,0.47
CH_VM21,Chiron,UttaraAshada,246,237,483,0.51,0.49
CH_VM22,Chiron,Shravana,292,301,593,0.49,0.51
CH_VM23,Chiron,Danishtha,333,323,656,0.51,0.49
CH_VM24,Chiron,Shatabhisha,470,386,856,0.55,0.45
CH_VM25,Chiron,PurvaBhadrapada,455,399,854,0.53,0.47
CH_VM26,Chiron,UttaraBhadrapada,488,434,922,0.53,0.47
CH_VM27,Chiron,Revati,416,402,818,0.51,0.49
JN_VM01,Juno,Aswini,166,139,305,0.54,0.46
JN_VM02,Juno,Bharani,103,100,203,0.51,0.49
JN_VM03,Juno,Krittica,149,136,285,0.52,0.48
JN_VM04,Juno,Rohini,126,115,241,0.52,0.48
JN_VM05,Juno,Mrigashira,126,128,254,0.5,0.5
JN_VM06,Juno,Ardra,166,145,311,0.53,0.47
JN_VM07,Juno,Punavasu,130,171,301,0.43,0.57
JN_VM08,Juno,Pushya,150,166,316,0.47,0.53
JN_VM09,Juno,Ashlesha,207,166,373,0.55,0.45
JN_VM10,Juno,Magha,229,217,446,0.51,0.49
JN_VM11,Juno,PurvaPhalguni,256,223,479,0.53,0.47
JN_VM12,Juno,UttaraPhalguni,296,245,541,0.55,0.45
JN_VM13,Juno,Hasta,337,312,649,0.52,0.48
JN_VM14,Juno,Chitra,346,365,711,0.49,0.51
JN_VM15,Juno,Swati,366,346,712,0.51,0.49
JN_VM16,Juno,Vishakha,386,384,770,0.5,0.5
JN_VM17,Juno,Anuradha,399,377,776,0.51,0.49
JN_VM18,Juno,Jyeshtha,427,382,809,0.53,0.47
JN_VM19,Juno,Mula,354,310,664,0.53,0.47
JN_VM20,Juno,PurvaAshada,306,284,590,0.52,0.48
JN_VM21,Juno,UttaraAshada,238,281,519,0.46,0.54
JN_VM22,Juno,Shravana,258,227,485,0.53,0.47
JN_VM23,Juno,Danishtha,209,221,430,0.49,0.51
JN_VM24,Juno,Shatabhisha,184,189,373,0.49,0.51
JN_VM25,Juno,PurvaBhadrapada,187,148,335,0.56,0.44
JN_VM26,Juno,UttaraBhadrapada,180,150,330,0.55,0.45
JN_VM27,Juno,Revati,133,138,271,0.49,0.51
JU_VM01,Jupiter,Aswini,280,274,554,0.51,0.49
JU_VM02,Jupiter,Bharani,122,103,225,0.54,0.46
JU_VM03,Jupiter,Krittica,280,228,508,0.55,0.45
JU_VM04,Jupiter,Rohini,259,234,493,0.53,0.47
JU_VM05,Jupiter,Mrigashira,120,124,244,0.49,0.51
JU_VM06,Jupiter,Ardra,294,326,620,0.47,0.53
JU_VM07,Jupiter,Punavasu,163,152,315,0.52,0.48
JU_VM08,Jupiter,Pushya,250,267,517,0.48,0.52
JU_VM09,Jupiter,Ashlesha,264,256,520,0.51,0.49
JU_VM10,Jupiter,Magha,167,178,345,0.48,0.52
JU_VM11,Jupiter,PurvaPhalguni,331,313,644,0.51,0.49
JU_VM12,Jupiter,UttaraPhalguni,149,156,305,0.49,0.51
JU_VM13,Jupiter,Hasta,364,299,663,0.55,0.45
JU_VM14,Jupiter,Chitra,174,160,334,0.52,0.48
JU_VM15,Jupiter,Swati,310,283,593,0.52,0.48
JU_VM16,Jupiter,Vishakha,235,200,435,0.54,0.46
JU_VM17,Jupiter,Anuradha,238,210,448,0.53,0.47
JU_VM18,Jupiter,Jyeshtha,309,259,568,0.54,0.46
JU_VM19,Jupiter,Mula,186,186,372,0.5,0.5
JU_VM20,Jupiter,PurvaAshada,323,346,669,0.48,0.52
JU_VM21,Jupiter,UttaraAshada,206,193,399,0.52,0.48
JU_VM22,Jupiter,Shravana,302,297,599,0.5,0.5
JU_VM23,Jupiter,Danishtha,294,245,539,0.55,0.45
JU_VM24,Jupiter,Shatabhisha,173,160,333,0.52,0.48
JU_VM25,Jupiter,PurvaBhadrapada,294,285,579,0.51,0.49
JU_VM26,Jupiter,UttaraBhadrapada,143,142,285,0.5,0.5
JU_VM27,Jupiter,Revati,184,189,373,0.49,0.51
MA_VM01,Mars,Aswini,243,217,460,0.53,0.47
