PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,4859,4547,9406,0.52,0.48
CE_RET,Ceres,Retrograde,1305,1237,2542,0.51,0.49
CE_STA,Ceres,Stationary,204,218,422,0.48,0.52
CH_DIR,Chiron,Direct,3689,3482,7171,0.51,0.49
CH_RET,Chiron,Retrograde,2386,2234,4620,0.52,0.48
CH_STA,Chiron,Stationary,293,286,579,0.51,0.49
JN_DIR,Juno,Direct,4734,4554,9288,0.51,0.49
JN_RET,Juno,Retrograde,1374,1219,2593,0.53,0.47
JN_STA,Juno,Stationary,260,229,489,0.53,0.47
JU_DIR,Jupiter,Direct,4270,3897,8167,0.52,0.48
JU_RET,Jupiter,Retrograde,1801,1828,3629,0.5,0.5
JU_STA,Jupiter,Stationary,297,277,574,0.52,0.48
MA_DIR,Mars,Direct,5637,5299,10936,0.52,0.48
MA_RET,Mars,Retrograde,589,567,1156,0.51,0.49
MA_STA,Mars,Stationary,142,136,278,0.51,0.49
ME_DIR,Mercury,Direct,4997,4615,9612,0.52,0.48
ME_RET,Mercury,Retrograde,1174,1197,2371,0.5,0.5
ME_STA,Mercury,Stationary,197,190,387,0.51,0.49
MO_DIR,Moon,Direct,6368,6002,12370,0.51,0.49
NE_DIR,Neptune,Direct,3332,3031,6363,0.52,0.48
NE_RET,Neptune,Retrograde,2417,2364,4781,0.51,0.49
NE_STA,Neptune,Stationary,619,607,1226,0.5,0.5
NN_DIR,NNode,Direct,6368,6002,12370,0.51,0.49
PA_DIR,Pallas,Direct,4818,4429,9247,0.52,0.48
PA_RET,Pallas,Retrograde,1372,1369,2741,0.5,0.5
PA_STA,Pallas,Stationary,178,204,382,0.47,0.53
PH_DIR,Pholus,Direct,3522,3394,6916,0.51,0.49
PH_RET,Pholus,Retrograde,2478,2284,4762,0.52,0.48
PH_STA,Pholus,Stationary,368,324,692,0.53,0.47
PL_DIR,Pluto,Direct,3311,3140,6451,0.51,0.49
PL_RET,Pluto,Retrograde,2411,2273,4684,0.51,0.49
PL_STA,Pluto,Stationary,646,589,1235,0.52,0.48
SA_DIR,Saturn,Direct,3776,3537,7313,0.52,0.48
SA_RET,Saturn,Retrograde,2210,2090,4300,0.51,0.49
SA_STA,Saturn,Stationary,382,375,757,0.5,0.5
SN_DIR,SNode,Direct,6368,6002,12370,0.51,0.49
SU_DIR,Sun,Direct,6368,6002,12370,0.51,0.49
UR_DIR,Uranus,Direct,3574,3291,6865,0.52,0.48
UR_RET,Uranus,Retrograde,2386,2334,4720,0.51,0.49
UR_STA,Uranus,Stationary,408,377,785,0.52,0.48
VE_DIR,Venus,Direct,5808,5442,11250,0.52,0.48
VE_RET,Venus,Retrograde,451,439,890,0.51,0.49
VE_STA,Venus,Stationary,109,121,230,0.47,0.53
VS_DIR,Vesta,Direct,4964,4757,9721,0.51,0.49
VS_RET,Vesta,Retrograde,1199,1052,2251,0.53,0.47
VS_STA,Vesta,Stationary,205,193,398,0.52,0.48
