MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,185,189,374,0.49,0.51
F_Z02_TAU,Full,Taurus,240,192,432,0.56,0.44
F_Z03_GEM,Full,Gemini,229,199,428,0.54,0.46
F_Z04_CAN,Full,Cancer,185,204,389,0.48,0.52
F_Z05_LEO,Full,Leo,241,199,440,0.55,0.45
F_Z06_VIR,Full,Virgo,262,226,488,0.54,0.46
F_Z07_LIB,Full,Libra,230,184,414,0.56,0.44
F_Z08_SCO,Full,Scorpio,245,228,473,0.52,0.48
F_Z09_SAG,Full,Sagittarius,223,250,473,0.47,0.53
F_Z10_CAP,Full,Capricorn,236,217,453,0.52,0.48
F_Z11_AQU,Full,Aquarius,219,221,440,0.5,0.5
F_Z12_PIS,Full,Pisces,188,176,364,0.52,0.48
N_Z01_ARI,New,Aries,183,172,355,0.52,0.48
N_Z02_TAU,New,Taurus,255,217,472,0.54,0.46
N_Z03_GEM,New,Gemini,236,234,470,0.5,0.5
N_Z04_CAN,New,Cancer,248,207,455,0.55,0.45
N_Z05_LEO,New,Leo,210,238,448,0.47,0.53
N_Z06_VIR,New,Virgo,238,253,491,0.48,0.52
N_Z07_LIB,New,Libra,239,240,479,0.5,0.5
N_Z08_SCO,New,Scorpio,206,199,405,0.51,0.49
N_Z09_SAG,New,Sagittarius,213,208,421,0.51,0.49
N_Z10_CAP,New,Capricorn,242,198,440,0.55,0.45
N_Z11_AQU,New,Aquarius,221,199,420,0.53,0.47
N_Z12_PIS,New,Pisces,189,156,345,0.55,0.45
