MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,35,33,68,0.51,0.49
F_Z02_TAU,Full,Taurus,23,21,44,0.52,0.48
F_Z03_GEM,Full,Gemini,32,39,71,0.45,0.55
F_Z04_CAN,Full,Cancer,24,18,42,0.57,0.43
F_Z05_LEO,Full,Leo,36,36,72,0.5,0.5
F_Z06_VIR,Full,Virgo,13,32,45,0.29,0.71
F_Z07_LIB,Full,Libra,37,24,61,0.61,0.39
F_Z08_SCO,Full,Scorpio,15,17,32,0.47,0.53
F_Z09_SAG,Full,Sagittarius,29,32,61,0.48,0.52
F_Z10_CAP,Full,Capricorn,19,27,46,0.41,0.59
F_Z11_AQU,Full,Aquarius,25,21,46,0.54,0.46
F_Z12_PIS,Full,Pisces,20,23,43,0.47,0.53
N_Z01_ARI,New,Aries,17,12,29,0.59,0.41
N_Z02_TAU,New,Taurus,38,31,69,0.55,0.45
N_Z03_GEM,New,Gemini,11,18,29,0.38,0.62
N_Z04_CAN,New,Cancer,33,23,56,0.59,0.41
N_Z05_LEO,New,Leo,7,22,29,0.24,0.76
N_Z06_VIR,New,Virgo,25,34,59,0.42,0.58
N_Z07_LIB,New,Libra,29,33,62,0.47,0.53
N_Z08_SCO,New,Scorpio,33,28,61,0.54,0.46
N_Z09_SAG,New,Sagittarius,36,26,62,0.58,0.42
N_Z10_CAP,New,Capricorn,26,36,62,0.42,0.58
N_Z11_AQU,New,Aquarius,35,26,61,0.57,0.43
N_Z12_PIS,New,Pisces,27,31,58,0.47,0.53
