PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JNUR_a36,1,22,0.019,0.054,0.005,0.012,0.026,-0.059,0.178,0.237,1.335,1.481,0.011
PAPL_a135,1,15,0.01,0.063,0.006,0.002,0.055,-0.06,0.178,0.238,1.179,0.992,0.016
VSNE_a72,1,110,0.007,0.049,0.004,0.005,0.04,-0.129,0.178,0.307,0.449,1.258,0.005
JNJU_a120,1,15,0.029,0.054,0.02,0.023,0.034,-0.045,0.178,0.223,1.238,1.513,0.014
SUPA_a45,1,38,0.016,0.047,0.013,0.012,0.036,-0.065,0.178,0.243,1.146,2.068,0.008
VEMA_a120,1,55,0.011,0.045,0.01,0.01,0.036,-0.114,0.178,0.293,0.635,2.624,0.006
MEVE_a36,1,78,-0.002,0.033,-0.004,-0.002,0.03,-0.091,0.112,0.202,0.107,1.262,0.004
SUJU_a150,1,24,0.018,0.057,0.002,0.01,0.043,-0.058,0.178,0.237,1.204,0.878,0.012
SUSA_a103,1,26,-0.007,0.057,-0.014,-0.011,0.039,-0.129,0.178,0.307,1.047,2.798,0.011
MAUR_a103,1,23,0.024,0.059,0,0.019,0.034,-0.066,0.178,0.245,0.897,-0.033,0.012
MANE_a60,1,22,0.007,0.089,0.006,0.015,0.056,-0.208,0.178,0.387,-0.804,0.924,0.019
PASA_a150,1,14,0.048,0.067,0.061,0.046,0.062,-0.053,0.178,0.231,0.031,-1.038,0.018
VEPH_a135,1,21,-0.001,0.054,-0.016,-0.011,0.031,-0.064,0.178,0.242,1.894,3.513,0.012
VEVS_a135,1,15,-0.007,0.066,-0.004,-0.007,0.064,-0.129,0.119,0.248,0.189,-0.796,0.017
MEVE_a45,1,66,-0.008,0.04,-0.004,-0.008,0.03,-0.155,0.119,0.274,-0.326,2.724,0.005
NNNE_a144,1,55,0.002,0.05,-0.006,-0.001,0.045,-0.113,0.126,0.239,0.423,-0.021,0.007
SNNE_a36,1,55,0.002,0.05,-0.006,-0.001,0.045,-0.113,0.126,0.239,0.423,-0.021,0.007
MACH_a72,1,22,0.018,0.049,0.011,0.014,0.06,-0.05,0.119,0.17,0.587,-0.869,0.011
PANN_a60,1,15,0.026,0.041,0.026,0.023,0.047,-0.028,0.119,0.147,0.547,-0.477,0.011
PASN_a120,1,15,0.026,0.041,0.026,0.023,0.047,-0.028,0.119,0.147,0.547,-0.477,0.011
VEJU_a180,1,10,0.017,0.052,0.001,0.012,0.057,-0.046,0.119,0.165,0.578,-0.993,0.016
SUUR_a0,1,14,0.032,0.046,0.031,0.032,0.051,-0.05,0.119,0.17,-0.036,-0.846,0.012
PACH_a72,1,61,0.011,0.035,0.004,0.007,0.029,-0.037,0.119,0.157,1.12,0.959,0.004
VSNN_a144,1,77,-0.009,0.044,-0.013,-0.011,0.034,-0.113,0.126,0.239,0.455,0.644,0.005
VSSN_a36,1,77,-0.009,0.044,-0.013,-0.011,0.034,-0.113,0.126,0.239,0.455,0.644,0.005
VESA_a135,1,39,0.035,0.039,0.026,0.035,0.047,-0.035,0.111,0.146,0.134,-1.009,0.006
SUMA_a103,1,35,0.018,0.058,0.006,0.01,0.037,-0.06,0.247,0.307,1.913,4.873,0.01
VEPH_a144,1,23,0.004,0.032,0,0.004,0.023,-0.088,0.066,0.154,-0.368,1.341,0.007
SUPH_a120,1,25,0.004,0.04,0.001,0.001,0.042,-0.05,0.091,0.142,0.556,-0.668,0.008
SNSA_a30,1,334,0.001,0.04,-0.001,-0.001,0.034,-0.117,0.13,0.247,0.376,0.939,0.002
NNSA_a150,1,334,0.001,0.04,-0.001,-0.001,0.034,-0.117,0.13,0.247,0.376,0.939,0.002
PAUR_a45,1,8,0.012,0.042,0.011,0.012,0.061,-0.037,0.064,0.102,-0.007,-1.954,0.015
VSJU_a45,1,71,-0.008,0.04,-0.01,-0.009,0.031,-0.113,0.126,0.239,0.399,1.359,0.005
MAJU_a60,1,22,0.003,0.025,0.003,0.002,0.028,-0.037,0.053,0.09,0.233,-0.801,0.005
VEVS_a144,1,14,-0.001,0.028,-0.001,-0.002,0.031,-0.053,0.053,0.105,-0.035,-0.655,0.007
JNUR_a30,1,63,0.004,0.033,-0.003,0.002,0.021,-0.091,0.126,0.217,0.81,3.142,0.004
SUVS_a120,1,22,-0.007,0.046,-0.004,-0.004,0.036,-0.114,0.075,0.189,-0.518,0.322,0.01
MAPL_a0,1,15,0.017,0.055,-0.003,0.013,0.05,-0.037,0.126,0.164,0.576,-1.195,0.014
SUPL_a103,1,26,0,0.031,-0.003,-0.001,0.035,-0.05,0.053,0.103,0.191,-1.11,0.006
PAPL_a144,1,15,0.025,0.048,0.019,0.022,0.049,-0.037,0.126,0.164,0.561,-0.747,0.012
PANE_a90,1,18,0.007,0.049,-0.004,0.004,0.039,-0.068,0.126,0.194,0.932,0.138,0.012
VEPH_a150,1,22,-0.002,0.037,0.006,-0.002,0.056,-0.071,0.054,0.125,-0.003,-1.2,0.008
JNCH_a0,1,9,0.026,0.062,0.03,0.026,0.098,-0.037,0.126,0.164,0.314,-1.584,0.021
VESA_a144,1,23,-0.012,0.037,-0.018,-0.016,0.034,-0.065,0.101,0.165,1.159,1.4,0.008
JNPH_a90,1,21,0.012,0.043,0.007,0.006,0.035,-0.037,0.126,0.163,1.11,0.611,0.009
VEVS_a150,1,12,0.024,0.052,0.017,0.024,0.023,-0.071,0.126,0.197,0.339,-0.295,0.015
SUSA_a120,1,27,0.014,0.044,-0.003,0.009,0.035,-0.036,0.126,0.163,1.249,0.83,0.008
VEPL_a135,1,40,0.016,0.045,0.006,0.011,0.031,-0.049,0.126,0.175,1.011,0.209,0.007
VEMA_a135,1,16,0.004,0.052,-0.015,0,0.028,-0.066,0.126,0.193,1.081,0.179,0.013
SUPA_a36,1,39,0.005,0.035,0,0.001,0.021,-0.046,0.126,0.172,1.441,2.664,0.006
PAJU_a150,1,6,0.001,0.034,-0.004,0.001,0.045,-0.036,0.049,0.085,0.213,-1.893,0.014
VESA_a150,1,22,0.007,0.027,0.001,0.007,0.029,-0.039,0.049,0.088,0.074,-1.278,0.006
JNPL_a72,1,20,-0.004,0.024,-0.007,-0.005,0.025,-0.046,0.049,0.094,0.449,-0.584,0.005
JNJU_a135,1,14,-0.011,0.034,-0.01,-0.011,0.039,-0.075,0.044,0.119,-0.086,-1.155,0.009
PAPL_a150,1,14,-0.014,0.042,-0.014,-0.013,0.033,-0.109,0.075,0.184,-0.096,0.324,0.011
MEJU_a150,1,16,-0.007,0.028,0.007,-0.005,0.025,-0.076,0.031,0.108,-0.772,-0.146,0.007
SUPH_a135,1,26,-0.013,0.023,-0.013,-0.013,0.024,-0.059,0.033,0.093,0.085,-0.589,0.004
VESU_a30,1,89,-0.006,0.039,-0.01,-0.008,0.026,-0.113,0.119,0.232,0.717,2.281,0.004
VEPL_a144,1,44,0.01,0.033,0.008,0.008,0.03,-0.046,0.111,0.156,0.749,0.646,0.005
MESA_a103,1,16,-0.01,0.018,-0.008,-0.01,0.018,-0.046,0.016,0.062,-0.18,-0.998,0.004
SUJU_a180,1,12,0.002,0.036,0.009,0,0.049,-0.046,0.064,0.11,0.172,-1.395,0.01
SUVS_a135,1,22,-0.017,0.032,-0.008,-0.014,0.03,-0.113,0.029,0.142,-1.059,1.218,0.007
PAJU_a144,1,6,-0.032,0.052,-0.034,-0.032,0.018,-0.113,0.051,0.164,0.028,-1.02,0.021
PANN_a45,1,14,-0.015,0.044,-0.001,-0.013,0.03,-0.113,0.051,0.164,-0.785,-0.219,0.012
PASN_a135,1,14,-0.015,0.044,-0.001,-0.013,0.03,-0.113,0.051,0.164,-0.785,-0.219,0.012
SUPL_a120,1,26,-0.001,0.048,-0.004,-0.004,0.033,-0.113,0.133,0.246,0.551,1.384,0.009
VEPL_a150,1,21,0.002,0.06,-0.005,0.001,0.054,-0.113,0.13,0.243,0.218,-0.752,0.013
MAUR_a90,1,55,-0.011,0.042,-0.006,-0.013,0.037,-0.113,0.105,0.218,0.336,0.46,0.006
VEMA_a144,1,16,-0.01,0.044,-0.009,-0.006,0.046,-0.113,0.051,0.164,-0.534,-0.347,0.011
MAJU_a72,1,69,-0.001,0.044,-0.002,-0.003,0.035,-0.113,0.124,0.237,0.344,0.785,0.005
CHPL_a72,1,548,0.001,0.043,-0.001,0,0.032,-0.208,0.247,0.456,0.277,3.982,0.002
MEUR_a0,1,8,-0.005,0.029,-0.009,-0.005,0.019,-0.042,0.051,0.093,0.662,-0.708,0.01
JNSA_a90,1,20,-0.016,0.039,-0.009,-0.014,0.035,-0.117,0.051,0.167,-0.529,0.14,0.009
SUSA_a135,1,26,-0.006,0.039,0,-0.005,0.037,-0.117,0.074,0.19,-0.573,0.63,0.008
MEPH_a120,1,12,-0.01,0.039,-0.011,-0.009,0.028,-0.076,0.052,0.128,0.036,-0.949,0.011
SUPH_a144,1,30,0.003,0.037,0.001,0.001,0.027,-0.076,0.133,0.21,1.05,3.306,0.007
MANE_a45,1,83,-0.01,0.041,-0.006,-0.01,0.036,-0.114,0.112,0.226,-0.016,0.71,0.004
VEPA_a0,1,12,-0.007,0.025,-0.005,-0.007,0.023,-0.048,0.035,0.083,0.015,-1.172,0.007
MACH_a60,1,62,-0.015,0.044,-0.008,-0.017,0.034,-0.109,0.149,0.258,0.87,2.542,0.006
JNNN_a120,1,19,-0.012,0.04,0.001,-0.009,0.046,-0.117,0.037,0.154,-0.765,-0.024,0.009
JNSN_a60,1,19,-0.012,0.04,0.001,-0.009,0.046,-0.117,0.037,0.154,-0.765,-0.024,0.009
MEPL_a103,1,15,-0.007,0.032,-0.009,-0.007,0.019,-0.073,0.064,0.136,0.085,0.254,0.008
SUPA_a30,1,40,-0.003,0.042,-0.001,-0.003,0.028,-0.1,0.114,0.215,0.19,0.984,0.007
MEVS_a120,1,31,-0.007,0.036,-0.009,-0.011,0.032,-0.06,0.095,0.155,1.021,1.033,0.006
PANE_a103,1,16,-0.011,0.034,0.001,-0.007,0.019,-0.1,0.025,0.125,-1.282,0.686,0.008
SUVS_a144,1,21,0.004,0.037,0.003,0.001,0.025,-0.053,0.115,0.168,0.985,1.449,0.008
MESA_a120,1,16,-0.028,0.045,-0.02,-0.026,0.049,-0.117,0.035,0.151,-0.371,-1.02,0.011
JNJU_a144,1,14,-0.01,0.045,0.003,-0.009,0.059,-0.1,0.064,0.165,-0.225,-0.865,0.012
PAUR_a60,1,8,-0.025,0.043,-0.019,-0.025,0.042,-0.1,0.025,0.125,-0.441,-1.401,0.015
VEPH_a180,1,12,-0.006,0.024,-0.004,-0.006,0.024,-0.04,0.028,0.068,-0.083,-1.579,0.007
VEMA_a150,1,15,0.001,0.048,0.012,0.002,0.037,-0.1,0.092,0.192,-0.246,-0.254,0.012
CEPA_a45,1,71,0.001,0.04,0.003,0.001,0.032,-0.1,0.13,0.23,0.285,1.303,0.005
PAPH_a180,1,7,-0.023,0.046,-0.001,-0.023,0.039,-0.1,0.025,0.125,-0.494,-1.564,0.018
SUPH_a150,1,29,-0.003,0.042,0.001,-0.004,0.037,-0.1,0.101,0.202,0.19,0.347,0.008
PACH_a90,1,19,-0.001,0.047,-0.006,0,0.037,-0.1,0.091,0.192,0.012,-0.406,0.011
SUMA_a120,1,25,-0.011,0.037,-0.004,-0.009,0.035,-0.1,0.049,0.149,-0.565,-0.481,0.007
PAJU_a135,1,6,-0.036,0.042,-0.032,-0.036,0.047,-0.1,0.012,0.113,-0.291,-1.637,0.017
SUSA_a144,1,26,-0.025,0.035,-0.025,-0.024,0.031,-0.1,0.045,0.145,-0.078,-0.486,0.007
VEVS_a180,1,7,-0.016,0.053,0.005,-0.016,0.051,-0.1,0.04,0.14,-0.368,-1.69,0.02
MEPH_a135,1,33,-0.011,0.045,-0.007,-0.012,0.04,-0.109,0.133,0.242,0.573,1.765,0.008
MAVS_a30,1,33,-0.003,0.046,-0.003,-0.005,0.039,-0.1,0.105,0.206,0.41,0.077,0.008
MEJU_a180,1,7,-0.035,0.037,-0.027,-0.035,0.032,-0.1,0.007,0.107,-0.609,-1.165,0.014
JNPH_a103,1,19,-0.008,0.041,-0.001,-0.008,0.034,-0.1,0.095,0.196,0.072,0.748,0.009
SUVS_a150,1,15,0.005,0.043,0.005,0.006,0.019,-0.1,0.092,0.192,-0.316,0.72,0.011
MEVS_a135,1,15,-0.019,0.042,-0.011,-0.016,0.025,-0.114,0.04,0.154,-1.007,0.167,0.011
PANN_a36,1,14,0.006,0.052,-0.004,0.005,0.051,-0.073,0.105,0.178,0.45,-0.97,0.014
PASN_a144,1,14,0.006,0.052,-0.004,0.005,0.051,-0.073,0.105,0.178,0.45,-0.97,0.014
MEPL_a120,1,14,-0.013,0.033,-0.002,-0.011,0.045,-0.076,0.032,0.108,-0.287,-1.122,0.009
VESA_a180,1,9,-0.022,0.049,-0.024,-0.022,0.034,-0.117,0.055,0.172,-0.238,-0.604,0.016
SUPL_a135,1,29,0.018,0.044,0.01,0.017,0.037,-0.062,0.111,0.173,0.34,-0.674,0.008
MESA_a135,1,27,0.005,0.044,-0.001,0.003,0.043,-0.071,0.095,0.166,0.356,-0.735,0.008
MEPH_a144,1,14,0.004,0.04,0.01,0.004,0.047,-0.059,0.074,0.133,-0.011,-1.105,0.011
SUSA_a150,1,26,-0.003,0.036,-0.012,-0.006,0.037,-0.053,0.095,0.148,0.878,0.243,0.007
JNJU_a150,1,14,0.007,0.046,0.014,0.008,0.042,-0.088,0.095,0.184,-0.244,-0.457,0.012
MEPA_a36,1,16,0.006,0.034,0.007,0.004,0.03,-0.053,0.095,0.148,0.768,0.739,0.009
MEVS_a144,1,14,0.018,0.043,0.009,0.016,0.031,-0.053,0.112,0.165,0.647,-0.351,0.012
VSJN_a103,1,35,0.019,0.037,0.013,0.018,0.029,-0.053,0.112,0.165,0.501,-0.005,0.006
VECE_a36,1,20,0.01,0.031,0.003,0.008,0.015,-0.053,0.095,0.148,0.793,1.238,0.007
MEPH_a150,1,29,-0.003,0.042,0,-0.004,0.048,-0.075,0.095,0.171,0.355,-0.56,0.008
MESA_a144,1,16,0.009,0.037,0.006,0.006,0.036,-0.038,0.095,0.133,0.857,-0.174,0.009
MEVS_a150,1,13,0.001,0.048,0.001,-0.001,0.053,-0.068,0.095,0.163,0.33,-0.995,0.013
VESU_a36,1,103,0.007,0.039,0.003,0.006,0.032,-0.093,0.149,0.242,0.465,1.601,0.004
PASA_a180,1,7,0.006,0.029,0.008,0.006,0.025,-0.035,0.045,0.08,-0.224,-1.582,0.011
MEMA_a120,1,13,0.011,0.031,0.017,0.015,0.028,-0.073,0.049,0.121,-1.204,1.184,0.009
MEPA_a30,1,16,0.017,0.036,0.015,0.018,0.026,-0.066,0.09,0.156,-0.064,0.157,0.009
MEPL_a135,1,12,0,0.022,0,0.002,0.009,-0.06,0.032,0.091,-1.192,1.635,0.006
MESA_a150,1,17,0.021,0.05,0.015,0.02,0.062,-0.044,0.111,0.155,0.412,-1.364,0.012
PANN_a30,1,14,-0.021,0.027,-0.029,-0.021,0.035,-0.06,0.021,0.08,0.112,-1.609,0.007
PASN_a150,1,14,-0.021,0.027,-0.029,-0.021,0.035,-0.06,0.021,0.08,0.112,-1.609,0.007
SUPL_a144,1,27,-0.005,0.028,-0.011,-0.008,0.027,-0.044,0.075,0.119,0.801,0.283,0.005
MAVS_a36,1,51,-0.015,0.034,-0.011,-0.013,0.026,-0.109,0.075,0.184,-0.436,0.726,0.005
VEPL_a180,1,11,0.008,0.031,0.008,0.008,0.036,-0.035,0.049,0.084,-0.116,-1.748,0.009
VECE_a30,1,48,0.004,0.038,0,0.003,0.04,-0.073,0.105,0.178,0.457,0.074,0.005
MEPL_a144,1,15,-0.008,0.02,-0.007,-0.008,0.019,-0.044,0.024,0.069,-0.13,-1.037,0.005
MANN_a180,1,70,-0.002,0.044,-0.004,-0.004,0.037,-0.09,0.105,0.196,0.405,-0.136,0.005
MASN_a0,1,70,-0.002,0.044,-0.004,-0.004,0.037,-0.09,0.105,0.196,0.405,-0.136,0.005
JNSA_a103,1,50,-0.004,0.05,-0.007,-0.004,0.031,-0.208,0.115,0.323,-0.779,4.318,0.007
JNSN_a72,1,22,-0.006,0.043,-0.013,-0.009,0.03,-0.083,0.101,0.185,0.65,0.439,0.009
JNPL_a90,1,32,-0.008,0.039,-0.004,-0.006,0.041,-0.117,0.068,0.184,-0.6,0.223,0.007
MEPL_a150,1,28,0.008,0.037,0.001,0.005,0.034,-0.046,0.095,0.142,0.869,-0.026,0.007
MEMA_a135,1,11,-0.015,0.025,-0.028,-0.017,0.022,-0.046,0.034,0.079,0.555,-1.19,0.008
MECE_a60,1,17,0.001,0.034,-0.001,0.003,0.017,-0.083,0.056,0.139,-0.42,0.248,0.008
PAUR_a72,1,8,-0.029,0.039,-0.024,-0.029,0.048,-0.083,0.031,0.114,0.045,-1.571,0.014
SUPL_a150,1,25,-0.014,0.036,-0.01,-0.014,0.04,-0.083,0.064,0.148,-0.011,-0.709,0.007
MEPH_a180,1,7,0.011,0.062,-0.006,0.011,0.024,-0.071,0.096,0.166,0.336,-1.59,0.023
PAJU_a120,1,6,-0.013,0.035,-0.01,-0.013,0.026,-0.071,0.031,0.102,-0.362,-1.331,0.014
SUMA_a135,1,19,-0.009,0.071,-0.028,-0.01,0.063,-0.117,0.119,0.236,0.409,-1.2,0.016
