PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
SU_JU_a0,1,80,0.004,0.03,0.005,0.005,0.014,-0.112,0.105,0.217,-0.396,3.439,0.003
SU_PH_a135,1,141,0,0.02,0,0.001,0.016,-0.066,0.061,0.127,-0.281,1.7,0.002
PA_NE_a30,1,202,0.003,0.023,0.001,0.002,0.016,-0.134,0.087,0.221,-0.563,6.547,0.002
JU_NE_a36,1,159,0.001,0.032,0,0,0.021,-0.134,0.13,0.264,0.27,3.521,0.003
ME_NN_a180,1,45,-0.007,0.027,-0.001,-0.005,0.02,-0.08,0.059,0.139,-0.614,0.687,0.004
ME_SN_a0,1,45,-0.007,0.027,-0.001,-0.005,0.02,-0.08,0.059,0.139,-0.614,0.687,0.004
PA_CH_a103,1,130,0.001,0.03,0,0,0.015,-0.206,0.106,0.312,-1.758,17.814,0.003
SU_NN_a180,1,66,0.003,0.031,0.001,0.001,0.017,-0.092,0.108,0.2,0.473,2.584,0.004
SU_SN_a0,1,66,0.003,0.031,0.001,0.001,0.017,-0.092,0.108,0.2,0.473,2.584,0.004
CH_PH_a30,1,106,0.011,0.057,0.004,0.008,0.035,-0.18,0.182,0.362,0.297,2.876,0.006
JU_PL_a90,1,173,0,0.018,0,0,0.014,-0.058,0.065,0.123,0.118,1.883,0.001
ME_CH_a120,1,164,0.001,0.031,0,0,0.017,-0.112,0.233,0.345,2.291,18.862,0.002
SU_SA_a36,1,162,-0.001,0.033,0.001,0,0.016,-0.206,0.13,0.336,-1.472,11.919,0.003
CE_JU_a30,1,122,0.004,0.029,0.004,0.004,0.021,-0.167,0.123,0.29,-1.163,10.828,0.003
SU_PH_a144,1,145,0.002,0.018,0.001,0.001,0.014,-0.038,0.075,0.112,0.83,2.466,0.002
PA_SA_a45,1,160,0.006,0.035,0.003,0.005,0.02,-0.14,0.158,0.298,0.3,4.807,0.003
