MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,130,110,240,0.54,0.46
F_Z02_TAU,Full,Taurus,157,121,278,0.56,0.44
F_Z03_GEM,Full,Gemini,133,138,271,0.49,0.51
F_Z04_CAN,Full,Cancer,116,112,228,0.51,0.49
F_Z05_LEO,Full,Leo,140,153,293,0.48,0.52
F_Z06_VIR,Full,Virgo,151,127,278,0.54,0.46
F_Z07_LIB,Full,Libra,141,107,248,0.57,0.43
F_Z08_SCO,Full,Scorpio,143,136,279,0.51,0.49
F_Z09_SAG,Full,Sagittarius,171,145,316,0.54,0.46
F_Z10_CAP,Full,Capricorn,146,119,265,0.55,0.45
F_Z11_AQU,Full,Aquarius,139,162,301,0.46,0.54
F_Z12_PIS,Full,Pisces,108,117,225,0.48,0.52
N_Z01_ARI,New,Aries,124,105,229,0.54,0.46
N_Z02_TAU,New,Taurus,154,136,290,0.53,0.47
N_Z03_GEM,New,Gemini,143,142,285,0.5,0.5
N_Z04_CAN,New,Cancer,153,138,291,0.53,0.47
N_Z05_LEO,New,Leo,140,143,283,0.49,0.51
N_Z06_VIR,New,Virgo,167,148,315,0.53,0.47
N_Z07_LIB,New,Libra,145,132,277,0.52,0.48
N_Z08_SCO,New,Scorpio,143,131,274,0.52,0.48
N_Z09_SAG,New,Sagittarius,126,132,258,0.49,0.51
N_Z10_CAP,New,Capricorn,145,126,271,0.54,0.46
N_Z11_AQU,New,Aquarius,128,118,246,0.52,0.48
N_Z12_PIS,New,Pisces,114,108,222,0.51,0.49
