PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1616,1481,3097,0.52,0.48
CE_POS,Ceres,Positive,1555,1412,2967,0.52,0.48
CH_NEG,Chiron,Negative,1743,1536,3279,0.53,0.47
CH_POS,Chiron,Positive,1428,1357,2785,0.51,0.49
JN_NEG,Juno,Negative,1491,1329,2820,0.53,0.47
JN_POS,Juno,Positive,1680,1564,3244,0.52,0.48
JU_NEG,Jupiter,Negative,1598,1456,3054,0.52,0.48
JU_POS,Jupiter,Positive,1573,1437,3010,0.52,0.48
MA_NEG,Mars,Negative,1551,1426,2977,0.52,0.48
MA_POS,Mars,Positive,1620,1467,3087,0.52,0.48
ME_NEG,Mercury,Negative,1602,1404,3006,0.53,0.47
ME_POS,Mercury,Positive,1569,1489,3058,0.51,0.49
MO_NEG,Moon,Negative,1565,1475,3040,0.51,0.49
MO_POS,Moon,Positive,1606,1418,3024,0.53,0.47
NE_NEG,Neptune,Negative,1467,1223,2690,0.55,0.45
NE_POS,Neptune,Positive,1704,1670,3374,0.51,0.49
NN_NEG,NNode,Negative,1617,1446,3063,0.53,0.47
NN_POS,NNode,Positive,1554,1447,3001,0.52,0.48
PA_NEG,Pallas,Negative,1559,1399,2958,0.53,0.47
PA_POS,Pallas,Positive,1612,1494,3106,0.52,0.48
PH_NEG,Pholus,Negative,1123,1069,2192,0.51,0.49
PH_POS,Pholus,Positive,2048,1824,3872,0.53,0.47
PL_NEG,Pluto,Negative,1769,1491,3260,0.54,0.46
PL_POS,Pluto,Positive,1402,1402,2804,0.5,0.5
SA_NEG,Saturn,Negative,1578,1471,3049,0.52,0.48
SA_POS,Saturn,Positive,1593,1422,3015,0.53,0.47
SN_NEG,SNode,Negative,1617,1446,3063,0.53,0.47
SN_POS,SNode,Positive,1554,1447,3001,0.52,0.48
SU_NEG,Sun,Negative,1597,1404,3001,0.53,0.47
SU_POS,Sun,Positive,1574,1489,3063,0.51,0.49
UR_NEG,Uranus,Negative,1360,1231,2591,0.52,0.48
UR_POS,Uranus,Positive,1811,1662,3473,0.52,0.48
VE_NEG,Venus,Negative,1558,1391,2949,0.53,0.47
VE_POS,Venus,Positive,1613,1502,3115,0.52,0.48
VS_NEG,Vesta,Negative,1509,1397,2906,0.52,0.48
VS_POS,Vesta,Positive,1662,1496,3158,0.53,0.47
