PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",514,509,1023,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",765,692,1457,0.53,0.47,CAR
"CAR_(8,14]",Cardinal,"(8,14]",310,267,577,0.54,0.46,CAR
"CAR_[0,5]",Cardinal,"[0,5]",1538,1398,2936,0.52,0.48,CAR
"FIX_(5,6]",Fixed,"(5,6]",615,567,1182,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",447,419,866,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",634,594,1228,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",1431,1286,2717,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",1193,1083,2276,0.52,0.48,MUT
"MUT_(6,7]",Mutable,"(6,7]",565,552,1117,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",909,796,1705,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",460,435,895,0.51,0.49,MUT
