PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1182,1103,2285,0.52,0.48
CE_POS,Ceres,Positive,1103,1122,2225,0.5,0.5
CH_NEG,Chiron,Negative,1237,1210,2447,0.51,0.49
CH_POS,Chiron,Positive,1048,1015,2063,0.51,0.49
JN_NEG,Juno,Negative,1092,1020,2112,0.52,0.48
JN_POS,Juno,Positive,1193,1205,2398,0.5,0.5
JU_NEG,Jupiter,Negative,1171,1163,2334,0.5,0.5
JU_POS,Jupiter,Positive,1114,1062,2176,0.51,0.49
MA_NEG,Mars,Negative,1110,1057,2167,0.51,0.49
MA_POS,Mars,Positive,1175,1168,2343,0.5,0.5
ME_NEG,Mercury,Negative,1186,1084,2270,0.52,0.48
ME_POS,Mercury,Positive,1099,1141,2240,0.49,0.51
MO_NEG,Moon,Negative,1151,1110,2261,0.51,0.49
MO_POS,Moon,Positive,1134,1115,2249,0.5,0.5
NE_NEG,Neptune,Negative,1234,1244,2478,0.5,0.5
NE_POS,Neptune,Positive,1051,981,2032,0.52,0.48
NN_NEG,NNode,Negative,1159,1098,2257,0.51,0.49
NN_POS,NNode,Positive,1126,1127,2253,0.5,0.5
PA_NEG,Pallas,Negative,1188,1128,2316,0.51,0.49
PA_POS,Pallas,Positive,1097,1097,2194,0.5,0.5
PH_NEG,Pholus,Negative,589,573,1162,0.51,0.49
PH_POS,Pholus,Positive,1696,1652,3348,0.51,0.49
PL_NEG,Pluto,Negative,1668,1651,3319,0.5,0.5
PL_POS,Pluto,Positive,617,574,1191,0.52,0.48
SA_NEG,Saturn,Negative,1190,1193,2383,0.5,0.5
SA_POS,Saturn,Positive,1095,1032,2127,0.51,0.49
SN_NEG,SNode,Negative,1159,1098,2257,0.51,0.49
SN_POS,SNode,Positive,1126,1127,2253,0.5,0.5
SU_NEG,Sun,Negative,1120,1138,2258,0.5,0.5
SU_POS,Sun,Positive,1165,1087,2252,0.52,0.48
UR_NEG,Uranus,Negative,1270,1212,2482,0.51,0.49
UR_POS,Uranus,Positive,1015,1013,2028,0.5,0.5
VE_NEG,Venus,Negative,1131,1033,2164,0.52,0.48
VE_POS,Venus,Positive,1154,1192,2346,0.49,0.51
VS_NEG,Vesta,Negative,1117,1146,2263,0.49,0.51
VS_POS,Vesta,Positive,1168,1079,2247,0.52,0.48
