PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Z01,145,137,282,0.51,0.49
CE_Z02_TAU,Ceres,Z02,203,181,384,0.53,0.47
CE_Z03_GEM,Ceres,Z03,130,127,257,0.51,0.49
CE_Z04_CAN,Ceres,Z04,175,150,325,0.54,0.46
CE_Z05_LEO,Ceres,Z05,163,189,352,0.46,0.54
CE_Z06_VIR,Ceres,Z06,176,161,337,0.52,0.48
CE_Z07_LIB,Ceres,Z07,158,152,310,0.51,0.49
CE_Z08_SCO,Ceres,Z08,195,204,399,0.49,0.51
CE_Z09_SAG,Ceres,Z09,215,236,451,0.48,0.52
CE_Z10_CAP,Ceres,Z10,171,178,349,0.49,0.51
CE_Z11_AQU,Ceres,Z11,262,256,518,0.51,0.49
CE_Z12_PIS,Ceres,Z12,253,227,480,0.53,0.47
CH_Z01_ARI,Chiron,Z01,296,311,607,0.49,0.51
CH_Z10_CAP,Chiron,Z10,219,188,407,0.54,0.46
CH_Z11_AQU,Chiron,Z11,713,677,1390,0.51,0.49
CH_Z12_PIS,Chiron,Z12,1018,1022,2040,0.5,0.5
JN_Z01_ARI,Juno,Z01,100,124,224,0.45,0.55
JN_Z02_TAU,Juno,Z02,134,129,263,0.51,0.49
JN_Z03_GEM,Juno,Z03,131,172,303,0.43,0.57
JN_Z04_CAN,Juno,Z04,92,82,174,0.53,0.47
JN_Z05_LEO,Juno,Z05,158,170,328,0.48,0.52
JN_Z06_VIR,Juno,Z06,180,170,350,0.51,0.49
JN_Z07_LIB,Juno,Z07,319,287,606,0.53,0.47
JN_Z08_SCO,Juno,Z08,250,245,495,0.51,0.49
JN_Z09_SAG,Juno,Z09,243,267,510,0.48,0.52
JN_Z10_CAP,Juno,Z10,290,275,565,0.51,0.49
JN_Z11_AQU,Juno,Z11,203,158,361,0.56,0.44
JN_Z12_PIS,Juno,Z12,146,119,265,0.55,0.45
JU_Z01_ARI,Jupiter,Z01,84,79,163,0.52,0.48
JU_Z02_TAU,Jupiter,Z02,133,133,266,0.5,0.5
JU_Z03_GEM,Jupiter,Z03,142,130,272,0.52,0.48
JU_Z04_CAN,Jupiter,Z04,145,129,274,0.53,0.47
JU_Z05_LEO,Jupiter,Z05,126,153,279,0.45,0.55
JU_Z06_VIR,Jupiter,Z06,242,253,495,0.49,0.51
JU_Z07_LIB,Jupiter,Z07,281,281,562,0.5,0.5
JU_Z08_SCO,Jupiter,Z08,292,271,563,0.52,0.48
JU_Z09_SAG,Jupiter,Z09,276,254,530,0.52,0.48
