PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,679,642,1321,0.51,0.49
CE_FIX,Ceres,Fixed,851,862,1713,0.5,0.5
CE_MUT,Ceres,Mutable,832,810,1642,0.51,0.49
CH_CAR,Chiron,Cardinal,631,615,1246,0.51,0.49
CH_FIX,Chiron,Fixed,713,677,1390,0.51,0.49
CH_MUT,Chiron,Mutable,1018,1022,2040,0.5,0.5
JN_CAR,Juno,Cardinal,806,774,1580,0.51,0.49
JN_FIX,Juno,Fixed,745,702,1447,0.51,0.49
JN_MUT,Juno,Mutable,811,838,1649,0.49,0.51
JU_CAR,Jupiter,Cardinal,766,774,1540,0.5,0.5
JU_FIX,Jupiter,Fixed,799,771,1570,0.51,0.49
JU_MUT,Jupiter,Mutable,797,769,1566,0.51,0.49
MA_CAR,Mars,Cardinal,831,751,1582,0.53,0.47
MA_FIX,Mars,Fixed,801,821,1622,0.49,0.51
MA_MUT,Mars,Mutable,730,742,1472,0.5,0.5
ME_CAR,Mercury,Cardinal,795,769,1564,0.51,0.49
ME_FIX,Mercury,Fixed,803,759,1562,0.51,0.49
ME_MUT,Mercury,Mutable,764,786,1550,0.49,0.51
MO_CAR,Moon,Cardinal,780,791,1571,0.5,0.5
MO_FIX,Moon,Fixed,806,749,1555,0.52,0.48
MO_MUT,Moon,Mutable,776,774,1550,0.5,0.5
NE_FIX,Neptune,Fixed,1051,981,2032,0.52,0.48
NE_MUT,Neptune,Mutable,1311,1333,2644,0.5,0.5
NN_CAR,NNode,Cardinal,797,820,1617,0.49,0.51
NN_FIX,NNode,Fixed,747,715,1462,0.51,0.49
NN_MUT,NNode,Mutable,818,779,1597,0.51,0.49
PA_CAR,Pallas,Cardinal,823,779,1602,0.51,0.49
PA_FIX,Pallas,Fixed,698,674,1372,0.51,0.49
PA_MUT,Pallas,Mutable,841,861,1702,0.49,0.51
PH_CAR,Pholus,Cardinal,405,412,817,0.5,0.5
PH_FIX,Pholus,Fixed,251,240,491,0.51,0.49
PH_MUT,Pholus,Mutable,1706,1662,3368,0.51,0.49
PL_CAR,Pluto,Cardinal,1745,1740,3485,0.5,0.5
PL_MUT,Pluto,Mutable,617,574,1191,0.52,0.48
SA_CAR,Saturn,Cardinal,926,892,1818,0.51,0.49
SA_FIX,Saturn,Fixed,780,740,1520,0.51,0.49
SA_MUT,Saturn,Mutable,656,682,1338,0.49,0.51
SN_CAR,SNode,Cardinal,797,820,1617,0.49,0.51
SN_FIX,SNode,Fixed,747,715,1462,0.51,0.49
SN_MUT,SNode,Mutable,818,779,1597,0.51,0.49
SU_CAR,Sun,Cardinal,774,786,1560,0.5,0.5
SU_FIX,Sun,Fixed,798,763,1561,0.51,0.49
SU_MUT,Sun,Mutable,790,765,1555,0.51,0.49
UR_CAR,Uranus,Cardinal,1002,1007,2009,0.5,0.5
UR_FIX,Uranus,Fixed,429,427,856,0.5,0.5
UR_MUT,Uranus,Mutable,931,880,1811,0.51,0.49
VE_CAR,Venus,Cardinal,795,784,1579,0.5,0.5
VE_FIX,Venus,Fixed,786,732,1518,0.52,0.48
VE_MUT,Venus,Mutable,781,798,1579,0.49,0.51
VS_CAR,Vesta,Cardinal,755,748,1503,0.5,0.5
VS_FIX,Vesta,Fixed,729,776,1505,0.48,0.52
VS_MUT,Vesta,Mutable,878,790,1668,0.53,0.47
