PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,PVal6m,PVal3m,PVal2m,PVal1m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AUDUSD=X-predict-ensamble-gakknn-VFF.csv,AUDUSD=X,2021-07-06T18:29:02.590590Z,1,0.468,0.461,0.396,0.364,0.126,0.117,0.046,0.745,0.73,0.964,0.991,0.489,0.554,0.581,0.591,0.104,0.048,0.014,0.112625
AUDUSD=X-predict-ensamble-gakknn-UADCC.csv,AUDUSD=X,2021-07-06T18:29:02.184216Z,1,0.516,0.493,0.489,0.455,0.072,0.035,0.049,0.775,0.702,0.761,0.934,0.566,0.522,0.534,0.591,0.127,0.061,0.081,0.11235
AUDUSD=X-predict-ensamble-kknn-MAABBAABCACCCG.csv,AUDUSD=X,2021-07-07T16:29:55.631388Z,0,0.463,0.51,0.606,0.545,0.133,0.177,0.086,0.787,0.72,0.581,0.744,0.513,0.479,0.514,0.409,0.098,0.121,0.148,0.112109
AUDUSD=X-predict-ensamble-gakknn-VACGBFC.csv,AUDUSD=X,2021-07-06T18:29:02.249333Z,1,0.577,0.538,0.512,0.5,0.102,0.047,0.017,0.798,0.787,0.744,0.74,0.659,0.6,0.558,0.545,0.081,0.072,0.018,0.109551333333333
AUDUSD=X-predict-ensamble-gakknn-NAABCAABF.csv,AUDUSD=X,2021-07-07T16:29:55.576278Z,0,0.514,0.569,0.58,0.636,0.058,0.06,0.08,0.803,0.716,0.583,0.42,0.571,0.569,0.49,0.409,0.131,0.159,0.115,0.109203666666667
AUDUSD=X-predict-ensamble-gakknn-VACGBFCD.csv,AUDUSD=X,2021-07-06T18:29:02.264745Z,1,0.483,0.477,0.534,0.591,0.134,0.114,0.081,0.782,0.785,0.679,0.418,0.599,0.57,0.537,0.455,0.074,0.1,0.116,0.108564
AUDUSD=X-predict-ensamble-gakknn-PAA.csv,AUDUSD=X,2021-07-06T18:29:01.950603Z,1,0.497,0.494,0.514,0.409,0.114,0.11,0.148,0.786,0.892,0.909,0.933,0.528,0.429,0.37,0.455,0.128,0.132,0.119,0.107356666666667
AUDUSD=X-predict-ensamble-gakknn-NAAA.csv,AUDUSD=X,2021-07-06T18:29:01.916349Z,1,0.52,0.484,0.44,0.5,0.099,0.096,0.084,0.777,0.843,0.968,0.937,0.562,0.641,0.675,0.636,0.137,0.072,0.055,0.107337333333333
AUDUSD=X-predict-ensamble-gakknn-VACE.csv,AUDUSD=X,2021-07-06T18:29:02.217221Z,1,0.561,0.522,0.511,0.545,0.082,0.04,0.049,0.799,0.758,0.843,0.942,0.596,0.584,0.603,0.682,0.137,0.086,0.112,0.106798
AUDUSD=X-predict-ensamble-gakknn-SBB.csv,AUDUSD=X,2021-07-06T18:29:02.096490Z,1,0.538,0.524,0.536,0.5,0.044,0.041,0.051,0.801,0.672,0.578,0.74,0.462,0.462,0.489,0.455,0.209,0.058,0.049,0.106000666666667
