PredictFile,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-ensamble-gakknn-MEH.csv,2020-11-19T10:05:10.854988Z,13,0.733,0.581,0.572,0.433,0.099,0.139,0.548,0.493,0.523,0.4,0.131,0.133
ADA-USD-predict-ensamble-gakknn-MEI.csv,2020-11-19T13:14:35.052495Z,13,0.685,0.505,0.458,0.367,0.131,0.123,0.498,0.371,0.473,0.333,0.174,0.225
ADA-USD-predict-ensamble-gakknn-MEJ.csv,2020-11-19T15:10:43.476234Z,13,0.673,0.582,0.539,0.433,0.104,0.129,0.487,0.274,0.295,0.267,0.212,0.045
ADA-USD-predict-ensamble-gakknn-MEK.csv,2020-11-19T17:38:14.553210Z,13,0.554,0.495,0.559,0.633,0.15,0.134,0.608,0.472,0.475,0.467,0.134,0.01
ADA-USD-predict-ensamble-gakknn-MEL.csv,2020-11-19T19:39:59.027525Z,13,0.706,0.571,0.573,0.533,0.145,0.04,0.521,0.46,0.523,0.433,0.12,0.142
ADA-USD-predict-ensamble-gakknn-MEM.csv,2020-11-19T20:38:43.370792Z,13,0.717,0.571,0.556,0.467,0.091,0.093,0.52,0.415,0.473,0.3,0.149,0.199
ADA-USD-predict-ensamble-gakknn-MEN.csv,2020-11-20T08:13:33.791979Z,12,0.668,0.559,0.573,0.5,0.144,0.076,0.57,0.426,0.456,0.267,0.154,0.196
ADA-USD-predict-ensamble-gakknn-MEO.csv,2020-11-20T09:30:49.250229Z,12,0.652,0.505,0.474,0.367,0.11,0.12,0.499,0.328,0.391,0.267,0.182,0.167
ADA-USD-predict-ensamble-gakknn-MEP.csv,2020-11-20T12:36:58.418006Z,12,0.674,0.527,0.508,0.467,0.124,0.053,0.487,0.349,0.423,0.233,0.152,0.229
ADA-USD-predict-ensamble-gakknn-MF.csv,2020-11-20T15:31:19.516094Z,12,0.669,0.538,0.474,0.4,0.15,0.134,0.594,0.404,0.422,0.167,0.164,0.257
ADA-USD-predict-ensamble-gakknn-MFA.csv,2020-11-20T17:01:15.060378Z,12,0.668,0.428,0.392,0.3,0.16,0.111,0.547,0.381,0.405,0.133,0.184,0.275
ADA-USD-predict-ensamble-gakknn-MFB.csv,2020-11-20T18:41:57.057527Z,12,0.713,0.517,0.409,0.367,0.139,0.192,0.635,0.514,0.454,0.133,0.093,0.337
ADA-USD-predict-ensamble-gakknn-MFC.csv,2020-11-20T21:23:36.665845Z,12,0.734,0.593,0.523,0.4,0.094,0.173,0.569,0.436,0.504,0.233,0.175,0.295
ADA-USD-predict-ensamble-gakknn-MFD.csv,2020-11-21T09:33:16.987359Z,11,0.718,0.539,0.442,0.4,0.154,0.173,0.608,0.492,0.521,0.3,0.121,0.227
ADA-USD-predict-ensamble-gakknn-MFE.csv,2020-11-21T18:16:41.876712Z,11,0.702,0.516,0.458,0.367,0.169,0.136,0.582,0.494,0.474,0.4,0.079,0.082
ADA-USD-predict-ensamble-gakknn-MFF.csv,2020-11-22T09:05:03.266088Z,10,0.718,0.482,0.424,0.267,0.169,0.187,0.564,0.372,0.375,0.233,0.133,0.141
ADA-USD-predict-ensamble-gakknn-MFG.csv,2020-11-22T11:38:31.382022Z,10,0.613,0.373,0.426,0.433,0.227,0.092,0.658,0.505,0.474,0.4,0.098,0.091
ADA-USD-predict-ensamble-gakknn-MFH.csv,2020-11-22T14:31:30.018745Z,10,0.695,0.472,0.459,0.433,0.164,0.035,0.63,0.493,0.473,0.333,0.09,0.144
ADA-USD-predict-ensamble-gakknn-MFI.csv,2020-11-22T17:11:15.189977Z,10,0.695,0.572,0.575,0.633,0.146,0.059,0.533,0.419,0.328,0.333,0.162,0.157
