PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AAPL-predict-ensamble-gakknn-UAC.csv,AAPL,2021-05-31T19:18:15.722590Z,0,0.527,0.598,0.54,0.643,0.116,0.144,0.145,0.57,0.571,0.5,0.5,0.128,0.124,0,0.524992257926765
AAPL-predict-ensamble-gakknn-PCB.csv,AAPL,"",0,0.492,0.527,0.553,0.706,0.053,0.159,0.216,0.417,0.502,0.515,0.529,0.137,0.027,0.021,0.521999534817909
AAPL-predict-ensamble-gakknn-UADBB.csv,AAPL,2021-05-31T19:18:15.759521Z,0,0.505,0.529,0.619,0.765,0.102,0.213,0.206,0.5,0.467,0.426,0.588,0.115,0.178,0.23,0.519638020647832
AAPL-predict-ensamble-gakknn-UADC.csv,AAPL,2021-05-31T19:18:15.775824Z,0,0.541,0.585,0.544,0.588,0.171,0.083,0.062,0.458,0.469,0.465,0.529,0.104,0.065,0.092,0.510578759800043
AAPL-predict-ensamble-gakknn-SAGA.csv,AAPL,"",0,0.516,0.603,0.619,0.588,0.062,0.041,0.044,0.537,0.509,0.431,0.412,0.119,0.137,0.027,0.503245677494499
AAPL-predict-ensamble-gakknn-VGJ.csv,AAPL,2021-06-17T16:35:12.958304Z,0,0.466,0.509,0.549,0.647,0.108,0.12,0.139,0.614,0.515,0.51,0.471,0.136,0.04,0.056,0.487630463046352
AAPL-predict-ensamble-gakknn-UADCC.csv,AAPL,2021-05-31T19:18:15.792422Z,0,0.572,0.537,0.519,0.588,0.071,0.075,0.098,0.506,0.524,0.549,0.647,0.11,0.107,0.139,0.475305693338193
AAPL-predict-ensamble-gakknn-VDIBCC.csv,AAPL,2021-06-17T16:35:12.812644Z,0,0.533,0.648,0.544,0.588,0.181,0.186,0.062,0.659,0.597,0.515,0.529,0.093,0.143,0.021,0.473280602456604
AAPL-predict-ensamble-gakknn-PA.csv,AAPL,"",0,0.491,0.697,0.712,0.824,0.104,0.115,0.158,0.555,0.58,0.632,0.765,0.049,0.16,0.187,0.467335407124816
AAPL-predict-ensamble-gakknn-PBB.csv,AAPL,"",0,0.509,0.5,0.535,0.471,0.089,0.089,0.092,0.491,0.519,0.565,0.529,0.069,0.086,0.05,0.460809807365575
AAPL-predict-ensamble-gakknn-SAC.csv,AAPL,2021-05-25T15:21:17.032243Z,0,0.495,0.529,0.619,0.588,0.142,0.158,0.044,0.574,0.516,0.549,0.647,0.088,0.114,0.139,0.457469043050959
AAPL-predict-ensamble-gakknn-PABE.csv,AAPL,"",0,0.488,0.493,0.525,0.5,0.084,0.061,0.035,0.45,0.494,0.575,0.5,0.103,0.158,0.106,0.457097119924989
AAPL-predict-ensamble-gakknn-SBA.csv,AAPL,"",0,0.559,0.51,0.503,0.706,0.096,0.203,0.287,0.516,0.559,0.624,0.647,0.066,0.115,0.033,0.446124856304981
AAPL-predict-ensamble-gakknn-VDIBCE.csv,AAPL,2021-06-17T16:35:12.825689Z,0,0.564,0.747,0.787,0.824,0.097,0.078,0.052,0.72,0.659,0.607,0.765,0.1,0.181,0.223,0.444401478290903
AAPL-predict-ensamble-gakknn-VEE.csv,AAPL,2021-06-08T19:56:46.837612Z,0,0.421,0.524,0.524,0.647,0.097,0.124,0.175,0.567,0.431,0.385,0.471,0.089,0.117,0.121,0.436836855481386
AAPL-predict-ensamble-gakknn-VACB.csv,AAPL,2021-05-31T19:18:15.808110Z,0,0.493,0.571,0.524,0.647,0.126,0.149,0.175,0.693,0.553,0.544,0.588,0.137,0.047,0.062,0.435565766263529
AAPL-predict-ensamble-gakknn-VACGBFA.csv,AAPL,2021-05-31T19:18:15.839459Z,0,0.528,0.537,0.544,0.588,0.091,0.046,0.062,0.688,0.542,0.456,0.412,0.163,0.156,0.062,0.431046250180036
AAPL-predict-ensamble-gakknn-SAF.csv,AAPL,2021-06-01T16:32:47.334247Z,0,0.471,0.543,0.624,0.647,0.143,0.142,0.033,0.56,0.441,0.376,0.353,0.114,0.115,0.033,0.430213096209769
AAPL-predict-ensamble-gakknn-VDIDB.csv,AAPL,"",0,0.569,0.65,0.666,0.882,0.107,0.218,0.306,0.652,0.658,0.678,0.706,0.106,0.044,0.04,0.425255754580829
AAPL-predict-ensamble-gakknn-PABB.csv,AAPL,"",0,0.446,0.445,0.525,0.5,0.102,0.14,0.035,0.445,0.512,0.625,0.5,0.096,0.232,0.177,0.41947522514637
AAPL-predict-ensamble-gakknn-SAE.csv,AAPL,2021-05-28T15:29:56.421334Z,0,0.462,0.501,0.56,0.471,0.152,0.137,0.127,0.474,0.419,0.39,0.529,0.111,0.148,0.198,0.416530935211326
AAPL-predict-ensamble-gakknn-VDIDE.csv,AAPL,"",0,0.516,0.54,0.549,0.647,0.051,0.1,0.139,0.709,0.586,0.569,0.588,0.091,0.035,0.027,0.416341196823242
AAPL-predict-ensamble-gakknn-UADAB.csv,AAPL,2021-05-31T19:18:15.736983Z,0,0.494,0.525,0.574,0.647,0.089,0.111,0.104,0.472,0.546,0.653,0.706,0.107,0.192,0.075,0.414199470431485
AAPL-predict-ensamble-gakknn-UADBD.csv,AAPL,2021-05-31T19:18:15.770005Z,0,0.471,0.472,0.565,0.529,0.167,0.165,0.05,0.546,0.475,0.426,0.353,0.161,0.111,0.104,0.414122192893143
AAPL-predict-ensamble-gakknn-VACGG.csv,AAPL,2021-06-08T19:56:46.774715Z,0,0.518,0.534,0.515,0.529,0.099,0.036,0.021,0.68,0.611,0.535,0.471,0.144,0.146,0.092,0.413674200931964
AAPL-predict-ensamble-gakknn-UADB.csv,AAPL,2021-05-31T19:18:15.748895Z,0,0.51,0.436,0.416,0.412,0.132,0.033,0.007,0.519,0.56,0.498,0.471,0.158,0.111,0.039,0.409931819470792
AAPL-predict-ensamble-gakknn-VBB.csv,AAPL,2021-06-08T19:56:46.794408Z,0,0.523,0.47,0.515,0.529,0.135,0.079,0.021,0.634,0.553,0.544,0.588,0.072,0.047,0.062,0.406129815063102
AAPL-predict-ensamble-gakknn-VACGBFCA.csv,AAPL,2021-05-31T19:18:15.852289Z,0,0.524,0.555,0.594,0.588,0.072,0.068,0.008,0.747,0.632,0.615,0.529,0.072,0.09,0.121,0.405255296159409
AAPL-predict-ensamble-gakknn-VACGBFCJ.csv,AAPL,2021-05-31T19:18:15.900369Z,0,0.492,0.587,0.619,0.588,0.072,0.063,0.044,0.698,0.665,0.64,0.529,0.152,0.118,0.156,0.403719087322838
AAPL-predict-ensamble-gakknn-SAB.csv,AAPL,2021-05-24T18:00:46.369237Z,0,0.513,0.529,0.46,0.471,0.123,0.12,0.015,0.6,0.555,0.499,0.647,0.204,0.177,0.21,0.401669346123572
AAPL-predict-ensamble-gakknn-PB.csv,AAPL,"",0,0.502,0.5,0.465,0.529,0.13,0.089,0.092,0.572,0.555,0.594,0.588,0.082,0.068,0.008,0.399795527674897
AAPL-predict-ensamble-gakknn-VDIBCA.csv,AAPL,2021-06-17T16:35:12.799177Z,0,0.454,0.586,0.569,0.588,0.156,0.035,0.027,0.729,0.663,0.59,0.529,0.156,0.141,0.085,0.399035493075154
AAPL-predict-ensamble-gakknn-UADBC.csv,AAPL,2021-05-31T19:18:15.764571Z,0,0.515,0.45,0.39,0.529,0.062,0.175,0.198,0.602,0.594,0.51,0.471,0.121,0.151,0.056,0.398140526303118
AAPL-predict-ensamble-gakknn-SAA.csv,AAPL,2021-05-23T17:34:02.599338Z,0,0.422,0.418,0.46,0.471,0.124,0.074,0.015,0.566,0.499,0.44,0.529,0.147,0.137,0.127,0.395908260083978
AAPL-predict-ensamble-gakknn-VEC.csv,AAPL,2021-06-08T19:56:46.829029Z,0,0.458,0.544,0.531,0.412,0.07,0.121,0.168,0.718,0.594,0.51,0.471,0.125,0.151,0.056,0.390616816056879
AAPL-predict-ensamble-gakknn-VFF.csv,AAPL,2021-06-17T16:35:12.861987Z,0,0.488,0.509,0.549,0.647,0.077,0.12,0.139,0.679,0.619,0.619,0.588,0.057,0.031,0.044,0.388803861939592
AAPL-predict-ensamble-gakknn-VACGBFCL.csv,AAPL,2021-05-31T19:18:15.910204Z,0,0.492,0.537,0.519,0.588,0.146,0.075,0.098,0.745,0.578,0.581,0.412,0.098,0.169,0.239,0.38775629728734
AAPL-predict-ensamble-gakknn-UAA.csv,AAPL,2021-05-31T19:18:15.713996Z,0,0.408,0.554,0.569,0.588,0.121,0.032,0.027,0.546,0.607,0.649,0.647,0.113,0.072,0.002,0.38241310137052
AAPL-predict-ensamble-gakknn-SAD.csv,AAPL,2021-05-26T15:47:46.880183Z,0,0.528,0.508,0.476,0.353,0.077,0.135,0.175,0.602,0.493,0.406,0.412,0.115,0.151,0.008,0.382411741735562
AAPL-predict-ensamble-gakknn-PCA.csv,AAPL,"",0,0.463,0.542,0.528,0.706,0.099,0.18,0.252,0.514,0.72,0.699,0.647,0.156,0.063,0.073,0.379187078644386
AAPL-predict-ensamble-gakknn-UADBA.csv,AAPL,2021-05-31T19:18:15.754478Z,0,0.479,0.512,0.506,0.412,0.161,0.095,0.133,0.605,0.522,0.426,0.353,0.128,0.182,0.104,0.379033848658763
AAPL-predict-ensamble-gakknn-PABF.csv,AAPL,"",0,0.421,0.469,0.49,0.529,0.063,0.053,0.056,0.519,0.557,0.669,0.588,0.101,0.21,0.114,0.378124989387313
AAPL-predict-ensamble-gakknn-VACGE.csv,AAPL,2021-06-08T19:56:46.766237Z,0,0.5,0.534,0.54,0.529,0.173,0.014,0.015,0.731,0.645,0.61,0.471,0.082,0.152,0.198,0.376034314511196
AAPL-predict-ensamble-gakknn-VACGB.csv,AAPL,2021-06-08T19:56:46.749046Z,0,0.51,0.544,0.531,0.412,0.136,0.121,0.168,0.725,0.588,0.501,0.353,0.089,0.211,0.21,0.375565521461651
