PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,PVal6m,PVal3m,PVal2m,PVal1m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AAPL-predict-ensamble-gakknn-PA.csv,AAPL,2021-06-24T20:10:11.609843Z,12,0.508,0.695,0.709,0.818,0.113,0.112,0.154,0.666,0.21,0.247,0.243,0.547,0.568,0.614,0.727,0.054,0.139,0.161,0.594651625906539
AAPL-predict-ensamble-gakknn-NAABA.csv,AAPL,2021-06-29T16:23:23.441817Z,7,0.555,0.562,0.51,0.619,0.106,0.142,0.155,0.688,0.83,0.797,0.595,0.494,0.56,0.46,0.619,0.173,0.236,0.226,0.551513081984597
AAPL-predict-ensamble-gakknn-SAF.csv,AAPL,2021-06-24T20:06:04.327640Z,12,0.488,0.539,0.618,0.636,0.152,0.138,0.026,0.787,0.611,0.429,0.262,0.518,0.475,0.427,0.455,0.12,0.088,0.039,0.540532684861192
AAPL-predict-ensamble-gakknn-UADBB.csv,AAPL,2021-06-24T20:06:04.391318Z,12,0.476,0.502,0.578,0.682,0.074,0.168,0.147,0.853,0.681,0.532,0.067,0.478,0.438,0.382,0.5,0.148,0.153,0.167,0.524140119608195
AAPL-predict-ensamble-gakknn-UADAB.csv,AAPL,2021-06-24T20:06:04.368871Z,12,0.485,0.506,0.545,0.591,0.085,0.081,0.064,0.796,0.913,0.873,0.873,0.505,0.538,0.641,0.682,0.111,0.182,0.058,0.523852852762991
AAPL-predict-ensamble-gakknn-VEE.csv,AAPL,2021-06-24T20:06:04.757098Z,12,0.437,0.52,0.518,0.636,0.079,0.118,0.167,0.877,0.616,0.63,0.262,0.508,0.426,0.377,0.455,0.129,0.115,0.109,0.515283985985635
AAPL-predict-ensamble-gakknn-UAC.csv,AAPL,2021-06-24T20:06:04.352487Z,12,0.525,0.613,0.562,0.688,0.118,0.153,0.177,0.774,0.495,0.439,0.105,0.553,0.571,0.5,0.5,0.13,0.124,0,0.511315805473771
AAPL-predict-ensamble-gakknn-SBA.csv,AAPL,2021-06-24T07:15:02.285900Z,12,0.526,0.517,0.514,0.727,0.144,0.214,0.302,0.646,0.668,0.628,0.257,0.541,0.555,0.618,0.636,0.064,0.111,0.026,0.506155452637931
AAPL-predict-ensamble-gakknn-UADCC.csv,AAPL,2021-06-24T20:06:04.425920Z,12,0.564,0.507,0.475,0.5,0.083,0.061,0.035,0.627,0.623,0.727,0.584,0.506,0.475,0.475,0.5,0.11,0.025,0.035,0.502402389020697
AAPL-predict-ensamble-gakknn-UADBD.csv,AAPL,2021-06-24T20:06:04.401881Z,12,0.521,0.477,0.573,0.545,0.15,0.168,0.039,0.769,0.705,0.559,0.865,0.521,0.478,0.432,0.364,0.153,0.106,0.096,0.497025242383403
