PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AAPL-predict-ensamble-gakknn-SAD.csv,AAPL,2021-05-31T18:53:10.701337Z,0,0.528,0.593,0.586,0.6,0.077,0.019,0.02,0.602,0.486,0.533,0.4,0.115,0.157,0.189,0.486429220173725
AAPL-predict-ensamble-gakknn-UADCC.csv,AAPL,2021-05-31T19:18:15.792422Z,0,0.572,0.514,0.511,0.45,0.071,0.061,0.086,0.506,0.468,0.463,0.45,0.11,0.016,0.019,0.469109436506989
AAPL-predict-ensamble-gakknn-SAC.csv,AAPL,2021-05-31T18:53:10.699897Z,0,0.495,0.464,0.5,0.65,0.142,0.163,0.212,0.574,0.503,0.45,0.45,0.088,0.092,0,0.4632079230694
AAPL-predict-ensamble-gakknn-UADBA.csv,AAPL,2021-05-31T19:18:15.754478Z,0,0.479,0.505,0.562,0.6,0.161,0.106,0.054,0.605,0.55,0.607,0.5,0.128,0.146,0.152,0.451383527949345
AAPL-predict-ensamble-gakknn-UADBD.csv,AAPL,2021-05-31T19:18:15.770005Z,0,0.471,0.469,0.443,0.6,0.167,0.164,0.222,0.546,0.575,0.536,0.5,0.161,0.076,0.051,0.446871072700707
AAPL-predict-ensamble-gakknn-UADC.csv,AAPL,2021-05-31T19:18:15.775824Z,0,0.541,0.49,0.583,0.5,0.171,0.181,0.118,0.458,0.437,0.438,0.4,0.104,0.038,0.054,0.437129522579187
AAPL-predict-ensamble-gakknn-UADAB.csv,AAPL,2021-05-31T19:18:15.736983Z,0,0.494,0.483,0.464,0.5,0.089,0.049,0.051,0.472,0.529,0.467,0.6,0.107,0.171,0.189,0.42365534406156
AAPL-predict-ensamble-gakknn-UAC.csv,AAPL,2021-05-31T19:18:15.722590Z,0,0.527,0.551,0.576,0.438,0.116,0.145,0.196,0.57,0.617,0.607,0.5,0.128,0.108,0.152,0.422037007476689
AAPL-predict-ensamble-gakknn-SAB.csv,AAPL,2021-05-31T18:53:10.698467Z,0,0.513,0.517,0.558,0.45,0.123,0.13,0.153,0.6,0.44,0.508,0.35,0.204,0.197,0.224,0.415052353932051
AAPL-predict-ensamble-gakknn-UADCB.csv,AAPL,2021-05-31T19:18:15.786581Z,0,0.523,0.494,0.393,0.5,0.167,0.205,0.152,0.421,0.509,0.438,0.4,0.133,0.129,0.054,0.400248810369248
AAPL-predict-ensamble-gakknn-UADAC.csv,AAPL,2021-05-31T19:18:15.743794Z,0,0.428,0.475,0.538,0.6,0.056,0.126,0.088,0.589,0.475,0.343,0.4,0.163,0.236,0.081,0.392660333373447
AAPL-predict-ensamble-gakknn-UAA.csv,AAPL,2021-05-31T19:18:15.713996Z,0,0.408,0.503,0.537,0.55,0.121,0.06,0.019,0.546,0.551,0.587,0.65,0.113,0.089,0.089,0.392378750199779
AAPL-predict-ensamble-gakknn-VACGBFB.csv,AAPL,2021-05-31T19:18:15.843544Z,0,0.541,0.609,0.631,0.5,0.165,0.136,0.185,0.727,0.651,0.586,0.6,0.109,0.115,0.02,0.390138990945815
AAPL-predict-ensamble-gakknn-VACE.csv,AAPL,2021-05-31T19:18:15.822018Z,0,0.44,0.565,0.587,0.65,0.1,0.073,0.089,0.716,0.697,0.632,0.55,0.062,0.139,0.116,0.385076173492258
AAPL-predict-ensamble-gakknn-SAE.csv,AAPL,2021-05-31T18:53:10.702738Z,0,0.462,0.547,0.515,0.65,0.152,0.145,0.19,0.474,0.401,0.363,0.25,0.111,0.131,0.16,0.380755229654729
AAPL-predict-ensamble-gakknn-UADB.csv,AAPL,2021-05-31T19:18:15.748895Z,0,0.51,0.429,0.447,0.421,0.132,0.042,0.037,0.519,0.606,0.605,0.526,0.158,0.079,0.112,0.380048820933431
AAPL-predict-ensamble-gakknn-VACB.csv,AAPL,2021-05-31T19:18:15.808110Z,0,0.493,0.507,0.533,0.4,0.126,0.141,0.189,0.693,0.645,0.536,0.5,0.137,0.193,0.051,0.376861056506291
AAPL-predict-ensamble-gakknn-UAB.csv,AAPL,2021-05-31T19:18:15.718219Z,0,0.425,0.5,0.5,0.5,0.12,0,0,0.62,0.512,0.45,0.3,0.061,0.185,0.212,0.376550192346681
AAPL-predict-ensamble-gakknn-UADBB.csv,AAPL,2021-05-31T19:18:15.759521Z,0,0.505,0.434,0.412,0.474,0.102,0.073,0.087,0.5,0.503,0.407,0.263,0.115,0.22,0.203,0.375266149898729
AAPL-predict-ensamble-gakknn-VACGBFCI.csv,AAPL,2021-05-31T19:18:15.895589Z,0,0.524,0.583,0.636,0.7,0.11,0.111,0.091,0.783,0.715,0.681,0.6,0.088,0.1,0.114,0.371295835616366
AAPL-predict-ensamble-gakknn-VACGBFA.csv,AAPL,2021-05-31T19:18:15.839459Z,0,0.528,0.53,0.512,0.5,0.091,0.033,0.017,0.688,0.724,0.607,0.5,0.163,0.228,0.152,0.370338258599165
AAPL-predict-ensamble-gakknn-VACC.csv,AAPL,2021-05-31T19:18:15.811871Z,0,0.481,0.562,0.561,0.55,0.091,0.011,0.015,0.726,0.636,0.563,0.65,0.133,0.154,0.123,0.368264672800823
AAPL-predict-ensamble-gakknn-UADCA.csv,AAPL,2021-05-31T19:18:15.781058Z,0,0.524,0.533,0.538,0.6,0.042,0.063,0.088,0.611,0.417,0.386,0.2,0.098,0.193,0.263,0.36599377776225
AAPL-predict-ensamble-gakknn-VAA.csv,AAPL,2021-05-31T19:18:15.796656Z,0,0.516,0.537,0.61,0.6,0.094,0.126,0.013,0.744,0.731,0.705,0.6,0.125,0.114,0.148,0.338831922070631
AAPL-predict-ensamble-gakknn-SAA.csv,AAPL,2021-05-31T18:53:10.697188Z,0,0.422,0.348,0.392,0.45,0.124,0.095,0.082,0.566,0.453,0.485,0.35,0.147,0.145,0.19,0.330583904974679
AAPL-predict-ensamble-gakknn-VACF.csv,AAPL,2021-05-31T19:18:15.826333Z,0,0.494,0.505,0.583,0.5,0.105,0.159,0.118,0.753,0.698,0.633,0.6,0.129,0.116,0.047,0.330332919962608
AAPL-predict-ensamble-gakknn-UAD.csv,AAPL,2021-05-31T19:18:15.726594Z,0,0.51,0.437,0.417,0.333,0.037,0.091,0.118,0.619,0.577,0.561,0.4,0.186,0.163,0.228,0.328278433004635
AAPL-predict-ensamble-gakknn-VACGBFCA.csv,AAPL,2021-05-31T19:18:15.852289Z,0,0.524,0.533,0.538,0.6,0.072,0.063,0.088,0.747,0.731,0.683,0.7,0.072,0.084,0.024,0.307034493481084
AAPL-predict-ensamble-gakknn-SA.csv,AAPL,2021-05-31T18:53:10.695742Z,0,0.451,0.375,0.388,0.3,0.099,0.091,0.125,0.551,0.579,0.586,0.6,0.109,0.019,0.02,0.303829926460391
AAPL-predict-ensamble-gakknn-UADAA.csv,AAPL,2021-05-31T19:18:15.731706Z,0,0.592,0.588,0.556,0.35,0.177,0.213,0.291,0.633,0.65,0.758,0.85,0.165,0.208,0.13,0.303796252517195
AAPL-predict-ensamble-gakknn-VACGBFC.csv,AAPL,2021-05-31T19:18:15.847903Z,0,0.521,0.55,0.586,0.6,0.095,0.064,0.02,0.747,0.748,0.731,0.7,0.092,0.043,0.044,0.303250066769251
AAPL-predict-ensamble-gakknn-UADBC.csv,AAPL,2021-05-31T19:18:15.764571Z,0,0.515,0.433,0.411,0.25,0.062,0.165,0.227,0.602,0.582,0.656,0.55,0.121,0.166,0.15,0.302165890782499
AAPL-predict-ensamble-gakknn-VACGBFCJ.csv,AAPL,2021-05-31T19:18:15.900369Z,0,0.492,0.565,0.587,0.65,0.072,0.073,0.089,0.698,0.792,0.732,0.75,0.152,0.106,0.025,0.29870920691461
