PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-ensamble-gakknn-MA.csv,2020-11-14T11:53:04.100240Z,0.722,0.496,0.6,0.164,0.107,0.656,0.494,0.3,0.101,0.184
ADA-USD-predict-ensamble-gakknn-MAA.csv,2020-11-14T20:13:04.011777Z,0.693,0.539,0.7,0.155,0.139,0.618,0.552,0.7,0.146,0.201
ADA-USD-predict-ensamble-gakknn-MAB.csv,2020-11-14T21:17:43.114693Z,0.71,0.572,0.6,0.109,0.026,0.59,0.392,0.3,0.225,0.252
ADA-USD-predict-ensamble-gakknn-MAC.csv,2020-11-14T22:07:31.440084Z,0.721,0.638,0.7,0.08,0.06,0.591,0.615,0.8,0.156,0.202
ADA-USD-predict-ensamble-gakknn-MAD.csv,2020-11-15T09:49:16.923970Z,0.684,0.534,0.55,0.117,0.044,0.65,0.479,0.55,0.14,0.066
ADA-USD-predict-ensamble-gakknn-MAE.csv,2020-11-15T12:09:24.288078Z,0.474,0.544,0.462,0.154,0.073,0.137,0.048,0,0.168,0.082
ADA-USD-predict-ensamble-gakknn-MAF.csv,2020-11-15T13:18:08.666428Z,0.655,0.479,0.45,0.13,0.078,0.534,0.266,0.05,0.221,0.256
ADA-USD-predict-ensamble-gakknn-MAG.csv,2020-11-15T14:16:49.214718Z,0.639,0.516,0.6,0.139,0.083,0.627,0.417,0.4,0.134,0.03
ADA-USD-predict-ensamble-gakknn-MAH.csv,2020-11-15T15:20:13.083997Z,0.704,0.456,0.45,0.14,0.026,0.607,0.314,0.25,0.178,0.133
ADA-USD-predict-ensamble-gakknn-MB.csv,2020-11-15T17:49:46.196444Z,0.753,0.451,0.5,0.155,0.058,0.6,0.559,0.6,0.137,0.175
ADA-USD-predict-ensamble-gakknn-MBA.csv,2020-11-15T19:21:20.886895Z,0.671,0.489,0.55,0.165,0.059,0.595,0.347,0.35,0.148,0.055
ADA-USD-predict-ensamble-gakknn-MBB.csv,2020-11-15T20:04:16.103817Z,0.683,0.567,0.7,0.159,0.133,0.696,0.633,0.5,0.16,0.12
ADA-USD-predict-ensamble-gakknn-MBC.csv,2020-11-15T21:10:55.466790Z,0.727,0.523,0.55,0.12,0.093,0.618,0.422,0.35,0.197,0.068
ADA-USD-predict-ensamble-gakknn-MBD.csv,2020-11-15T22:32:03.411255Z,0.721,0.57,0.5,0.109,0.094,0.535,0.22,0.2,0.178,0.017
ADA-USD-predict-ensamble-gakknn-MBE.csv,2020-11-16T09:16:52.033422Z,0.726,0.478,0.55,0.169,0.063,0.606,0.335,0.35,0.214,0.062
ADA-USD-predict-ensamble-gakknn-MC.csv,2020-11-16T11:34:14.017377Z,0.776,0.502,0.65,0.143,0.166,0.568,0.436,0.75,0.182,0.273
ADA-USD-predict-ensamble-gakknn-MCA.csv,2020-11-16T12:38:10.852368Z,0.677,0.488,0.45,0.152,0.053,0.601,0.412,0.45,0.163,0.042
ADA-USD-predict-ensamble-gakknn-MCB.csv,2020-11-16T14:11:45.739114Z,0.512,0.522,0.167,0.295,0.367,0.167,0,0,0.408,0
ADA-USD-predict-ensamble-gakknn-MCC.csv,2020-11-16T15:55:35.176212Z,0.726,0.505,0.4,0.117,0.1,0.595,0.329,0.1,0.119,0.206
ADA-USD-predict-ensamble-gakknn-MCD.csv,2020-11-16T16:46:44.781874Z,0.754,0.512,0.55,0.158,0.053,0.613,0.458,0.55,0.126,0.174
ADA-USD-predict-ensamble-gakknn-MCE.csv,2020-11-16T18:38:02.984080Z,0.599,0.544,0.4,0.109,0.13,0.585,0.415,0.1,0.237,0.295
ADA-USD-predict-ensamble-gakknn-MCF.csv,2020-11-16T17:54:25.576506Z,0.727,0.494,0.6,0.229,0.118,0.551,0.339,0.3,0.182,0.099
ADA-USD-predict-ensamble-gakknn-MD.csv,2020-11-16T20:07:19.280718Z,0.687,0.416,0.4,0.214,0.125,0.699,0.385,0.4,0.159,0.026
ADA-USD-predict-ensamble-gakknn-MDA.csv,2020-11-16T21:57:50.186725Z,0.721,0.457,0.65,0.204,0.167,0.601,0.488,0.65,0.181,0.199
ADA-USD-predict-ensamble-gakknn-MDB.csv,2020-11-17T08:06:35.732662Z,0.769,0.57,0.3,0.052,0.236,0.69,0.34,0.1,0.113,0.212
ADA-USD-predict-ensamble-gakknn-MDC.csv,2020-11-17T09:17:27.574882Z,0.803,0.495,0.4,0.122,0.123,0.584,0.342,0.5,0.177,0.137
ADA-USD-predict-ensamble-gakknn-MDD.csv,2020-11-17T12:12:39.428881Z,0.72,0.504,0.4,0.151,0.107,0.561,0.263,0.3,0.227,0.055
ADA-USD-predict-ensamble-gakknn-MDE.csv,2020-11-17T13:14:11.078253Z,0.711,0.521,0.35,0.125,0.153,0.557,0.203,0.15,0.19,0.059
ADA-USD-predict-ensamble-gakknn-ME.csv,2020-11-17T14:15:41.240847Z,0.645,0.445,0.45,0.102,0.024,0.492,0.465,0.35,0.087,0.134
ADA-USD-predict-ensamble-gakknn-MEA.csv,2020-11-17T15:26:35.164070Z,0.658,0.49,0.35,0.16,0.124,0.488,0.378,0.35,0.175,0.094
ADA-USD-predict-ensamble-gakknn-MEB.csv,2020-11-17T16:21:12.884942Z,0.727,0.549,0.5,0.107,0.05,0.628,0.547,0.4,0.15,0.176
