PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
ADA-USD-predict-ensamble-gakknn-MA.csv,ADA-USD,2020-11-13T20:06:20.481356Z,51,0.596,0.501,0.558,0.516,0.158,0.107,0.059,0.573,0.509,0.506,0.645,0.131,0.139,0.197,0.491990409297592
ADA-USD-predict-ensamble-gakknn-MAA.csv,ADA-USD,2020-11-14T19:40:50.693138Z,50,0.612,0.577,0.64,0.581,0.137,0.124,0.084,0.525,0.48,0.558,0.516,0.15,0.142,0.059,0.548170432279225
ADA-USD-predict-ensamble-gakknn-MAAA.csv,ADA-USD,2020-12-28T11:26:44.130402Z,6,0.666,0.587,0.542,0.452,0.061,0.12,0.128,0.492,0.51,0.556,0.645,0.121,0.119,0.126,0.445982812220381
ADA-USD-predict-ensamble-gakknn-MAAB.csv,ADA-USD,2020-12-28T12:18:25.278289Z,6,0.683,0.587,0.559,0.484,0.063,0.09,0.106,0.498,0.489,0.637,0.806,0.189,0.307,0.24,0.476672555481102
ADA-USD-predict-ensamble-gakknn-MAABA.csv,ADA-USD,2020-12-28T14:09:20.607873Z,6,0.64,0.533,0.541,0.516,0.136,0.029,0.036,0.519,0.478,0.556,0.645,0.144,0.162,0.126,0.50991503032541
ADA-USD-predict-ensamble-gakknn-MAABB.csv,ADA-USD,2020-12-28T15:59:48.051619Z,6,0.584,0.49,0.509,0.484,0.167,0.041,0.035,0.539,0.499,0.458,0.548,0.137,0.115,0.128,0.47574607931222
ADA-USD-predict-ensamble-gakknn-MAABBA.csv,ADA-USD,2020-12-29T17:45:31.341569Z,5,0.618,0.447,0.509,0.452,0.174,0.122,0.081,0.575,0.609,0.687,0.774,0.093,0.161,0.123,0.430372219940055
ADA-USD-predict-ensamble-gakknn-MAABBAA.csv,ADA-USD,2020-12-29T17:46:22.328375Z,5,0.59,0.445,0.393,0.419,0.156,0.093,0.037,0.459,0.414,0.443,0.419,0.097,0.056,0.033,0.393401041441727
ADA-USD-predict-ensamble-gakknn-MAABBAAA.csv,ADA-USD,2020-12-29T18:56:58.840146Z,5,0.568,0.501,0.526,0.452,0.138,0.086,0.105,0.591,0.534,0.51,0.387,0.044,0.13,0.174,0.440394154811041
ADA-USD-predict-ensamble-gakknn-MAABBAAB.csv,ADA-USD,2020-12-29T19:40:58.269732Z,5,0.671,0.587,0.574,0.581,0.146,0.024,0.01,0.475,0.381,0.361,0.323,0.075,0.051,0.055,0.571364448074936
ADA-USD-predict-ensamble-gakknn-MAABBAABA.csv,ADA-USD,2020-12-30T09:49:30.591438Z,4,0.563,0.479,0.509,0.484,0.121,0.057,0.035,0.584,0.532,0.523,0.613,0.185,0.091,0.127,0.471840922750164
ADA-USD-predict-ensamble-gakknn-MAABBAABAA.csv,ADA-USD,2020-12-30T11:15:04.897024Z,4,0.612,0.49,0.509,0.452,0.136,0.066,0.081,0.579,0.566,0.656,0.645,0.136,0.156,0.015,0.443059969386835
ADA-USD-predict-ensamble-gakknn-MAABBAABAB.csv,ADA-USD,2020-12-30T11:59:31.729502Z,4,0.579,0.532,0.54,0.581,0.139,0.043,0.057,0.58,0.545,0.527,0.387,0.053,0.143,0.198,0.533116422231876
ADA-USD-predict-ensamble-gakknn-MAABBAAC.csv,ADA-USD,2020-12-30T13:51:25.977049Z,4,0.64,0.523,0.559,0.484,0.15,0.097,0.106,0.464,0.447,0.509,0.484,0.149,0.11,0.035,0.466761314611354
