PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,PVal6m,PVal3m,PVal2m,PVal1m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AAPL-predict-ensamble-gakknn-PA.csv,AAPL,2021-07-06T18:28:59.788146Z,28,0.576,0.695,0.742,0.667,0.157,0.112,0.107,0.545,0.304,0.33,0.418,0.57,0.615,0.673,0.619,0.092,0.114,0.077,0.305305
AAPL-predict-ensamble-gakknn-MEE.csv,AAPL,2021-08-02T22:39:27.716020Z,1,0.594,0.639,0.583,0.667,0.161,0.127,0.118,0.502,0.414,0.499,0.137,0.506,0.488,0.557,0.524,0.107,0.124,0.047,0.301456
AAPL-predict-ensamble-gakknn-MEM.csv,AAPL,2021-08-02T22:39:27.744658Z,1,0.574,0.589,0.558,0.571,0.07,0.054,0.018,0.584,0.511,0.64,0.415,0.578,0.57,0.58,0.524,0.073,0.059,0.08,0.238645333333333
AAPL-predict-ensamble-gakknn-SBA.csv,AAPL,2021-07-06T18:28:59.910015Z,28,0.548,0.517,0.626,0.524,0.165,0.214,0.144,0.591,0.614,0.422,0.587,0.549,0.571,0.556,0.476,0.073,0.084,0.113,0.230539666666667
AAPL-predict-ensamble-gakknn-MEA.csv,AAPL,2021-08-02T22:39:27.704073Z,1,0.575,0.547,0.678,0.619,0.199,0.234,0.083,0.65,0.802,0.707,0.999,0.604,0.657,0.771,0.857,0.123,0.216,0.122,0.21
AAPL-predict-ensamble-gakknn-NAABCAABB.csv,AAPL,2021-07-07T16:29:55.003996Z,27,0.55,0.553,0.555,0.429,0.132,0.127,0.179,0.623,0.646,0.53,0.993,0.456,0.506,0.583,0.667,0.125,0.158,0.118,0.208355333333333
AAPL-predict-ensamble-gakknn-MFD.csv,AAPL,2021-08-02T22:39:27.770600Z,1,0.564,0.605,0.607,0.714,0.152,0.107,0.152,0.649,0.549,0.698,0.419,0.462,0.616,0.674,0.667,0.143,0.101,0.011,0.207792
AAPL-predict-ensamble-gakknn-UAC.csv,AAPL,2021-07-06T18:28:59.935576Z,28,0.568,0.542,0.594,0.5,0.123,0.13,0.133,0.636,0.543,0.428,0.751,0.541,0.483,0.475,0.45,0.131,0.029,0.035,0.206752
AAPL-predict-ensamble-gakknn-VDIDB.csv,AAPL,2021-07-06T18:29:00.331001Z,28,0.581,0.581,0.647,0.476,0.158,0.205,0.242,0.66,0.659,0.498,0.94,0.63,0.635,0.628,0.619,0.068,0.016,0.012,0.20502
AAPL-predict-ensamble-gakknn-UADBA.csv,AAPL,2021-07-06T18:28:59.964332Z,28,0.538,0.589,0.583,0.667,0.119,0.084,0.118,0.643,0.418,0.501,0.418,0.56,0.54,0.56,0.619,0.102,0.069,0.084,0.20349
AAPL-predict-ensamble-gakknn-VDIBCB.csv,AAPL,2021-07-06T18:29:00.269718Z,28,0.603,0.487,0.58,0.524,0.214,0.171,0.08,0.638,0.942,0.913,0.944,0.683,0.665,0.697,0.667,0.13,0.064,0.043,0.201513333333333
AAPL-predict-ensamble-kknn-MAABBAABCACCCLA.csv,AAPL,2021-07-07T16:29:55.132372Z,27,0.573,0.542,0.438,0.286,0.156,0.236,0.216,0.613,0.611,0.794,0.998,0.535,0.496,0.419,0.429,0.123,0.134,0.014,0.200337
AAPL-predict-ensamble-kknn-MAABBAABCACCC.csv,AAPL,2021-08-02T22:39:08.432994Z,1,0.571,0.46,0.416,0.286,0.09,0.151,0.184,0.605,0.726,0.793,1,0.532,0.508,0.537,0.619,0.146,0.096,0.116,0.190521666666667
AAPL-predict-ensamble-gakknn-VDIBCC.csv,AAPL,2021-07-06T18:29:00.274268Z,28,0.557,0.538,0.556,0.476,0.174,0.086,0.113,0.654,0.726,0.795,0.994,0.609,0.617,0.675,0.714,0.096,0.108,0.055,0.190415333333333
AAPL-predict-ensamble-gakknn-UADCC.csv,AAPL,2021-07-06T18:29:00.000083Z,28,0.534,0.475,0.488,0.476,0.062,0.025,0.017,0.624,0.732,0.664,0.744,0.475,0.491,0.512,0.524,0.068,0.038,0.017,0.187624
AAPL-predict-ensamble-gakknn-MEL.csv,AAPL,2021-08-02T22:39:27.741529Z,1,0.57,0.623,0.535,0.524,0.136,0.154,0.015,0.677,0.617,0.806,0.747,0.536,0.503,0.604,0.571,0.157,0.178,0.046,0.186048
AAPL-predict-ensamble-gakknn-VDIBCE.csv,AAPL,2021-07-06T18:29:00.284925Z,28,0.604,0.699,0.673,0.619,0.134,0.07,0.077,0.72,0.474,0.684,0.76,0.687,0.615,0.697,0.667,0.141,0.146,0.043,0.184426666666667
AAPL-predict-ensamble-kknn-MAABBAABCACCCLB.csv,AAPL,2021-07-07T16:29:55.135749Z,27,0.564,0.429,0.368,0.19,0.057,0.206,0.251,0.598,0.726,0.793,1,0.539,0.476,0.489,0.524,0.136,0.041,0.049,0.182374
AAPL-predict-ensamble-gakknn-NAABCAABC.csv,AAPL,2021-07-07T16:29:55.015775Z,27,0.522,0.603,0.604,0.571,0.133,0.033,0.046,0.684,0.483,0.427,0.591,0.494,0.458,0.487,0.429,0.108,0.077,0.083,0.182121333333333
AAPL-predict-ensamble-gakknn-NA.csv,AAPL,2021-08-02T22:39:27.774318Z,1,0.515,0.44,0.51,0.429,0.131,0.146,0.115,0.636,0.701,0.562,0.863,0.562,0.492,0.488,0.476,0.144,0.014,0.017,0.177753333333333
AAPL-predict-ensamble-gakknn-MEG.csv,AAPL,2021-08-02T22:39:27.726280Z,1,0.502,0.474,0.536,0.571,0.127,0.113,0.051,0.648,0.778,0.668,0.753,0.575,0.59,0.56,0.619,0.075,0.079,0.084,0.177408
AAPL-predict-ensamble-gakknn-SAF.csv,AAPL,2021-07-06T18:28:59.888922Z,28,0.533,0.539,0.509,0.381,0.148,0.138,0.181,0.669,0.617,0.627,0.992,0.503,0.491,0.537,0.619,0.121,0.114,0.116,0.174437
AAPL-predict-ensamble-gakknn-NAABCA.csv,AAPL,2021-08-02T22:39:08.220772Z,1,0.527,0.598,0.563,0.6,0.101,0.07,0.052,0.695,0.431,0.586,0.414,0.489,0.457,0.436,0.45,0.143,0.04,0.02,0.171613333333333
AAPL-predict-ensamble-gakknn-VDIBCFD.csv,AAPL,2021-07-06T18:29:00.304771Z,28,0.597,0.697,0.746,0.81,0.113,0.106,0.09,0.749,0.536,0.361,0.121,0.699,0.683,0.674,0.667,0.068,0.017,0.011,0.17068
AAPL-predict-ensamble-gakknn-MAG.csv,AAPL,2021-08-02T22:39:08.208723Z,1,0.549,0.549,0.549,0.462,0.124,0.124,0.124,0.693,0.693,0.693,1,0.773,0.773,0.773,1,0.321,0.321,0.321,0.168543
AAPL-predict-ensamble-gakknn-NAABCAAC.csv,AAPL,2021-08-02T22:39:08.296153Z,1,0.596,0.582,0.583,0.667,0.112,0.083,0.118,0.715,0.707,0.677,0.77,0.465,0.528,0.607,0.714,0.192,0.175,0.152,0.167295
