PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-kknnLDAA-ensamble.csv,2020-11-03T15:38:51.608181Z,0.668,0.541,0.471,0.116,0.138,0.524,0.44,0.471,0.14,0.095
ADA-USD-predict-kknnLDAB-ensamble.csv,2020-11-03T15:38:51.608195Z,0.651,0.552,0.412,0.109,0.124,0.475,0.509,0.647,0.216,0.238
ADA-USD-predict-kknnLDAC-ensamble.csv,2020-11-03T15:38:51.608210Z,0.64,0.581,0.529,0.099,0.045,0.486,0.459,0.529,0.196,0.199
ADA-USD-predict-kknnLDAD-ensamble.csv,2020-11-01T12:19:18.211682Z,0.619,0.593,0.471,0.118,0.12,0.453,0.388,0.353,0.216,0.241
ADA-USD-predict-kknnLDAE-ensamble.csv,2020-11-03T14:16:54.601690Z,0.668,0.605,0.471,0.135,0.122,0.491,0.474,0.706,0.193,0.256
ADA-USD-predict-kknnLDAF-ensamble.csv,2020-11-01T14:17:33.869700Z,0.651,0.657,0.529,0.142,0.123,0.475,0.588,0.882,0.148,0.291
ADA-USD-predict-kknnLDAG-ensamble.csv,2020-11-03T17:29:09.864425Z,0.69,0.583,0.471,0.111,0.101,0.557,0.543,0.588,0.202,0.224
ADA-USD-predict-kknnLDAH-ensamble.csv,2020-11-03T19:02:46.349020Z,0.608,0.611,0.588,0.172,0.03,0.421,0.467,0.588,0.215,0.261
ADA-USD-predict-kknnLDB-ensamble.csv,2020-11-04T14:37:18.573538Z,0.613,0.545,0.294,0.174,0.229,0.459,0.271,0.294,0.233,0.161
ADA-USD-predict-kknnLDC-ensamble.csv,2020-11-04T17:22:29.287136Z,0.635,0.622,0.588,0.083,0.048,0.491,0.312,0.353,0.236,0.195
ADA-USD-predict-kknnLDD-ensamble.csv,2020-11-05T14:32:39.300482Z,0.64,0.614,0.529,0.087,0.074,0.531,0.309,0.176,0.177,0.138
ADA-USD-predict-kknnLDDA-ensamble.csv,2020-11-06T14:41:30.392391Z,0.597,0.541,0.412,0.167,0.133,0.573,0.399,0.412,0.123,0.028
ADA-USD-predict-kknnLDDB-ensamble.csv,2020-11-06T17:15:34.286766Z,0.614,0.62,0.647,0.207,0.024,0.492,0.378,0.412,0.193,0.03
ADA-USD-predict-kknnLDDC-ensamble.csv,2020-11-06T19:47:38.031799Z,0.646,0.57,0.529,0.144,0.055,0.6,0.493,0.529,0.109,0.032
ADA-USD-predict-kknnLDDD-ensamble.csv,2020-11-06T20:38:35.114127Z,0.652,0.578,0.588,0.163,0.041,0.465,0.379,0.353,0.195,0.095
ADA-USD-predict-kknnLDDE-ensamble.csv,2020-11-06T21:32:24.661854Z,0.635,0.561,0.471,0.137,0.087,0.437,0.414,0.588,0.137,0.162
ADA-USD-predict-kknnLDDF-ensamble.csv,2020-11-07T12:09:32.479677Z,0.623,0.563,0.706,0.132,0.137,0.58,0.5,0.353,0.089,0.13
ADA-USD-predict-kknnLDE-ensamble.csv,2020-11-06T12:57:18.236938Z,0.608,0.502,0.294,0.131,0.18,0.475,0.259,0.059,0.237,0.214
ADA-USD-predict-kknnLDF-ensamble.csv,2020-11-07T20:14:46.048083Z,0.603,0.572,0.471,0.181,0.104,0.437,0.181,0.118,0.249,0.056
ADA-USD-predict-kknnLDH-ensamble.csv,2020-11-07T20:59:18.755439Z,0.646,0.554,0.353,0.134,0.183,0.57,0.479,0.353,0.158,0.142
