PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,PVal6m,PVal3m,PVal2m,PVal1m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AAPL-predict-ensamble-gakknn-MEE.csv,AAPL,2021-08-31T09:35:07.820808Z,0,0.653,0.579,0.619,0.571,0.086,0.084,0.067,0.359,0.471,0.276,0.415,0.497,0.546,0.524,0.524,0.102,0.039,0,0.395497
AAPL-predict-ensamble-gakknn-ND.csv,AAPL,2021-08-31T10:31:24.683842Z,0,0.628,0.625,0.619,0.524,0.096,0.096,0.135,0.499,0.304,0.324,0.587,0.535,0.499,0.476,0.476,0.124,0.04,0,0.312624
AAPL-predict-ensamble-gakknn-SBA.csv,AAPL,2021-07-06T18:28:59.910015Z,56,0.548,0.592,0.524,0.524,0.165,0.117,0,0.562,0.596,0.766,0.944,0.532,0.593,0.571,0.667,0.077,0.102,0.135,0.242944
AAPL-predict-ensamble-gakknn-MFS.csv,AAPL,2021-08-31T10:31:24.487503Z,0,0.576,0.625,0.619,0.476,0.123,0.143,0.202,0.63,0.428,0.511,1,0.568,0.658,0.714,0.905,0.118,0.214,0.269,0.224466666666667
AAPL-predict-ensamble-gakknn-UADAA.csv,AAPL,2021-07-06T18:28:59.944059Z,56,0.536,0.566,0.667,0.667,0.178,0.175,0,0.624,0.549,0.337,0.418,0.622,0.501,0.524,0.619,0.214,0.103,0.135,0.221714666666667
AAPL-predict-ensamble-gakknn-NCB.csv,AAPL,2021-08-31T09:35:08.343192Z,0,0.546,0.61,0.643,0.524,0.118,0.132,0.168,0.645,0.435,0.358,0.587,0.535,0.547,0.548,0.476,0.108,0.071,0.101,0.212881666666667
AAPL-predict-ensamble-gakknn-MIFB.csv,AAPL,2021-08-31T10:31:24.621796Z,0,0.566,0.577,0.548,0.524,0.136,0.056,0.034,0.625,0.805,0.909,0.869,0.584,0.577,0.548,0.381,0.099,0.174,0.236,0.211375
AAPL-predict-ensamble-gakknn-MEM.csv,AAPL,2021-08-31T09:35:07.854807Z,0,0.564,0.531,0.524,0.476,0.064,0.049,0.067,0.612,0.675,0.58,0.744,0.586,0.561,0.524,0.524,0.06,0.065,0,0.209390666666667
AAPL-predict-ensamble-gakknn-NAB.csv,AAPL,2021-08-31T09:35:08.202459Z,0,0.526,0.562,0.548,0.476,0.098,0.076,0.101,0.618,0.499,0.618,0.979,0.471,0.437,0.405,0.333,0.065,0.09,0.101,0.208317333333333
AAPL-predict-ensamble-gakknn-MEB.csv,AAPL,2021-08-31T09:35:07.809893Z,0,0.588,0.652,0.571,0.667,0.15,0.169,0.135,0.655,0.447,0.666,0.392,0.647,0.567,0.601,0.583,0.116,0.061,0.025,0.208265
